id,created_at,text,retweet_count
1253533089294409728,2020-04-24 03:55:52,"RT @CuomoPrimeTime: Jeremy Konyndyk, an expert on global pandemic preparedness: Trump administration ""deconstructed many of the tools that…",38
1253524780969529344,2020-04-24 03:22:51,RT @CuomoPrimeTime: Health care workers go on a singing tour to boost staff morale. CNN's @ChrisCuomo has tonight's Ameri-CAN. https://t.co…,118
1253524771490402304,2020-04-24 03:22:49,"RT @CuomoPrimeTime: ""I would love for these people to be able to see the perspective of my patients.""

On her day off from working at a Cov…",226
1253512873512513538,2020-04-24 02:35:32,"RT @CuomoPrimeTime: ""Armed with facts, figures, and some of the smartest minds in the country, President Trump chooses to instead go with h…",397
1253371304625012736,2020-04-23 17:13:00,Does the va really not know how many veterans have beem lost to covid? https://t.co/o1huzmpVJd,195
1253368333749170177,2020-04-23 17:01:11,Condolences to the senator’s family. Too many have suffered. We need to prepare better if only to respect the losses. https://t.co/Tcer8f3md3,214
1253155735317483527,2020-04-23 02:56:24,"RT @CuomoPrimeTime: In this evening's edition of Ameri-Can, @ChrisCuomo introduces us to the long arm by the bay, a man in San Francisco, C…",320
1253155700538294278,2020-04-23 02:56:16,"RT @CuomoPrimeTime: ""I think this is too early. I think it's too soon.""

Roswell, GA Mayor Lori Henry tells @ChrisCuomo she feels Georgia i…",222
1253147842614562816,2020-04-23 02:25:02,"RT @CuomoPrimeTime: ""Real death is real, right? Economic death is not death... the economy, we can figure out, right?""

@NYGovCuomo on the…",868
1253139171495075841,2020-04-23 01:50:35,"RT @CuomoPrimeTime: ""The President wants to be optimistic... he wants to see those markets come back,"" says @NYGovCuomo on why Trump and me…",365
1253114686171754497,2020-04-23 00:13:17,"RT @SXMPOTUS: ""You're going to see cases going back farther and farther..."" 

ICYMI: today on #LetsGetAfterIt @ChrisCuomo looked at the dis…",73
1252975877488508928,2020-04-22 15:01:43,The political feedback loop must be broken:  WHY cant the city test yet? WHAT is needed precisely and WHERE does the money and procurement happen? https://t.co/bL2sApJYZq,104
1252975315577683970,2020-04-22 14:59:29,Seriously? How would you like this approach with your place of work or kids’ school?  https://t.co/7EjTBL5Mlq,618
1252974704262033411,2020-04-22 14:57:03,"RT @CBSNews: More deaths, no benefit from drug touted by Trump to treat coronavirus, study finds https://t.co/RsvVElwN3J https://t.co/3eQkn…",509
1252974611618312194,2020-04-22 14:56:41,Read the rationale for fees...this make sense to you? https://t.co/ohftJzBoqk,287
