id,created_at,text,retweet_count
1251298144089976832,2020-04-17 23:55:00,Donald Trump continues to do the exact thing we teach our kids not to do: blame others. It’s always somebody else's… https://t.co/iocB44l0GN,7568
1251274236808790017,2020-04-17 22:20:00,"Donald Trump is not responsible for COVID-19, but he is responsible for our slow, uncoordinated response.

Experts… https://t.co/MifoqQga1V",10902
1251224408959651840,2020-04-17 19:02:00,President Trump is trying to rewrite history when it comes to China and COVID-19 — but the facts don't back him up.… https://t.co/V65Wtl7lQm,20498
1251209309284859904,2020-04-17 18:02:00,The uncomfortable truth is that Donald Trump left America exposed and vulnerable to this pandemic. He ignored the w… https://t.co/f1K2CdSord,17369
1251186157024616449,2020-04-17 16:30:00,I know the American people will beat this. We’re brave and big-hearted. We’ve emerged stronger from every crisis th… https://t.co/Qrj4nOk33f,6716
1251148413699190790,2020-04-17 14:00:01,We’re in the middle of a global pandemic. No one feeling ill should have to choose between earning a paycheck or st… https://t.co/c12A319bVK,11595
1250944564434735104,2020-04-17 00:30:00,"It's been a big week: President Obama, Senator Sanders, and Senator Warren all endorsed our campaign — and we need… https://t.co/VOOnD6W3ts",4197
1250929465091338240,2020-04-16 23:30:00,"Together, we will defeat Donald Trump. https://t.co/2nF0qVGGaH",18616
1250916881801723904,2020-04-16 22:40:00,Today’s news that more than 22 million people filed unemployment claims over the last month is devastating. It’s cl… https://t.co/HAQSkwyjxW,4630
1250889199621832704,2020-04-16 20:50:00,"These racist acts have got to stop. No one should be targeted for what they look like, where they or their ancestor… https://t.co/Ah0S6rAZPR",6011
1250859000750583808,2020-04-16 18:50:00,Here's the simple truth: This nation has never been defeated when we're together — and we're not going to be defeat… https://t.co/xd3ArHnjsv,4230
1250831570031775745,2020-04-16 17:01:00,"When we emerge from this crisis, we can't just go back to the way things were. We need to build a better future for all.",17137
1250789795246166017,2020-04-16 14:15:00,"To combat COVID-19, we need a decisive public health response to curb its spread and a comprehensive economic respo… https://t.co/vSr5poDJOh",3798
1250604607002337280,2020-04-16 01:59:08,"When somebody is President of the United States, the responsibility is total. https://t.co/hmhkBymGob",23538
1250585971244044288,2020-04-16 00:45:04,"So this week, we’re working through what ours will be. There are a few I know: compassion, kindness, humility, grat… https://t.co/ZRzAgvK4Y5",1953
1250585970396794880,2020-04-16 00:45:04,"We won’t defeat this President by being like him. We’ll win by doing the opposite. Where he seeks to divide us, we’… https://t.co/93wvUj8cTU",3576
1250585969520259074,2020-04-16 00:45:04,Mayor @PeteButtigieg’s campaign had a set of “rules of the road” that helped define the character of his campaign a… https://t.co/k8HxdpCSEq,2071
1250585968664600582,2020-04-16 00:45:04,"In the Biden family, we have a code: My mom used to always tell me, “Joey, no one is better than you. Everyone is y… https://t.co/uhcAdu4k91",11135
1250554494657724417,2020-04-15 22:40:00,"Managing an economic relief and recovery effort is hard, painstaking work. The devil is in the details. It’s all ab… https://t.co/RVs04ezwPa",5018
1250518003751497728,2020-04-15 20:15:00,"We are building the movement that will beat Donald Trump.

Join us: https://t.co/gnaFCACYrW https://t.co/pHIXCHZ0cm",7239
1250501938048688128,2020-04-15 19:11:09,Millions of folks are relying on the workers at the front lines of this crisis. I’ll be talking to a few of them fo… https://t.co/BOTWhdnSQ0,2233
1250489062936346624,2020-04-15 18:20:00,"This afternoon, I’ll be hosting a virtual town hall with a few workers on the front lines of this crisis. Tune in a… https://t.co/BWq9iKMbvw",1367
1250473963542593536,2020-04-15 17:20:00,COVID-19 is amplifying so many inequities in our society. We have to ensure support gets to those who need it immed… https://t.co/slYvBe8qXd,3701
1250441485083787268,2020-04-15 15:10:56,The President’s vanity is preventing people from paying their bills. https://t.co/NjtUDJbY4e,21533
1250431914080526337,2020-04-15 14:32:54,"We are in a battle for the soul of this nation and I’m proud to have the fiercest of fighters, Senator @EWarren, on… https://t.co/QKZKkOAsyf",10785
1250237970285723648,2020-04-15 01:42:15,From my basement to your sneaker room. Tune in Thursday at 11 PM ET on @SHODesusAndMero to watch! https://t.co/3gPnxCwTVe,2132
1250227340145197056,2020-04-15 01:00:00,I want Donald Trump to look these folks in the eye and explain to them why they or their loved ones haven’t been ab… https://t.co/TJnisBXcEG,18079
1250202172727283712,2020-04-14 23:20:00,Let’s do this. https://t.co/INkan0GxGL,32491
