id,created_at,text,retweet_count
1253180048024252416,2020-04-23 04:33:01,"In Netflix's 'The Willoughbys,' a family is stuck at home. Choosing love sets them free https://t.co/G2m4o5hcZe",4
1253176271082852352,2020-04-23 04:18:00,"L.A. council members balk at broader ban on evictions amid coronavirus, citing legal worries https://t.co/jOh6GtBKjl",3
1253174784965226498,2020-04-23 04:12:06,"Two pet cats in New York state have tested positive for the coronavirus, marking the first confirmed cases in companion animals in the United States.
https://t.co/MqoXusxiTB",34
1253174511446503424,2020-04-23 04:11:01,'Total insanity': Cities are battling with governors over coronavirus stay-at-home orders https://t.co/HVD6yuesHh,14
1253172497287086081,2020-04-23 04:03:00,Whole roasted cauliflower is the lazy cook's best friend https://t.co/myLtJsBMva,7
1253170485615046656,2020-04-23 03:55:01,Endeavor makes another round of cuts as coronavirus squeezes Hollywood https://t.co/BT78ZybIjf,6
1253168723638321152,2020-04-23 03:48:01,2 men freed from jail by California coronavirus order rearrested https://t.co/HRgkqNE5Eg,15
1253164946688487424,2020-04-23 03:33:00,Democrats scrap plans to vote this week on historic rule change to allow remote voting https://t.co/JaHdxQX3tY,13
1253161173354196999,2020-04-23 03:18:00,We're worse off this Earth Day than any before. Watch these 7 TV shows to feel hopeful https://t.co/5ubAkfROQp,10
1253160103756226561,2020-04-23 03:13:45,"RT @DCteachild: Tonight's #coronavirus newsletter: Even as local officials start relaxing stay-home orders, Newsom &amp; health officials are w…",3
1253159411473883148,2020-04-23 03:11:00,Kacey Musgraves reimagines song to honor coronavirus heroes on Earth Day https://t.co/g4ZxMQ5n8B,5
1253157399491379202,2020-04-23 03:03:01,"What's open and closed this week: Beaches, parks and trails in Southern California https://t.co/iJdz9MQWQx",15
1253155400637050882,2020-04-23 02:55:04,RT @AmyScattergood: Our revised list of L.A.-area restaurants doing takeout and/or delivery is up. Lmk of more!  https://t.co/qpJnYMt7cR ht…,12
1253155384224817152,2020-04-23 02:55:00,"Review: Like a teenage spin on Todd Haynes, 'To the Stars' delivers bittersweet take on the past https://t.co/fN4J862HZa",3
1253153624206856192,2020-04-23 02:48:01,What is herd immunity and why does it matter in the fight against coronavirus? https://t.co/RKrUueYjUH,19
1253151104914817026,2020-04-23 02:38:00,It's not too late to celebrate. https://t.co/OLjWqeeKeZ,3
1253149849089970177,2020-04-23 02:33:01,Murdochs and other Fox Corp. executives cut pay amid coronavirus shutdown https://t.co/3u4fwxdlj8,12
1253149090415689728,2020-04-23 02:30:00,"How do vaccines work and when will we have one for COVID-19?

Scientist executive chairman of the @latimes, @drpatsoonshiong , explains how scientists are exploring ways to develop a COVID-19 vaccine in the latest ""Science Behind the Coronavirus.""

Watch: https://t.co/5AgknZVCL2 https://t.co/Jju5fKfNnJ",7
1253146515939291136,2020-04-23 02:19:46,RT @shelbygrad: L.A. County will list restaurants that have had COVID-19 outbreaks online https://t.co/ljfsgjOyqh,45
1253146074925223937,2020-04-23 02:18:01,"""Worried about abandoning tradition? Pandemics aren’t exactly a time-honored practice in the Capitol.""

(via @latimesopinion) https://t.co/5H3KGroXFf",10
