id,created_at,text,retweet_count
1252477164928319488,2020-04-21 06:00:00,There are a number of great telemedicine options that offer comprehensive online services at affordable prices — ev… https://t.co/yEnn79fsQb,1
1252472130077327361,2020-04-21 05:40:00,Mayock said the potential Hall of Famer is being counted on as much for what he’ll provide in the locker room as on… https://t.co/dYYrggRRQ7,0
1252467096698617856,2020-04-21 05:20:00,"As its anniversary approaches, the popular vegan restaurant has also reopened its Henderson location for curbside p… https://t.co/fAIYQiWjLt",0
1252462065492594688,2020-04-21 05:00:00,"Do you know what we will really learn most over three days?

Which teams spent their time wisely preparing amid thi… https://t.co/mLD9S49dg2",0
1252458464380694528,2020-04-21 04:45:42,"PATIENT ZERO RECOVERS: Nearly two months after testing positive, and three weeks since waking from a coma, the firs… https://t.co/jLfyEeymxA",16
1252451997355134977,2020-04-21 04:20:00,"Clark County released a rebuttal to the results on Monday, calling the failing grade for “questionable.” https://t.co/dDopU4hkFg",1
1252446966132457472,2020-04-21 04:00:00,.@WayneNewtonMrLV said he was the original masked singer https://t.co/jVJbWnXZIL,1
1252439416636727304,2020-04-21 03:30:00,The NFL’s virtual mock draft Monday was a journey into the unknown for many officials from the league’s 32 teams. https://t.co/RIsW3WWhOR,1
1252436252265025537,2020-04-21 03:17:26,He offered no details as to what immigration programs might be affected by the order https://t.co/eQk80E5dsy,0
1252431867300597760,2020-04-21 03:00:00,"Before you hand over any personal information or payment to anyone, beware of these 10 coronavirus-related offers y… https://t.co/bD1rnPmKdS",4
1252426971935469578,2020-04-21 02:40:33,CNN cited an anonymous U.S. official who said Kim was in “grave danger” after an unspecified surgery https://t.co/hTd3eRKbSH,6
1252424318572621827,2020-04-21 02:30:01,Who will the @Raiders select? #RaiderNation https://t.co/4cVgMTB2kp,1
1252416803420008456,2020-04-21 02:00:09,Institutional living facilities that serve seniors and others at higher risk of the most serious infections have be… https://t.co/XSJqeoeGfH,3
1252409219141128195,2020-04-21 01:30:01,The state’s unemployment insurance claims website now allows users to reset their password online any time during t… https://t.co/7c1fv2dGgc,1
1252408023768653825,2020-04-21 01:25:16,"Christie plans to be ready to partner with operators looking to reopen their entertainment venues, nightclubs and r… https://t.co/XkHZ8UOQRg",4
1252405442254266368,2020-04-21 01:15:00,"From full meals to quick grab-and-go options, this complex offers choices for an entire family in one location. https://t.co/OPN7LNAfos",3
1252401677048483840,2020-04-21 01:00:02,Goodman’s reaction comes despite the fact that she has called the shutdown “total insanity.” https://t.co/3RmbWIUP96,1
1252398930295308292,2020-04-21 00:49:08,"One person is dead after a 10-car crash in the east valley on Monday afternoon, Las Vegas police said. https://t.co/E91DPOCKfp",3
1252394161916919813,2020-04-21 00:30:11,"WSOP postponed in Las Vegas because of coronavirus pandemic 

Read more: https://t.co/tOrmEoitdu https://t.co/jQhb3oTkj0",6
1252386579152138240,2020-04-21 00:00:03,Chef Nicole Brisson and Locale Italian Kitchen owner Andy Hooper have confirmed that Brisson is leaving the restaur… https://t.co/h8UWJho1Kr,1
1252379653928415244,2020-04-20 23:32:32,"SOUTH POINT FURLOUGHING MOST EMPLOYEES: South Point is furloughing most of its employees “for an indefinite period,… https://t.co/jvQtRctKSp",8
1252371477363478530,2020-04-20 23:00:02,The YMCA said the sites will be open Mondays through Fridays from 11 a.m. to 1 p.m. They will offer free prepackage… https://t.co/gA1tEqDfjI,0
1252363921970753536,2020-04-20 22:30:01,"Penn National Gaming’s real estate spinoff, Gaming &amp; Leisure Properties Inc., now owns the land under the Tropicana. https://t.co/660PMExOno",3
1252356370214481921,2020-04-20 22:00:00,"A court employee in Nye County has tested positive for COVID-19 and another may have been exposed to the virus, pro… https://t.co/d8isrgFn2S",1
1252352278058561537,2020-04-20 21:43:45,WATCH LIVE: President Trump and the Coronavirus Task Force hold a press briefing https://t.co/QWPdPrvZvk,1
1252351334344359937,2020-04-20 21:40:00,Pandemic fashions are a snap for Wassa Coulibaly https://t.co/05ikVnS06o,1
1252346377922727936,2020-04-20 21:20:18,What will our new normal look like in Las Vegas? Nightlife executive Sean Christie joins @johnnykats to talk about… https://t.co/2rtI5lHnvP,2
1252341287321088000,2020-04-20 21:00:04,The developer of a business park next to the @Raiders' future practice facility in Henderson has finished the first… https://t.co/sFcFPMOflM,1
1252336119464804354,2020-04-20 20:39:32,"An employee at an Albertsons store in Las Vegas has tested positive for COVID-19, a company spokeswoman said https://t.co/UTdcccyrHl",7
1252331202759069705,2020-04-20 20:20:00,"Frontman and guitar great Billy Gibbons says from Las Vegas, “@ZZTop can’t sit still"" https://t.co/lXbEWO7XAf",4
1252328685862092802,2020-04-20 20:10:00,The @WSOP has been postponed because of the coronavirus pandemic https://t.co/Sl9ISZnYuk,9
1252326171267792896,2020-04-20 20:00:00,.@realDonaldTrump accused Democrats on Monday of playing “a very dangerous political game” by insisting there is a… https://t.co/21fovlIILV,1
1252321073682616320,2020-04-20 19:39:45,"South Point is furloughing most of its employees “for an indefinite period,” starting May 3. https://t.co/NqrzkTGs8g",6
1252316102484545544,2020-04-20 19:20:00,The entity building the MSG Sphere in Las Vegas has officially spun off from parent company https://t.co/YwiyMwxY8x,4
1252313585679728640,2020-04-20 19:10:00,Are you under contract to buy or sell a home in Southern Nevada and wary of the market or the economy because of th… https://t.co/wPbGJUi5gV,1
1252311070837964800,2020-04-20 19:00:00,"It’s a cruel irony of the pandemic that the virus not only steals our loved ones, but also the familiar and comfort… https://t.co/u3iTN5aVrF",0
1252308552003321858,2020-04-20 18:50:00,Are you considering a Las Vegas trip as soon as the casino shutdown is lifted? Or do you plan to wait a few months… https://t.co/2aVZemWijN,27
1252306035928371202,2020-04-20 18:40:00,Professional golfer John Chin won @MGMResortsIntl's Chipping All-In charity online poker tournament last week https://t.co/qIaDsrWMli,0
1252301002994319361,2020-04-20 18:20:00,The largest road project in the city of Las Vegas history is set to kick off next week https://t.co/srs8Dkw1H2,20
1252298486307053570,2020-04-20 18:10:00,"With domestic violence on the rise in the Las Vegas Valley during the COVID-19 pandemic, court officials say they’v… https://t.co/jH3H1pJiWS",4
1252296898620375041,2020-04-20 18:03:41,Benchmark U.S. crude oil for June delivery plunged 8.5% to $22.90 per barrel on Monday. Oil for delivery in May cra… https://t.co/mR6X1GLZgG,1
1252290936350150657,2020-04-20 17:40:00,"The son of a football player and a professional caterer was born to become a 6-foot-7-inch, 364-pound behemoth who… https://t.co/xO98VQnc2y",0
1252285903055314949,2020-04-20 17:20:00,.@realDonaldTrump defended @GovSisolak's shutdown order for Nevada on Sunday https://t.co/x9lJWcgPTQ,9
1252280872004435970,2020-04-20 17:00:00,"The @HyperXESALV is no longer in an arena, or even a onetime nightclub, at @LuxorLV https://t.co/9lPlo7UtBk",2
1252275836616683521,2020-04-20 16:40:00,ICYMI: Gaming industry analysts say casinos will be in the first wave of business reopenings from the coronavirus s… https://t.co/q8jvELy9dn,12
1252270807268671488,2020-04-20 16:20:01,"If the NBA resumes its season without fans in Las Vegas amid the coronavirus pandemic, it already has a blueprint f… https://t.co/W4DPYlYJoo",0
1252265773877387266,2020-04-20 16:00:01,Nations around the world took advantage Monday of their flattening coronavirus infection curves to tentatively ease… https://t.co/9U8dNt2ZZG,1
1252260737084465153,2020-04-20 15:40:00,"The number of confirmed COVID-19 cases in Clark County increased by 58 overnight, near the low end of recent daily… https://t.co/V0KXT5t7ga",6
1252255704402071555,2020-04-20 15:20:00,The Las Vegas to Southern California high-speed rail project many had given up on years ago has steadily gained mom… https://t.co/8cIbgVjM7e,8
1252251994871513090,2020-04-20 15:05:15,"LATEST NUMBERS: The number of confirmed COVID-19 cases in Nevada increased by 102 overnight, maintaining the pace o… https://t.co/iDWu0DsArP",3
1252245637602709506,2020-04-20 14:40:00,"When Wynn’s Las Vegas resorts reopen, they will look much different under new guidelines https://t.co/4Ms1xnXMKx",12
1252240604488220673,2020-04-20 14:20:00,"A Las Vegas woman is in jail on charges she stole a vehicle from a vulnerable senior citizen, then used the vehicle… https://t.co/PBUuL4z9s5",2
1252235574959726593,2020-04-20 14:00:01,Health experts say the risks are very low that COVID-19 will remain on envelopes or packages and infect anyone who… https://t.co/Fp93OtwDaf,3
1252230538821275648,2020-04-20 13:40:00,Have you visited the Strip lately? https://t.co/dqQoIr4xbH,5
1252225504813428736,2020-04-20 13:20:00,"It’s about time to start preparing for the heat of the Las Vegas summer, the @NWSVegas said https://t.co/P0g0hs0sJ1",7
1252218257689493506,2020-04-20 12:51:12,OVERNIGHT: The @HendersonNVPD is investigating an officer-involved shooting Sunday night that left an armed suspect… https://t.co/0YuVR5kSXX,2
1252129773368643586,2020-04-20 06:59:36,"NEW: It happened in the 2200 block of Galindo Court, @HendersonNVPD said
https://t.co/nGi6urGpK4",0
1252126678777618432,2020-04-20 06:47:18,"Check out the scene on the Las Vegas Strip, where some life has sprouted from the chaos of the #CoronavirusPandemic… https://t.co/DONGMpCH2p",4
1252107227374260225,2020-04-20 05:30:00,"This year’s draft will raise money for six national nonprofits to help in the fight against COVID-19, and commissio… https://t.co/oCn5eosIAN",2
1252099678260408320,2020-04-20 05:00:00,Wayne Newton was the original masked singer @johnnykats https://t.co/jVJbWnXZIL,2
1252092128773246977,2020-04-20 04:30:00,"No fans, no problem? https://t.co/qIje6mbpPH",3
1252084579772530688,2020-04-20 04:00:01,"Project Marilyn distributes monthly bags with tampons, pads and hygiene wipes to shelters and other agencies https://t.co/AzDsWDpBiX",5
1252077027533914117,2020-04-20 03:30:00,Mariota arrives in Las Vegas a bit of a broken quarterback after a series of injuries and multiple coaching changes… https://t.co/idV6QFnh1N,2
1252069484296310785,2020-04-20 03:00:02,"With the arc of infection different in every nation, proposals have differed for coping with the virus that has kil… https://t.co/opPyWn4kdf",1
1252064575442149376,2020-04-20 02:40:31,"The nonprofit provides feminine supplies to women and teens in need  #CoronavirusPandemic 
https://t.co/AzDsWD7ZUn",1
1252057276329766913,2020-04-20 02:11:31,"The virtual-sports industry has been blossoming as a sports and entertainment option during the #coronaviruspandemic
https://t.co/9lPlo7CScK",2
1252042901804027906,2020-04-20 01:14:24,"UPDATE: A police officer was among those killed
https://t.co/D4dJ1NQLMo",8
1252039281121656833,2020-04-20 01:00:01,He wants the Chicago team that grew so much over the past four months and fought its way into the playoff picture t… https://t.co/6fLyPpRhXZ,0
1252033676013158400,2020-04-20 00:37:44,"“Well, they shut one of my hotels down, too,” Trump said, which he added is “a very big hotel” https://t.co/x9lJWcgPTQ",9
1252031732255272970,2020-04-20 00:30:01,"He had two dealerships in the northwest Las Vegas Valley
https://t.co/MgNYG2gv8A",5
1252024187402813441,2020-04-20 00:00:02,"The key is being organized, nimble and swift. Communication is vital.

But this year’s NFL draft is anything but ty… https://t.co/RTl1B9ssTt",2
1252016631217258496,2020-04-19 23:30:00,The city didn’t say how long the road closure will be in effect https://t.co/nDX0T5REUz,1
1252009105356656643,2020-04-19 23:00:06,Police have not provided a motive for the attack https://t.co/JpxQKBGiLI,1
1252003118897926145,2020-04-19 22:36:19,LIVESTREAM: the Coronavirus Task Force is holding a press conference Sunday afternoon at the White House https://t.co/Vxr9A8T3uo,0
1252001531987197952,2020-04-19 22:30:00,Wynn's Las Vegas resorts will have a different look and new guidelines upon reopening https://t.co/4Ms1xnXMKx,21
1251993991182192641,2020-04-19 22:00:03,It's going to be a while before concerts come back @johnnykats https://t.co/4oDuegjeFo,4
1251986432610140160,2020-04-19 21:30:00,"The annual remembrance ceremony was canceled due to the coronavirus pandemic, but survivors and loved ones of the O… https://t.co/8RKL3gcPqQ",0
1251978888810500100,2020-04-19 21:00:02,Thousands of people are still riding buses in the Las Vegas Valley. People who cannot work from home and essential… https://t.co/dpUinY55Bt,8
1251971332889366528,2020-04-19 20:30:00,"Three-hundred-pound linemen proved to be no match for a microscopic organism
https://t.co/fnTRo1TQxl",4
1251963803366981638,2020-04-19 20:00:05,"There won’t be such a journey of fans this year, no hundreds of thousands of folks partying up and down the Las Veg… https://t.co/D5w0ZUPefv",1
1251956232501501952,2020-04-19 19:30:00,Las Vegas Review-Journal photographers captured images from the silent Strip. Check them out here: https://t.co/dqQoIr4xbH,8
1251948686902530050,2020-04-19 19:00:01,"A neighbor said the family had moved out by Christmas, and when the cleaning person from the realty company arrived… https://t.co/VPIrqUWKli",3
1251941132763791364,2020-04-19 18:30:00,"A reopening of the Las Vegas Strip, whenever that may be, wouldn't necessarily represent a return to normalcy
https://t.co/Zzid2uEEwa",11
1251933587152175115,2020-04-19 18:00:01,"Overall, there have been 38,668 tests performed on 31,598 people; some were tested more than once, state data show https://t.co/NhlHGdtug7",7
1251926033420423168,2020-04-19 17:30:00,"Time will tell what it will look, feel and sound like when the casinos reopen in Las Vegas, but Macao’s experience… https://t.co/QDajXp7inV",9
1251920220723109888,2020-04-19 17:06:54,RT @johnnykats: Update! My #InstagramLive Brunch With @chumlee_ of @pawnstars is moved to 10:30 a.m. today on my @johnnykats1 IG page. Join…,1
1251918496977391617,2020-04-19 17:00:03,"If there were ever a time for esports to prove its worth, it would be during the coronavirus shutdown https://t.co/9pzNoCqnMr",3
1251910934542589954,2020-04-19 16:30:00,"“What we are trying to do is be here for anyone in need,” Iman Haggag said https://t.co/5VrZjezKwx",5
1251903634046099457,2020-04-19 16:01:00,"Their efforts are starting in the shadows of high-profile disputes between some governors and Trump, whose message… https://t.co/8DQjI63GFY",2
1251895835132116995,2020-04-19 15:30:00,"Jeremy Aguero, an economist with Las Vegas-based Applied Analysis, said that on average, Clark County casinos gener… https://t.co/Vvzvpw4fBw",3
1251888286655799299,2020-04-19 15:00:01,"Losing even part of a football season would be potentially devastating for most athletic departments, including at… https://t.co/EqsU8z552n",1
1251880735373512710,2020-04-19 14:30:00,The company also will be “encouraging” customers to wear face coverings while shopping https://t.co/anogYREi9l,1
1251873187471785984,2020-04-19 14:00:01,"In a player-to-be-drafted-first prop at William Hill, Tagovailoa remains a -130 favorite over Oregon QB Justin Herb… https://t.co/iO2h6DTvos",0
1251754683196076037,2020-04-19 06:09:07,"House-flipping companies that ventured to Las Vegas and other cities the past few years have stopped buying homes
https://t.co/xcgP3KX7n1",14
1251737291237797888,2020-04-19 05:00:01,"The man, who was in his 60s, died Friday and was a previously confirmed case, the county said. He was hospitalized… https://t.co/OgR3k99XiK",1
1251725538554638343,2020-04-19 04:13:18,.@ladygaga urged people weathering the #CoronavirusPandemic to find a way to smile through the pain with a performa… https://t.co/tvYi9E0Req,1
