id,created_at,text,retweet_count
1251255403465359360,2020-04-17 21:05:10,"RT @YesJulz: How Kaylan Arnold ( @whoiskaylan ) keeps Soul Alive through Reggae-infused R&amp;B 👑 

Via @MiamiNewTimes 📰 

https://t.co/kIfDgaH…",3
1251240262912770048,2020-04-17 20:05:00,"Tomorrow, tune into @davidguetta live DJ set broadcasting from  @downtownMIA. https://t.co/BrfJRlrnVr",9
1251232713182412801,2020-04-17 19:35:00,"Don't worry, you can still order @eating_house's 420 stoner menu this year. https://t.co/CMV8uC65ap",2
1251227796585828352,2020-04-17 19:15:28,"RT @t_fin: it isn't only that smog is going away and urban wildlife is getting bolder. @miaminewtimes @JoshCeb goes oceanside 

https://t.c…",2
1251225163724619781,2020-04-17 19:05:00,It's Friday! Why not order some delivery tonight and support your local businesses? https://t.co/Db7ltsansl,2
1251217613788602368,2020-04-17 18:35:00,The praise and parallel language of the emails left some people wondering who wrote them and whether they were fake. https://t.co/dfZXZD0JdO,2
1251210064226136064,2020-04-17 18:05:00,"Normally, this would be the season for boaters to take to Miami's waterways for springtime leisure, which can somet… https://t.co/5hMxgh9mCQ",0
1251202514147373056,2020-04-17 17:35:00,How can you collaborate when you aren't in the same room? Some Miami bands are figuring that out. https://t.co/EROI32pGpT,2
1251194965075656713,2020-04-17 17:05:00,"""When I go out to do deliveries, it feels lonely at times."" https://t.co/rTLtzMsDUa",2
1251187415156436992,2020-04-17 16:35:00,"Scuba gear? Caution tape? In these quarantine times, Miamians have been spotted wearing some eye-poppingly creative… https://t.co/YRLbvCdOXf",2
1251180414229757954,2020-04-17 16:07:11,"The need to test the homeless is of huge importance in Miami, where about 1,000 people are living on the streets an… https://t.co/G61YmTS2uX",1
1251172315238260738,2020-04-17 15:35:00,"Since its inception nearly a decade ago, @omiamifestival has aimed to have a poem reach every person in the city du… https://t.co/6DiyzE4q6Z",4
1251164765642264576,2020-04-17 15:05:00,"""I don't want to get that call that says, 'Come claim this body.'"" https://t.co/fSgOv0v9xa",1
1251157215878266880,2020-04-17 14:35:00,".@whoiskaylan's soul leads everything she produces, and it's apparent in her music. https://t.co/k7WE5uE6IA",5
1251149666147880961,2020-04-17 14:05:00,".@iiiPoints's 4/20 spinoff III Joints wants to do the world's largest puff-puff-pass chain — virtually, of course.… https://t.co/hUXoRmtwId",2
1251142116350275584,2020-04-17 13:35:00,"Bite into these delicious offers this weekend from @eating_house @phucYEA, @Chugsdiner, and more. https://t.co/oqTtgARBlc",1
1251134566699429888,2020-04-17 13:05:00,Joseph Adler was a titan in the South Florida theater universe. https://t.co/2B6FUeBPlN,1
1250903672680255488,2020-04-16 21:47:30,"RT @jessicalipscomb: Since Florida has deemed @WWE an essential business, @Rizzmiggiz invented a few coronavirus-themed wrestlers he'd like…",5
1250877875336732678,2020-04-16 20:05:00,Supermarket personnel are manning the front lines so the rest of us can survive while adhering to government stay-a… https://t.co/ckOUVA4W8G,2
1250870325400797186,2020-04-16 19:35:00,"In Claudia La Bianca's drawings, healthcare workers strike poses of power and determination, fighting for and prote… https://t.co/eFOuMdsP1g",2
1250862775766855681,2020-04-16 19:05:00,"According to @GovRonDeSantis, grocery stores, hospitals, and WWE are all necessary in their own special way.
https://t.co/mKWSWGOubK",0
1250855225960923139,2020-04-16 18:35:00,"Though Miami is often associated with EDM, the city's network of jazz musicians and clubs is a crucial element of i… https://t.co/CZeGRZyWmh",0
1250847676196745218,2020-04-16 18:05:00,"If you're turning to dating apps to ease your loneliness or just plain boredom, you're not alone. https://t.co/vYCYAqn6Tk",0
1250840126432751617,2020-04-16 17:35:00,The emails praising @MayorHialeah were submitted to the city clerk's office without addresses. https://t.co/dfZXZD0JdO,4
1250832576597553152,2020-04-16 17:05:00,"Who's eating six snacks a day? 🙋‍♂️
https://t.co/xhDPfWpLtJ",0
1250825026925817857,2020-04-16 16:35:00,Stay-at-home orders have meant fewer boats out on the water. And that's meant a safer spring vacation for Miami's a… https://t.co/JoDBfrJFY5,5
1250822008096636930,2020-04-16 16:23:00,RT @jessicalipscomb: Protesters continue to demand that Miami-Dade empty its jails while a lawsuit by @Dreamdefenders makes its way through…,27
1250817477304438784,2020-04-16 16:05:00,Eggs are seemingly in short supply because of a panic-buying mentality. https://t.co/92HVJobW8L,0
1250809927410413569,2020-04-16 15:35:00,Five civil rights groups filed a lawsuit against Miami-Dade Corrections and Rehabilitation for failing to properly… https://t.co/oIAT0y0Aly,0
1250802412689989633,2020-04-16 15:05:08,"Dale Andree is calling on dancers in Miami and across the nation to join National Water Dance. @MDCLiveArts
https://t.co/0xkfp7zZrU",3
