id,created_at,text,retweet_count
1251364543973986304,2020-04-18 04:18:51,Early signs in Midwestern states like Michigan and Wisconsin point to Trump losing an edge in November. Here's a lo… https://t.co/xMdDKkC38N,9
1251361455720595456,2020-04-18 04:06:34,"On odd-numbered days, men can leave the house to seek out essentials. On even-numbered days, it’s the women’s turn.… https://t.co/1pdAI2EFh3",5
1251358232800526336,2020-04-18 03:53:46,"Columnist @MarySchmich talks with Chicago booksellers about enduring the coronavirus shutdown, and how you can help. https://t.co/95v4RMgQjJ",6
1251353169373904898,2020-04-18 03:33:39,"They were mothers and fathers, daughters and sons. Two were sisters from a tight-knit family. All were loved, relat… https://t.co/syw7iWZZrv",12
1251349749824917505,2020-04-18 03:20:03,NBA players will receive 25% less in paychecks starting May 15 as commissioner Adam Silver said it remains impossib… https://t.co/Q0c9LUq6zF,7
1251346312911622146,2020-04-18 03:06:24,This Chicago movement is helping bring hundreds of meals to those struggling through the coronavirus outbreak in En… https://t.co/A4R7T3R5lC,8
1251342064958259200,2020-04-18 02:49:31,"""It’s too little too late here"": Six Tyson poultry workers in Georgia and Iowa die; Smithfield plant in South Dakot… https://t.co/IuG9frLPP8",23
1251336985823907843,2020-04-18 02:29:20,How Illinois responded to coronavirus compared with other states https://t.co/B58iHhM8e4,3
1251333585904287744,2020-04-18 02:15:50,Here's what to stream if you’re in the mood for something uplifting https://t.co/2o8HFbYPGT,4
1251330293337853953,2020-04-18 02:02:45,"As the use of facial recognition rises, so do privacy concerns. These Chicago-made glasses are designed to block th… https://t.co/O1oeD2jZRy",13
1251326468736593923,2020-04-18 01:47:33,"Sky center Stefanie Dolson reveals she tested positive for the coronavirus, making her the first known Chicago prof… https://t.co/znpsPWVZli",4
1251325334039015425,2020-04-18 01:43:02,Gov. Pritzker ordered schools to remain closed through the end of the academic year as officials said the coronavir… https://t.co/5nFcWKy7tD,19
1251323079403372545,2020-04-18 01:34:05,"An avid Cubs fan, royal prankster and loving father: Al Spinner, whose daughter founded the city’s Bon Jovi singalo… https://t.co/cImWYLDhpU",10
1251318951633698816,2020-04-18 01:17:41,"Restaurants can still offer takeout, and shops are conducting online sales. But for the first time in its 42 years,… https://t.co/5w6Fm7hWB6",2
1251316374628184065,2020-04-18 01:07:26,"With patients lining up at drugstore counters, pharmacists are pressing big chains to provide protective equipment… https://t.co/fJKO6amxvY",4
1251313254359535627,2020-04-18 00:55:02,Mayor Lightfoot will ask aldermen next week to retroactively bless her executive order that gives her additional po… https://t.co/NtTi236Ibc,2
1251312007288164354,2020-04-18 00:50:05,A federal judge ripped Cook County Clerk Karen Yarbrough for what he said were “clear violations” of anti-patronage… https://t.co/czWGPG9yRG,6
1251310520579297286,2020-04-18 00:44:10,"Busy, yet struggling: Illinois hospitals are losing $1.4 billion a month, trade association says, as coronavirus ca… https://t.co/MHyQazrtLJ",13
1251307377372078080,2020-04-18 00:31:41,"Our obituary for Brian Dennehy, a giant of Chicago's stage and America's screens — yes, including in ""Tommy Boy"" https://t.co/AVEvuwmep3",12
1251304332752027657,2020-04-18 00:19:35,Two prisoners who escaped from a maximum-security prison in Wisconsin have been recaptured in northern Illinois. https://t.co/jvcAjaNQbB,10
1251300166637936642,2020-04-18 00:03:02,"""They’re so bought in to the importance of those grades."" https://t.co/WKfg9Sc3tZ",2
1251297541100122112,2020-04-17 23:52:36,"The Native American woman who has appeared on the packaging of Land O’Lakes butter, cheese and other products since… https://t.co/bjNp7XfCoT",20
1251294414170923009,2020-04-17 23:40:10,"No prom, no graduation, more remote learning: Dashed hopes that Illinois schools would reopen this year are a parti… https://t.co/T9FHVmVvLS",5
1251292474020151296,2020-04-17 23:32:28,"Remember Michael Cohen, the president’s personal lawyer who went to prison? He’s getting out early because of COVID… https://t.co/pIorQtZjIN",9
1251289183198609410,2020-04-17 23:19:23,"As large gatherings continue to be placed on hold, this Chicago photographer is suggesting that couples keep their… https://t.co/WngvMlZDuT",1
1251285594094866436,2020-04-17 23:05:08,Joliet's mayor has called for a full investigation into the COVID-19-related deaths of 22 patients and one worker a… https://t.co/fy5DjIhC1O,9
1251283563951140870,2020-04-17 22:57:04,"Here are today’s top stories in Chicago politics, from @byldonovan https://t.co/s23rGPfspb",4
