id,created_at,text,retweet_count
1253535408014721025,2020-04-24 04:05:05,"Mitch Albom: In bizarre NFL draft, Detroit Lions made the obvious pick: Jeff Okudah https://t.co/mfMnJ2irbH",2
1253531379981303808,2020-04-24 03:49:05,ESPN feature on Jeff Okudah and his late mom is a must-watch https://t.co/00xoyiamjv,4
1253527098855174144,2020-04-24 03:32:04,Detroit Lions 2020 NFL draft grades: Pundits pour on the A's for Jeff Okudah https://t.co/8bgyeTZhKi,0
1253526863340875776,2020-04-24 03:31:08,https://t.co/2ZFM5UNAEx,23
1253522843184312320,2020-04-24 03:15:09,New Orleans Saints take Michigan's Cesar Ruiz in Round 1 of 2020 NFL draft https://t.co/aL3iGccdVc,3
1253522053350768643,2020-04-24 03:12:01,RT @orion_sang: Cesar Ruiz goes to the New Orleans Saints at No. 24. First player from Michigan drafted and the team’s third first-rounder…,15
1253521255409614848,2020-04-24 03:08:51,"RT @freepsports: Meet Jeff Okudah, the newest Detroit Lion. #NFLDraft https://t.co/BZPJnBE6SF",3
1253518547118153728,2020-04-24 02:58:05,2020 NFL draft live blog: Tracking and reacting to every first-round pick https://t.co/1YAC11sng1,0
1253517343273226240,2020-04-24 02:53:18,Tomorrow's @freepsports front page. #NFLDraft https://t.co/ShpCrCAFmp,6
1253516865940398080,2020-04-24 02:51:24,"RT @theford: Well, the Lions' pick is in, and we'll see if it's a problem-free philosophy: OKUDAH MATATA! (OK, it's the Lions; problem-free…",13
1253514514382946310,2020-04-24 02:42:04,NFL draft pundits love Jeff Okudah for Detroit Lions: 'The best option for them' https://t.co/I2D9awwnec,1
1253510246263402496,2020-04-24 02:25:06,Big Ten WRs agree: New Detroit Lions draft pick Jeff Okudah was best CB in NFL draft https://t.co/EhtqZyWU7c,0
1253506209824587776,2020-04-24 02:09:04,How Ohio State football molded Jeff Okudah into Detroit Lions' prized NFL draft pick https://t.co/XWukuieHtX,0
1253503835890495488,2020-04-24 01:59:38,"RT @freepsports: Prior to last season, Jeff Okudah was not a starter for Ohio State, and had no interceptions. That all changed in 2019.…",2
1253501936684449792,2020-04-24 01:52:05,It's official! Detroit Lions take Jeff Okudah with No. 3 pick in 2020 NFL draft https://t.co/5DOexpKjA9,0
1253499168812945411,2020-04-24 01:41:05,"RT @freepsports: Disappointed the Detroit Lions stood pat and took Jeff Okudah?

So is @seideljeff. He explains what let him down:

https:/…",3
1253497658691522563,2020-04-24 01:35:05,I'm disappointed how Detroit Lions took Jeff Okudah in 2020 NFL draft https://t.co/x4ec1LpTRm,1
1253493490924900352,2020-04-24 01:18:31,RT @cmonarrez: Detroit Lions get an 'A' for drafting Jeff Okudah in 2020 NFL draft https://t.co/Mk5tP1fqWG via @freep,5
1253492487722807297,2020-04-24 01:14:32,"RT @MarloweAlter: Detroit Lions' Jeff Okudah has an athletic profile comparable to Jalen Ramsey:

https://t.co/RhY6RU1Cj0",3
1253491868077371398,2020-04-24 01:12:04,Detroit Lions may always wish they picked Tua Tagovailoa in 2020 NFL draft https://t.co/j3b85AlM4P,5
1253488793396617217,2020-04-24 00:59:51,"RT @freepsports: Tua Tagovailoa goes No. 5 to Miami Dolphins.

Detroit Lions may always wish they picked Tagovailoa in #NFLDraft, writes @R…",6
1253486864033611784,2020-04-24 00:52:11,RT @davebirkett: Jeff Okudah is a Lion. What to expect from the highest CB taken since Shawn Springs in 1997 https://t.co/5kp5OfcHjr via @f…,6
1253484481442459650,2020-04-24 00:42:43,How do you grade the Detroit Lions' selection of Jeff Okudah at No. 3?,4
1253483658381582336,2020-04-24 00:39:27,#BREAKING: The Detroit Lions select Ohio State cornerback Jeff Okudah with the No. 3 overall pick of the NFL draft. https://t.co/x2Ad2aHU8B,11
1253483227848810497,2020-04-24 00:37:44,And there it is https://t.co/Gd5k9r4kob,5
1253483180012822528,2020-04-24 00:37:33,Lions' pick is in https://t.co/3jldArhiFS,7
1253482841645748231,2020-04-24 00:36:12,RT @BrianManzullo: 35 minutes in. Two draft picks. This #NFLDraft is moving at exactly the pace of a Zoom meeting.,14
1253482205730439169,2020-04-24 00:33:41,"OK, the #Lions are on the clock. Joe Burrow and Chase Young off the board. What should they do? #NFLDraft",1
1253481945465532424,2020-04-24 00:32:39,RT @davebirkett: As we were saying... https://t.co/5E0vl2KKJ1,3
1253481271038300165,2020-04-24 00:29:58,"RT @davebirkett: Washington's pick is in, Lions are on the clock.",11
1253480889826398209,2020-04-24 00:28:27,Same https://t.co/8ZWc0OZbjt,1
1253480265944612864,2020-04-24 00:25:58,"Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit
Dontsayit

lol Joe Burrow has to go back to Ohio",16
1253479897974165504,2020-04-24 00:24:30,RT @BrettDAngelo: @freep Tito’s and Booger https://t.co/d9feINldNe,1
1253479353868005379,2020-04-24 00:22:21,"RT @WMDubitsky: @freep Missing our recent 9-7 glory days in Westchester County, NY.  Johnnie Walker Red. https://t.co/obVavqxpGc",1
1253478296496427008,2020-04-24 00:18:09,"RT @kmarsh80: @freep I live with 3 girls so lost the living room. HOWEVER, even living in Tennessee I wouldn’t miss a Lions Draft so watchi…",1
1253478256709435393,2020-04-24 00:17:59,RT @chrissolari: Calling this the first virtual NFL draft is a slap in the face of every fantasy league owner in America. https://t.co/ttSH…,10
1253477680269443072,2020-04-24 00:15:42,RT @Jesus313: @freep https://t.co/fd4pu5tO2B,1
1253476751298170882,2020-04-24 00:12:00,"#Lions fans, let's see your #NFLDraft living room set-ups. And your drink of choice. 

Bonus points for Michigan-made drinks.",0
