id,created_at,text,retweet_count
1244842322317258754,2020-03-31 04:21:52,"The primary results this election season have highlighted the extraordinary, sustained political power of older Ame… https://t.co/HmjxEnWShO",3
1244839406416035840,2020-03-31 04:10:17,Losing sleep due to anxiety over COVID-19? Here are some tips from experts to help you get your rest. https://t.co/DnKelEbhcZ,7
1244836873241010187,2020-03-31 04:00:13,"From the White House to the county courthouse, the coronavirus pandemic has drastically upended the 2020 elections.… https://t.co/PmqfOqIxzE",7
1244833630423330819,2020-03-31 03:47:20,The NCAA will permit spring sport athletes who had their seasons shortened by the coronavirus outbreak to have an a… https://t.co/Nuywk9dqC6,10
1244830341946376192,2020-03-31 03:34:16,"Some Instacart workers went on strike over demands for protections amid the coronavirus pandemic, but the company s… https://t.co/1Aeh87UAka",5
1244827804174352385,2020-03-31 03:24:10,Federal prosecutors in New York say R. Kelly should stay behind bars despite the coronavirus spreading in the count… https://t.co/khXEtniVGn,12
1244824535473573888,2020-03-31 03:11:11,See a nonessential business staying open? Even your own employer? Chicago wants you to call 311. https://t.co/WiXIVgxBx7,18
1244821778876321798,2020-03-31 03:00:14,Roughly 115 Illinois National Guard members spent the past week testing first responders and health care workers fo… https://t.co/IU47QYm5e4,15
1244819461129060353,2020-03-31 02:51:01,Social distancing restrictions are contributing to rapid drops in the numbers of fevers — a signal symptom of most… https://t.co/ClCYkNhRHt,17
1244816487908610050,2020-03-31 02:39:12,"The number of confirmed coronavirus cases in Illinois climbed to more than 5,000 as work began on converting McCorm… https://t.co/C4NUE55otE",20
1244813043328057344,2020-03-31 02:25:31,More than 800 Chicago police employees — about 6% of the entire department — were on sick leave Monday as the coron… https://t.co/ngWxItl2Br,42
1244810842757087239,2020-03-31 02:16:47,"In our age of social distancing, it's easy to lose touch with friends and family. Here are some creative tips for s… https://t.co/jj2K4lgc7W",2
1244806710293942272,2020-03-31 02:00:21,Chef Rick Bayless has partnered with US Foods to stock the pantries of laid-off restaurant workers — with help from… https://t.co/JZLmXF7bFU,48
1244801673152868352,2020-03-31 01:40:20,"The bride wore white. The cat wore a bowtie. The guests wore pretty much whatever they wanted.

The coronavirus shu… https://t.co/8ZFBDZAK7a",9
1244798417173458945,2020-03-31 01:27:24,The Cook County medical examiner’s office is conducting additional testing on an infant who public health officials… https://t.co/N0JOb4tNwc,6
1244795823348736000,2020-03-31 01:17:06,"In a new PSA, Mayor Lori Lightfoot shows off her comic chops to try to get you to ""stay home, save lives."" https://t.co/le5md49Nb4",15
1244794962610446336,2020-03-31 01:13:40,Airbnb is extending guests' refund window through May and pledging $250 million to its hosts to help cover cancella… https://t.co/dHX4WoWGmb,3
1244791621457231874,2020-03-31 01:00:24,"A Chicago-area company has a new rapid coronavirus test that delivers results in minutes. They can produce 50,000 e… https://t.co/aPNW17DSOz",18
1244788232337920003,2020-03-31 00:46:56,"We now have over 1,300 Chicago-area restaurants in our database of local meal pickup and delivery options. View the… https://t.co/Z4vzUlIDOn",18
1244785621798924288,2020-03-31 00:36:33,"A Skokie couple who immigrated decades ago from Ukraine to begin a new life together in America have died, just hou… https://t.co/tjXoxea8t7",36
1244780587073798146,2020-03-31 00:16:33,7 residents at a retirement community in Carol Stream have tested positive for COVID-19 https://t.co/EsKDsX05fS,13
1244777385901219840,2020-03-31 00:03:50,"Illinois is making some progress toward flattening the curve, but the worst still lies ahead, officials say. Plus:… https://t.co/iqcnhpQrIf",5
1244773363983269888,2020-03-30 23:47:51,Gap and Kohl’s joined Macy’s in saying they will furlough tens of thousands of employees at stores that remain clos… https://t.co/dt4e27ProB,14
1244770113095643142,2020-03-30 23:34:56,Mayor Lori Lightfoot has seen the memes online that depict her in Chicago's parks and streets. And she’s a fan. https://t.co/2f427cAxlY,48
1244767519807877121,2020-03-30 23:24:38,"Illinois school closures during the coronavirus shutdown have revealed a stark digital divide among students, as sp… https://t.co/QfvJ1r1HYy",13
1244767200105369602,2020-03-30 23:23:21,"RT @HeidiStevens13: The bride wore white. The cat wore a bowtie. The guests wore pretty much whatever they wanted to wear.

In the age of c…",3
1244764267741577216,2020-03-30 23:11:42,"Rations of high-demand goods, shoppers in masks and reminders to keep your distance. This is the brave new world of… https://t.co/XXyZG14WnS",6
1244761088249548800,2020-03-30 22:59:04,Gov. J.B. Pritzker said Monday that a shipment of masks and medical supplies sent to Illinois by the White House “w… https://t.co/WixdiXPYXj,92
