id,created_at,text,retweet_count
1244722226429071365,2020-03-30 20:24:39,"Breaking News: President Trump, on a call with governors, suggested a shortage of coronavirus test kits had been re… https://t.co/7gAiQC7fyM",35
1244721084685004801,2020-03-30 20:20:07,No sector of Latin American society may be as vulnerable to the impacts of the coronavirus than those who toil in t… https://t.co/s1lp5UddxL,36
1244716803722543109,2020-03-30 20:03:06,"President Vladimir Putin has been curiously absent in much of Russia's response to the coronavirus. He ""wants to br… https://t.co/mfsWNj9Ym1",106
1244716063893446666,2020-03-30 20:00:09,"Critic's Notebook: ""Among the social impacts of the coronavirus is its swift dismantling of the cult of celebrity,""… https://t.co/aKV9yD1udc",19
1244715110083502084,2020-03-30 19:56:22,"RT @cflav: The coronavirus has put the brakes on a 5-year global contest offering $20M for profitable uses for carbon dioxide, to stop us f…",45
1244712683343097856,2020-03-30 19:46:44,"Correction: An earlier version of this article misstated the number of Macy’s employees. It’s 125,000, not 130,000.… https://t.co/k4CyahvNba",11
1244712288982097923,2020-03-30 19:45:09,"Macy’s, which also owns Bloomingdale’s and Bluemercury, plans to furlough most of its 125,000 U.S. workers as store… https://t.co/wqHoZbjl39",44
1244705979259932674,2020-03-30 19:20:05,A Vincent van Gogh painting was stolen overnight from a small museum in the Netherlands — that's closed because of… https://t.co/N5UQxCp35w,305
1244700980853301248,2020-03-30 19:00:13,"""In times of crisis we should all be diarists and documentarians,"" says the writer Paul Theroux https://t.co/OP8k8FnSMS",104
1244695912586326023,2020-03-30 18:40:05,"Naomi Replansky, a 101-year-old poet and labor activist, and her wife Eva Kollisch, a 95-year-old former professor… https://t.co/IHAIILUhms",124
1244693429608726532,2020-03-30 18:30:13,"After Jerry Falwell Jr. reopened Liberty University last week, nearly a dozen students were sick by Friday with sym… https://t.co/7kdigEXWGm",165
1244690879253790720,2020-03-30 18:20:05,"The Trump administration plans to issue its final rule rolling back Obama-era fuel economy standards, undoing a maj… https://t.co/IRaRRNzRVG",164
1244689632115208196,2020-03-30 18:15:08,"RT @Rueby: We’re looking for good news! What are the thoughtful things you’ve done for your neighbors or family, or that have been done for…",31
1244688515897659397,2020-03-30 18:10:42,Sending a U.S. Navy ship to join the battle against the coronavirus in New York is a calculated risk. Even though o… https://t.co/CnnIPQNO4G,50
1244687019005050880,2020-03-30 18:04:45,"Read this story in English:
https://t.co/Ceh4OTJvAW",35
1244686797860462592,2020-03-30 18:03:52,"Nessun paese è stato colpito dal coronavirus così duramente come l’Italia e nessuna provincia come Bergamo.

Queste… https://t.co/x1qNJ7LNTa",16
