id,created_at,text,retweet_count
1244848902056095744,2020-03-31 04:48:01,"U.S. citizen, 61, dies in custody at San Ysidro border crossing https://t.co/sEXlsUpUiJ",9
1244845127132160000,2020-03-31 04:33:01,Column: Trump blocks coronavirus bailout oversight even before it can start https://t.co/H38xTFkdpf,27
1244839317400219648,2020-03-31 04:09:55,L.A. Mayor Eric Garcetti announces that rent increases on rent controlled apartments will be banned during the coro… https://t.co/ROCe2CZ2Jk,47
1244837579230502913,2020-03-31 04:03:01,Hospitalizations spike as California tries to slow coronavirus spread https://t.co/7Mv0fr2ZXy,11
1244835435773169666,2020-03-31 03:54:30,While Gov. Gavin Newsom issued an urgent call for healthcare workers to join in caring for an expected surge of cor… https://t.co/Cnh5iuo4EV,23
1244833801928310784,2020-03-31 03:48:00,"Macy's to furlough majority of its 130,000 workers https://t.co/NdEicU8Qb2",15
1244833608356917248,2020-03-31 03:47:14,"Health officials warned that Seattle’s progress was insufficient, and urged citizens to redouble their commitment t… https://t.co/BDtAHeflE4",21
1244832301659197440,2020-03-31 03:42:03,"With the coronavirus crisis forcing Californians lose paychecks, here's a guide for renters and homeowners worried… https://t.co/vqXOfgTKq0",18
1244830317455654913,2020-03-31 03:34:10,RT @Ryan_Kartje: Updated from me and @BradyMcCollough: The NCAA has approved an extra year of eligibility for spring athletes. But what’s t…,12
1244830025691664385,2020-03-31 03:33:00,"Shaq shuts down 'Tiger King' backlash, insists Joe Exotic is 'not my friend' https://t.co/fCXJnqYQYH",14
1244827759165288449,2020-03-31 03:24:00,Stuck at home? Scroll through and enjoy our archival Instagram account: https://t.co/ybm1hfI7fL https://t.co/CXWyolZJhK,8
1244826396603510784,2020-03-31 03:18:35,RT @margotroosevelt: Coronavirus hospitalizations have doubled in California over last three days. Officials say modeling suggests Californ…,40
1244826252890038272,2020-03-31 03:18:01,Hollywood Burbank Airport reduces parking as pandemic keeps travelers away https://t.co/MsXLykL1Ol,4
1244825287767908355,2020-03-31 03:14:10,RT @latimesbooks: If you missed our virtual L.A. Times Book Club meeting with authors @stephycha and @joeidetweets you can watch it in full…,9
1244822478989537282,2020-03-31 03:03:01,"Doctors in India are being infected, trolled and evicted as they battle COVID-19 https://t.co/ENqAiQOoOZ",35
1244818702022971395,2020-03-31 02:48:00,Column: Economists agree with doctors that prematurely lifting lockdown would be disastrous https://t.co/VKnJFKO8aT,29
1244817692860633088,2020-03-31 02:44:00,"Los Angeles Mayor Eric Garcetti announced Monday a temporary suspension of all farmers’ markets, many of which have… https://t.co/z9wRDhrdim",36
1244816013746532352,2020-03-31 02:37:19,RT @latimesbooks: We love @stephycha and @JoeIdeTweets but the best part of our L.A. Times Book Club is easily Steph's dog Milo. He's a sce…,7
1244814929812697088,2020-03-31 02:33:01,John Krasinski and Steve Carell stage mini 'Office' reunion on uplifting new YouTube show https://t.co/41iLvySIJI,17
1244813383469109248,2020-03-31 02:26:52,"RT @DCteachild: Tonight's #Coronavirus newsletter:

- LA freezes rents for some, closes farmers' markets for all
- Newsom to retired health…",21
1244811704141115392,2020-03-31 02:20:12,"Live now: Author of ""High Five"" and the ""I.Q."" series @JoeIdeTweets reads his protagonist I.Q.'s credo at our L.A.… https://t.co/pBpzVxpOFv",3
1244811154309988358,2020-03-31 02:18:01,Column: Trump's daily coronavirus news briefings aren't just excruciating. They're dangerous https://t.co/eoa9ZIUTOD (via @latimesopinion),41
1244810401893605376,2020-03-31 02:15:01,"Coronavirus anxiety is running high on Navajo Nation — a sprawling reservation of 175,000 residents, scarce supplie… https://t.co/z14o2KDEoB",61
1244807470515499010,2020-03-31 02:03:23,Join us live as authors @stephycha and @joeidetweets talk about L.A. crime fiction with reporter @marialaganga at o… https://t.co/R1oM2tl5wS,6
1244805613244289030,2020-03-31 01:56:00,"We're minutes away from our virtual Book Club! Get comfortable, grab some snacks and join us for a conversation wit… https://t.co/L0hnExUCA1",0
1244805366082387968,2020-03-31 01:55:01,"""Trump’s ill-informed promotion of unapproved drugs during a global pandemic is a helpful reminder of why healthcar… https://t.co/lmEVdp6Vg9",30
1244803601660358658,2020-03-31 01:48:00,"As coronavirus roils courts, prosecutors and public defenders fume about state directives https://t.co/Y7uDgG5oco",10
1244802848589860865,2020-03-31 01:45:01,"We're minutes away from our virtual Book Club! 

Get comfortable, grab some snacks and join us for a conversation w… https://t.co/hCE8fEfk20",9
1244802344354709505,2020-03-31 01:43:00,RT @DonnaWares: What to do in quarantine: Join our first virtual L.A. Times Book Club event with ⁦@stephycha⁩ ⁦@JoeIdeTweets⁩ ⁦@marialagang…,15
1244802205665771525,2020-03-31 01:42:27,"At a moment in which viewers are eager for accurate information about the coronavirus outbreak, venerable formats a… https://t.co/jvXpsCUg9x",7
1244801720959373312,2020-03-31 01:40:32,Ford is speeding up plans to produce ventilators in cooperation with General Electric by selecting a simpler design… https://t.co/5uofKE1B8T,25
1244801423759400960,2020-03-31 01:39:21,"The deadly outbreak among members of a choir has stunned health officials, who have concluded that the virus was al… https://t.co/QuoTP9vtfq",32
1244799830037352448,2020-03-31 01:33:01,"If you’re ‘essential’ enough to work through a coronavirus pandemic, you’re essential enough to be paid living wage… https://t.co/9raXeJvWn8",78
1244797198673403904,2020-03-31 01:22:34,RT @stephycha: Ever had the mildest desire to come to one of my events but you live in a different city or would have to brave traffic or y…,22
1244797056994234368,2020-03-31 01:22:00,"SoFi Stadium is scheduled to open in July, however, an unidentified construction worker has tested positive for cor… https://t.co/WVMetU8wB5",15
1244796054148722691,2020-03-31 01:18:01,Former Dodgers manager Joe Torre sells charming New York lake house https://t.co/zS1jIinIdg,10
1244793207067512834,2020-03-31 01:06:42,"RT @cashleelee: wow — Center Theatre Group has indefinitely postponed its entire summer lineup, including the world premiere of LeBron Jame…",19
1244792279891611649,2020-03-31 01:03:01,Trump’s mixed messages confuse coronavirus response https://t.co/UCWbtjWe99,11
1244792177865023488,2020-03-31 01:02:36,"RT @jpanzar: Over the weekend, an unidentified worker tested positive for COVID-19 and another Monday was said to be “presumed positive.” B…",35
1244791955277537280,2020-03-31 01:01:43,Markets that wish to continue operating are required to submit a plan to ensure social distancing between customers… https://t.co/KrtUR8EURE,9
1244791564615876608,2020-03-31 01:00:10,"Breaking: Mayor Eric Garcetti announced a temporary suspension of all farmers markets, many of which have stayed op… https://t.co/IrXESoNgsH",79
1244791456130150405,2020-03-31 00:59:44,Set a reminder so you don't miss our virtual @latimesbooks club event on YouTube here: https://t.co/4QSnxAPT6v,1
1244791455454879744,2020-03-31 00:59:44,No plans tonight after WFH? No problem. Join us for Book Club! We're hosting a virtual Q&amp;A with @JoeIdeTweets &amp;… https://t.co/q3Vs74jJJk,2
1244790412897693696,2020-03-31 00:55:36,"RT @latimesent: @latimesbooks @stephycha @JoeIdeTweets @marialaganga We hope to see you at 7 p.m. for our first ever, virtual L.A. Times Bo…",7
1244790264075620354,2020-03-31 00:55:00,"Instacart grocery shopping and delivery workers striked today, calling for better pay and sick leave benefits. 

Me… https://t.co/d61bLsgZmw",11
1244790263605866497,2020-03-31 00:55:00,"The wait for test results has reached eight days at Emergency Medicine Specialists of Orange County, where doctors… https://t.co/8vq3H3gPz4",17
1244789430621048832,2020-03-31 00:51:41,Ford will produce ventilators around the clock on three shifts staffed by 500 paid volunteers from the United Auto… https://t.co/B2UgZFY6V4,54
1244788504611164160,2020-03-31 00:48:01,Cuomo's popularity hits seven-year high in midst of coronavirus epidemic in New York https://t.co/di2qHM5Hd4,21
1244788358791888897,2020-03-31 00:47:26,"⚡️ “L.A. freezes rent for thousands of apartments”

https://t.co/AEigssX77D",59
1244785306701688832,2020-03-31 00:35:18,"The announcement covers about 624,000 apartments that currently fall under the city’s rent stabilization program, a… https://t.co/mQPcMT2pnH",14
1244785133502124032,2020-03-31 00:34:37,Mayor Eric Garcetti announced Monday that landlords would not be allowed to increase the rent for hundreds of thous… https://t.co/ZHoyn389gG,93
1244785090531446784,2020-03-31 00:34:27,"RT @latimesbooks: Tonight, we’re hosting our first, virtual L.A. Times Book Club event, right here on Twitter. 
We’ll be live at 7 p.m. wit…",7
1244784921282891776,2020-03-31 00:33:46,"RT @DavidZahniser: Concerned about crowds, L.A. Mayor Eric Garcetti has announced the suspension of farmers' markets until they have submit…",75
1244784872096292865,2020-03-31 00:33:35,"RT @AlpertReyes: Mayor Eric Garcetti is suspending any rent increases in apartments that fall under the Rent Stabilization Ordinance, which…",37
1244784727514656768,2020-03-31 00:33:00,“Many employees with the ability to work remotely have found themselves working alongside their partner and/or room… https://t.co/ojBsVWXxq0,7
1244781173387096065,2020-03-31 00:18:53,RT @shelbygrad: Will the coronavirus outbreak lead to new L.A. crime fiction? The jury is out https://t.co/XGr1tnFlkU,6
1244780956034240514,2020-03-31 00:18:01,Coronavirus hospitalizations have doubled in California over last three days https://t.co/Wk0qf4euyL,53
1244779577982910464,2020-03-31 00:12:32,"California has recorded more than 140 deaths and more than 6,800 cases. Here's what we know so far about the statew… https://t.co/r5h2rr39tY",10
1244779229608173568,2020-03-31 00:11:09,"Between Friday and Monday, the number of California patients hospitalized with COVID-19 in intensive-care beds near… https://t.co/Kv16K7hLwb",37
1244777237066309632,2020-03-31 00:03:14,"RT @latimesharriet: “We all feel like we are living on the knife’s edge.”
https://t.co/9BSYsp1Csy",13
1244777179713544194,2020-03-31 00:03:01,"Goodwill is closed, but you can still get some decluttering done. Here's how. https://t.co/nLI6V3bWQM",8
1244777152005824512,2020-03-31 00:02:54,RT @LATimesTVLloyd: The Times TV kids serve up another helping of recommendations. (Mine is “Bored to Death” - scroll down.) https://t.co/R…,4
1244775227705319425,2020-03-30 23:55:15,"RT @Jenn_Harris_: In case you're wondering (i know you are), @TheDonutManCA is still making dougnuts. @TheBrianPark reports 🍩 https://t.co/…",20
1244773963592425472,2020-03-30 23:50:14,"⚡️ “Instacart claims its workers' strike has had ‘no impact’ on deliveries”

https://t.co/hVimKStR0D",5
1244773402990313474,2020-03-30 23:48:00,Venice restaurant Gjusta closes temporarily after employee tests positive for COVID-19 https://t.co/V6ntfNfdbU,18
1244771390127038466,2020-03-30 23:40:00,"This week's ""Home of the Week"" comes complete with a wood-paneled library, greenhouse and swimming pool.

Take a lo… https://t.co/MzzW2t3ZuT",5
1244770143319625728,2020-03-30 23:35:03,RT @AgrawalNina: Anthony Fauci is known as the first to arrive to work at NIH and the last to leave. @JennyJarvie has the backstory on the…,19
1244770135463923720,2020-03-30 23:35:01,"Instacart says a nationwide strike is having ""absolutely no impact” on its business, which is booming in response t… https://t.co/nEZwpxtObw",12
1244769687923113985,2020-03-30 23:33:14,"The spread of the coronavirus has shut down life at Florida's retirement villages, where social clubs, private dini… https://t.co/jma7qydKKl",14
1244769627789496325,2020-03-30 23:33:00,Shemar Moore buys and lists in the San Fernando Valley https://t.co/ySUxOHhAUy,2
1244768445381541888,2020-03-30 23:28:18,RT @JMBooyah: Instacart says business has not been impacted by the strike and in fact business is booming. They say they've seen more groce…,13
1244767618592112640,2020-03-30 23:25:01,Trump’s support for the malaria drugs chloroquine and hydroxychloroquine as potential COVID-19 remedies is an examp… https://t.co/CPzcVabbfq,39
1244766167824121856,2020-03-30 23:19:15,RT @TheBrianPark: He thought he had coronavirus and had nowhere to go. He spent five days alone in his car https://t.co/Ky6Ez8OSuv via @bor…,14
1244765853800894464,2020-03-30 23:18:00,Coronavirus case numbers and deaths mount in Ventura County https://t.co/wNvQuVhwT9,14
1244763843710070785,2020-03-30 23:10:01,"Until now, the voices warning against prematurely lifting stringent social regulations to combat the coronavirus ha… https://t.co/LKbcZ9PFfv",27
1244762714729136129,2020-03-30 23:05:32,"RT @AgrawalNina: A Washington choir went ahead with rehearsal. They brought their own sheet music, didn't hug or shake hands, and sat far a…",40
