id,created_at,text,retweet_count
1244844369972269056,2020-03-31 04:30:00,Getting a Nintendo Switch and beginning your island life in Animal Crossing might be more difficult nowadays than f… https://t.co/0sJoa5NL6H,1
1244836863610945539,2020-03-31 04:00:10,ROBBERY FOOTAGE: Police are seeking the public’s help in finding a man in connection to a robbery at a central Las… https://t.co/eFqRIGPL3b,19
1244829271241232384,2020-03-31 03:30:00,"Penalties and late fees will not be assessed on business licenses due in April, May or June and perhaps longer https://t.co/KtAiiQ5rUq",1
1244821728997658626,2020-03-31 03:00:02,City officials encouraged residents who were employed or not suffering financial hardship to keep paying their sewe… https://t.co/Rsf5tI6T9k,1
1244814170870218753,2020-03-31 02:30:00,The spring breezes of 2020 are carrying more than just tree pollen. There’s a whiff of paranoia in the air https://t.co/Af6PagEdkN,2
1244812399917633545,2020-03-31 02:22:58,"A Hummer pulled in front of the motorcycle, and the rider braked and lost control, Las Vegas police said https://t.co/CUr8FItFwA",1
1244807887232413697,2020-03-31 02:05:02,"Las Vegas Boulevard is nearly empty, the Fountains of Bellagio are still and barricades block the entrances to typi… https://t.co/1HhToNyUfE",70
1244799329593896960,2020-03-31 01:31:02,"Nevada's COVID-19 death toll has reached 18, hours after the state reported the total number of cases had surpassed… https://t.co/yEEacazYAo",2
1244799077692387328,2020-03-31 01:30:02,The Southern Nevada Health District has called an emergency meeting of its board on Tuesday to consider allocating… https://t.co/oaQgU69WtV,4
1244791581930029058,2020-03-31 01:00:14,"NEW COSTCO HOURS: All Costco stores will close at 6:30 p.m. Mondays through Fridays, while weekend hours will remai… https://t.co/CkVzfrYqrc",4
1244789004496711680,2020-03-31 00:50:00,We're looking to speak with the Class of 2020 about how your senior year (high school or college) has been affected… https://t.co/RE8fNcDuFd,3
1244786487549452288,2020-03-31 00:40:00,Secretary of Defense Mark Esper says a New Jersey Army National Guardsman is the first U.S. service member to pass… https://t.co/Fc9FH7hFlA,5
1244781454606905344,2020-03-31 00:20:00,".@LVAces players Kelsey Plum, A’ja Wilson and Lindsay Allen are in Las Vegas during the coronavirus pandemic and fi… https://t.co/QritduoyPV",12
1244776436336132096,2020-03-31 00:00:03,Construction projects across the Las Vegas Valley have been reminded of the need to follow safety guidelines to all… https://t.co/WTqFirmS2N,3
1244771388101140483,2020-03-30 23:40:00,Are you looking for a way to give back? Community organizations are in need of donated items and money to assist th… https://t.co/xBjugdZzaa,3
1244768875692130306,2020-03-30 23:30:01,"Howard Berman, who suffered from chronic obstructive pulmonary disease, was among the pandemic’s high-risk populati… https://t.co/WUJing0ZNq",6
1244761338527834114,2020-03-30 23:00:04,Social distancing and distance education didn’t stop the Las Vegas Academy of the Arts wind symphony from putting o… https://t.co/qHubO2RSEq,10
1244756288938094595,2020-03-30 22:40:00,"Whether you’re looking to make hundreds or thousands of extra dollars in a short time period, here are 10 gigs you… https://t.co/RG4WyjbEi6",0
1244754911067353093,2020-03-30 22:34:31,"The shooting was reported just before 2 p.m. on the 800 block of North Major Avenue, near Burkholder Boulevard, Hen… https://t.co/rhWEbJnVko",0
1244751255693598720,2020-03-30 22:20:00,Are you looking for a job? Some companies have a need for extra help in the wake of changes from the coronavirus pa… https://t.co/oG41Q0lR1R,19
1244746233358487553,2020-03-30 22:00:02,"While it’s uncertain when the NHL season will resume, it already has been a crazy journey for the @GoldenKnights. W… https://t.co/TO6R0mq91N",1
1244741189372346373,2020-03-30 21:40:00,.@dinatitus praised law enforcement for tracking down a Las Vegas man who is accused of threatening to kill her https://t.co/Eb4YIvt7bd,1
1244736156622782465,2020-03-30 21:20:00,Clay Travis of “Outkick the Coverage” advocated that the @NBA consider finishing its season at four arenas in Las V… https://t.co/ueduKjzJeZ,2
1244734701056798720,2020-03-30 21:14:13,WATCH LIVE: @realDonaldTrump and the Coronavirus Task Force hold a briefing about COVID-19 on Monday https://t.co/qhSTg5AmMD,0
1244731139413233665,2020-03-30 21:00:04,The IRS warns that the government’s issuance of checks to most Americans for financial relief during the COVID-19 p… https://t.co/w5pJCwHyqe,2
1244728489498030080,2020-03-30 20:49:32,BREAKING: The man accused of killing a Nevada Highway Patrol sergeant on Friday delivered a suspicious package to E… https://t.co/2JMbdgP5Xh,3
1244727161895792641,2020-03-30 20:44:15,RT @johnnykats: Gang: Follow me on the @ReviewJournal Facebook page at 3 p.m. today on my latest a walking tour of the Las Vegas Strip on V…,4
1244726090024845316,2020-03-30 20:40:00,"While schools statewide have been ordered to remain closed until at least April 14, @VegasPBS will offer 12 straigh… https://t.co/GSNdFlp0vE",2
1244721056780374016,2020-03-30 20:20:00,A newly-formed public-private partnership will help Nevada “punch above our weight” when it comes to securing medic… https://t.co/7XNyHMxwZa,1
1244716026316627976,2020-03-30 20:00:01,The Tokyo Olympics will open next year in the same time slot scheduled for this year’s games https://t.co/JjK6MG0bvv,0
1244710990656212992,2020-03-30 19:40:00,"The Welcome to Fabulous Las Vegas sign stands alone as a civic icon. It’s been standing largely alone, in fact, dur… https://t.co/5ugbFcMF4F",1
1244705957088759811,2020-03-30 19:20:00,"Appointment by appointment, healthy people throughout the Las Vegas Valley are still stepping up to give blood amid… https://t.co/nCwK7WUbEf",2
1244703440372207622,2020-03-30 19:10:00,Several Southern Nevada restaurants have shifted its focus to takeout and delivery services https://t.co/HQgJGsXfXU,3
1244700930437758976,2020-03-30 19:00:01,A man found dead under suspicious circumstances at a south valley park on Thursday has been identified https://t.co/XidvyLwdye,0
1244695890625015809,2020-03-30 18:40:00,"A few months after his final pitch, @BryanHarper45, brother of major league star @bryceharper3, has embarked on a s… https://t.co/y99xP5ufWW",6
1244690857938296834,2020-03-30 18:20:00,ICYMI: @GovSisolak announced an order halting all residential and commercial evictions in the state for as long as… https://t.co/4KDqLh6v2u,8
1244687791793016832,2020-03-30 18:07:49,WATCH LIVE: Elected officials from the cities of Reno and Sparks and Washoe County are address the public regarding… https://t.co/4im4mPIAyx,2
1244685839428390914,2020-03-30 18:00:03,A director of the Las Vegas police union and a veteran detective pleaded not guilty to felony charges that stem fro… https://t.co/HksU37PncD,3
1244680792556568578,2020-03-30 17:40:00,"A man slain Friday on a residential street in Henderson died from a gunshot wound to the chest, and his death has b… https://t.co/gxM5hVuiWo",1
1244678278096584704,2020-03-30 17:30:01,"UPDATE: The number of COVID-19 cases in Nevada has surpassed 1,000, the state Department of Health and Human Servic… https://t.co/zUoZkLrH9p",0
1244675759077314560,2020-03-30 17:20:00,Macy’s says it will stop paying tens of thousands of employees who were thrown out of work when the chain closed it… https://t.co/DZ4qQeBWfY,7
1244671804855201792,2020-03-30 17:04:17,WATCH LIVE: Medical experts in Southern Nevada discuss the coronavirus pandemic https://t.co/Vb24KKeSmf,2
1244665691917234177,2020-03-30 16:40:00,ATTENTION @Costco shoppers! Costco announced it will reduce hours at its stores and gas pumps starting today https://t.co/KQ21SuqjyD,1
1244662718176657409,2020-03-30 16:28:11,A man who perished in a northeast Las Vegas structure fire Tuesday has been identified by the Clark County coroner’… https://t.co/JzrRvN8VCn,0
1244660658710478849,2020-03-30 16:20:00,Two of the biggest attractions in the Las Vegas area remain closed because of the coronavirus pandemic https://t.co/jHJrBq0JLf,2
1244655634026463232,2020-03-30 16:00:02,"Playgrounds at @CityOfLasVegas parks will be closed though the parks will remain open, the city announced Monday https://t.co/NiTAoyj18E",3
1244653108539600898,2020-03-30 15:50:00,Medical experts in Southern Nevada will discuss the coronavirus pandemic in a panel Monday morning https://t.co/nUK1VsLJgH,0
1244650593299378176,2020-03-30 15:40:00,A Dutch museum that is closed to prevent the spread of the coronavirus said Monday a painting by Vincent van Gogh o… https://t.co/6LNm9OWeCC,1
1244645560776343553,2020-03-30 15:20:00,"Jeff Lowe, a central figure in the Netflix documentary phenomenon “Tiger King,” wanted to do business with the last… https://t.co/UKq1cODLPg",3
1244643465079803904,2020-03-30 15:11:41,"LATEST NUMBERS: The number of COVID-19 cases in Nevada climbed to 996 overnight, the state Department of Health and… https://t.co/46lWftXZrL",12
1244636525452824576,2020-03-30 14:44:06,"RT @Shea_LVRJ: Inbox: @CityOfLasVegas to close playgrounds, following lead of other local governments that did so a week ago.",4
1244635492458598400,2020-03-30 14:40:00,"The makeshift shelter at Cashman is open from 6 p.m. to 8 a.m. through Friday, because Catholic Charities is expect… https://t.co/ImflqcQnJ1",1
1244630460413730816,2020-03-30 14:20:00,"With the COVID-19 pandemic affecting all portions of life across the world, one thing that will keep on moving are… https://t.co/xvzyGj8HFg",3
1244625437290045441,2020-03-30 14:00:02,Dr. Anthony Fauci says smaller U.S. cities that don’t yet have large numbers of COVID-19 cases are ripe for the typ… https://t.co/F2lsRCqJZV,6
1244620393408798721,2020-03-30 13:40:00,Work has begun on one of the largest and most time-intensive aspects of the $980.3 million Las Vegas Convention Cen… https://t.co/a1aEy05RfL,4
1244615359853998089,2020-03-30 13:20:00,"Sunshine and warming temperatures are forecast this week for the Las Vegas Valley, the @NWSVegas said https://t.co/SHVE8sNLn1",3
1244610348185014273,2020-03-30 13:00:05,"NFL Draft prop bets are here, and you can place a bet on things like who goes second overall or the first wide rece… https://t.co/KKUMujeisQ",0
1244607418509561861,2020-03-30 12:48:26,March 18th won't be forgotten: It's the day most Las Vegas-related gaming stocks plunged to 52-week lows.… https://t.co/WoL6s5s0Hw,3
1244595213827338240,2020-03-30 11:59:57,"Convention pour: Putting down 600,000 square feet of concrete at the Las Vegas Convention Center expansion will tak… https://t.co/HM1alrKuuU",1
1244497021362266112,2020-03-30 05:29:46,"The makeshift shelter at Cashman is open from 6 p.m. to 8 a.m. through Friday
https://t.co/hPxEJP4doK",0
