id,created_at,text,retweet_count
1247991855549210624,2020-04-08 20:56:59,Food distribution on April 23rd from 10am to 1pm at Notre Dame d’ Haiti Catholic Church/ Distribución de Comida/ Di… https://t.co/hQ9ccvmYmD,9
1244996404415803392,2020-03-31 14:34:08,RT @CityofMiami: Mayor's Virtual Press Conference https://t.co/sfIamAQ1nr,30
1244813695684935680,2020-03-31 02:28:07,"Tomorrow, I’ll be hosting a virtual press conference to mark the end of my quarantine and to discuss our actions to… https://t.co/HFWFNWRSmu",21
1243311466154872833,2020-03-26 22:58:47,"Effective tomorrow, a curfew will be enforced between 10:00pm and 5:00am in the @CityofMiami. This is yet another m… https://t.co/vU6H94jdA7",88
1243005073422192644,2020-03-26 02:41:18,"RT @CityofMiami: Commission Meeting - March 25, 2020 https://t.co/0pGfomjoai",30
1242627746808901633,2020-03-25 01:41:56,"The @CityofMiami has officially issued a shelter in place order. Effective today, all non-essential travel within t… https://t.co/0O0mkQjr1X",208
1242209896982077447,2020-03-23 22:01:33,"Seniors make up a significant portion of the @CityofMiami’s population, and are also among the most vulnerable to C… https://t.co/hywtXGTgI7",61
1240769797534691333,2020-03-19 22:39:06,"My message encouraging all @CityofMiami residents to shelter in place. By limiting social interactions, we can slow… https://t.co/T6RpqsQvu1",70
1239969546917703680,2020-03-17 17:39:12,"Here is some more information on the @CityofMiami’s announcement regarding closures for restaurants, bars, nightclu… https://t.co/r7ZrXVE0du",27
1239746155426217984,2020-03-17 02:51:31,"RT @CityofMiami: Remember to stay prepared &amp; informed. For all updates regarding COVID-19 in the City of Miami, please visit: https://t.co/…",35
1239370100769198088,2020-03-16 01:57:13,"RT @CityofMiami: City orders reduced hours, occupancy loads for all non-essential businesses to encourage social distancing, reduce public…",54
1239370072457650184,2020-03-16 01:57:06,"RT @CityofMiami: #COVID19 demands our attention, but it’s important to disconnect and recharge, too. Here are some recs:
 
Read 📖📚
🧩 Start…",69
1238193280996847621,2020-03-12 20:00:57,Here is my statement regarding my decision to self-quarantine: https://t.co/zKAmOXIB2Q,88
1238117993831444481,2020-03-12 15:01:47,"At 2:00PM, we will be holding a press conference at #Miami City Hall to announce that the @CityofMiami will be ente… https://t.co/gltHELgZSO",47
1235946890644029441,2020-03-06 15:14:36,"Given developments regarding COVID-19 coronavirus, we‘ve decided to postpone @ultra and not approve special event p… https://t.co/4XfjG6ZeOL",20
1235703189325795329,2020-03-05 23:06:13,RT @FrancisSuarez: Want to know what makes @CityofMiami and the #305 special? Just take a look below. Happy #305Day!,5
1234889869454868480,2020-03-03 17:14:22,"RT @CityofMiami: A reminder on how to stop the spread of germs around you. For more information, please visit: https://t.co/XxWiDAy49b.",17
1234520665287426048,2020-03-02 16:47:17,"With two documented COVID-19 coronavirus cases in Florida, the @CityofMiami is staying vigilant. Today, we held a p… https://t.co/dQdQE64Fqq",14
1234482557330370560,2020-03-02 14:15:51,"RT @CityofMiami: Stop the spread of germs by watching a few quick tips below. For more information, please visit: https://t.co/XxWiDAy49b.…",44
1234244058039672834,2020-03-01 22:28:09,"Maria Del Carmen Alvarez has dedicated herself to the betterment of our community. Lovingly known as Carmina, for y… https://t.co/Zx7cqd2Qmw",5
1233418238752628736,2020-02-28 15:46:38,"As our emergency managers work diligently to keep our residents safe, we urge you to wash your hands regularly, not… https://t.co/LZAvM37NKO",3
1233418126529900547,2020-02-28 15:46:11,.@CityofMiami has been actively preparing for any possible impacts related to COVID-19 coronavirus for weeks. Our e… https://t.co/P6mBGfDeQB,6
1232712930090721282,2020-02-26 17:03:59,"Safety symbolizes a critical aspect of creating a high quality of life. In the @CityofMiami, we’re working to ensur… https://t.co/WJB7eyy5oV",6
1232349562716770305,2020-02-25 17:00:06,.@DwyaneWade you’ve always been the real MVP at the game of basketball and in life. It’s our honor to memorialize y… https://t.co/m7fJS8gH00,6
1232013213258207238,2020-02-24 18:43:34,"#Miami has always been #WadeCounty but, today, it’s official. After giving @DwyaneWade the Key to the City, we’re n… https://t.co/hcyIF5vwtF",1013
1232003651167805441,2020-02-24 18:05:34,".@CityofMiami represents generations who have risked everything to flee communism. Today, we announced our support… https://t.co/k06qc1oyhL",88
1231974888119861248,2020-02-24 16:11:16,.@Artnoriega5 is officially the new City Manager. The Commission voted unanimously to ratify my selection of Mr. No… https://t.co/UNmmx7c9vp,17
1231949727207436289,2020-02-24 14:31:18,"Today, I announced @Artnoriega5 as my selection for City Manager. Mr. Noriega brings a wealth of institutional know… https://t.co/IhlNAS9N8a",7
1231402279674241025,2020-02-23 02:15:56,.@DwyaneWade has always held the key to our hearts. From his unforgettable moments on the court to the lives he has… https://t.co/aSi3pmg4yG,47
1230135186190368769,2020-02-19 14:20:57,#Miami at a glance. This demonstrates our commitment to growing the @CityofMiami in ways that promote economic oppo… https://t.co/MRy8NxsNXK,5
