id,created_at,text,retweet_count
1248481343744294912,2020-04-10 05:22:02,College students at Illinois universities are unlikely to get tuition refunds after coronavirus campus shutdowns.… https://t.co/doN9xQS3dS,10
1248478790331711488,2020-04-10 05:11:53,Gov. Pritzker said trends in the increase of coronavirus cases across the state seem to be signaling that Illinois… https://t.co/BaIcDF9nxi,11
1248475564794470403,2020-04-10 04:59:04,"“I feel like I’m in high school again."" The coronavirus pandemic has sent thousands of crestfallen college students… https://t.co/nOl5PtUAqq",6
1248475564505100288,2020-04-10 04:59:04,The NFL unveiled a new collection of team hats ahead of the 2020 NFL Draft. Take a look here. https://t.co/zoHKohxfx0,3
1248475563200622592,2020-04-10 04:59:04,"Trying to land a job, graduates? Here’s advice from Great Recession veterans https://t.co/NSUdSKeQQs",1
1248475561778769920,2020-04-10 04:59:04,It was only a matter of time until COVID-19 affected the dating world. https://t.co/dXFnlvkIjD,1
1248464509070536704,2020-04-10 04:15:08,Health officials have recommended that we cover our faces with fabric during the coronavirus pandemic. But what mat… https://t.co/Iqq2hJRVcp,9
1248461980626649088,2020-04-10 04:05:06,"President Trump reportedly relishes his daily coronavirus briefings, but some Republicans don’t like what they’re h… https://t.co/QshcedP9Ve",10
1248450896582905856,2020-04-10 03:21:03,"Amid coronavirus, would-be airline passengers battle to get refunds for canceled flights: ""Airlines are playing gam… https://t.co/rGOhR2i6ac",8
1248438772871692288,2020-04-10 02:32:52,"Almost 30% of tenants in the United States did not pay rent on time in April, but experts say the numbers could be… https://t.co/3uolx4nTjt",3
1248435029765533697,2020-04-10 02:18:00,"After a COVID-19 diagnosis, how do you know when it’s safe to be around others? Here are answers about getting it —… https://t.co/o8MXZHqH0d",10
1248431278027714562,2020-04-10 02:03:06,The Chicago Park District has found a creative solution to produce hand sanitizer: partner with Illinois farmers. https://t.co/bup6wpiUCL,7
1248428433404620812,2020-04-10 01:51:47,"Her mother was pregnant with her while sick with Spanish flu. She died of COVID-19. In between, a meaningful and me… https://t.co/iK6nIU1eLt",18
1248423726510526467,2020-04-10 01:33:05,"""Alexa, help me...I am in pain"": A Michigan nursing home resident repeatedly asked her Amazon Echo for help before… https://t.co/5yshMtOWdI",21
1248421716805607425,2020-04-10 01:25:06,The Chicago Bears commit to spending $1.92 million on coronavirus relief efforts https://t.co/QfQ1xa1p12,31
