id,created_at,text,retweet_count
1248536951441022985,2020-04-10 09:03:00,I'm a South Korean adoptee in America. And I feel more invisible than ever https://t.co/3UFdbMbaFz,3
1248529402939559941,2020-04-10 08:33:00,Review: ‘The Mindfulness Movement’ offers an important message if you can only tune out the noise https://t.co/ywR1g0MdR0,6
1248521854685503488,2020-04-10 08:03:01,"From their coronavirus quarantine, Michael Imperioli and Steve Schirripa talk 'Sopranos' with you https://t.co/PwEBCknHud",14
1248514301847109634,2020-04-10 07:33:00,"Review: Five new movies to watch at home (or not), ranked from must-see to skip it https://t.co/YLaNbFPSAc",2
1248506754343690242,2020-04-10 07:03:01,"What Alexander McCall Smith is reading, hearing and watching in quarantine https://t.co/bTcvw6HDxz",5
1248499203615023105,2020-04-10 06:33:00,"Despite staggering jobless numbers, stocks gain as Fed steps up help https://t.co/WFzy3aUE7e",7
1248491654547304449,2020-04-10 06:03:00,How indie fitness studios are pivoting to stay alive amid the shutdown https://t.co/LYjqohBAxe,9
1248484106855272448,2020-04-10 05:33:01,"April rains have put a dent in the drought, at least in Southern California https://t.co/AAAwVxlqI6",72
1248476556042723328,2020-04-10 05:03:01,I'm a mixed race South Korean adoptee in America. And I feel more invisible than ever https://t.co/NqCxPeTwMr,22
1248472781185880065,2020-04-10 04:48:01,The pandemic and hoarding are drying up vital food supplies to L.A.'s homeless residents https://t.co/3otKZFgVRQ,58
1248469007268601860,2020-04-10 04:33:01,Race to save rare California frog beats coronavirus lockdown https://t.co/mdIsOL6qRL,20
1248465232843825152,2020-04-10 04:18:01,Quarantine must-watch of the day: Marin Ireland in the immigrant tale 'Ironbound' https://t.co/rmJteI59Ky,10
1248461454358937601,2020-04-10 04:03:00,Is it responsible to recommend restaurant takeout during the shutdown? https://t.co/6anGJXvfqQ,7
1248457680844230659,2020-04-10 03:48:00,To my grandsons: Passover and Easter are difficult this year — and a lasting gift https://t.co/VY2yDo5L2A,13
1248453905660260358,2020-04-10 03:33:00,Column: Trump again attacks the U.S. Postal Service with lies https://t.co/7U7SmKXCb9,75
1248450130212249600,2020-04-10 03:18:00,Column: Should we be paying other people to do our grocery shopping? https://t.co/LbAsKhsLMO,21
1248446356819251205,2020-04-10 03:03:01,COVID-19 made cruises look terrible. But fans are still booking trips for 2021 https://t.co/HzNxgyhwRz,19
