id,created_at,text,retweet_count
1248536219245596675,2020-04-10 09:00:06,"Through two world wars, Britain’s pubs stayed open. Their closure now, for the first time in the country’s history,… https://t.co/QU7ehUlbKQ",42
1248531183736160257,2020-04-10 08:40:05,"Abortions became legal in Northern Ireland on March 31, but the rollout of services has been stalled. Women continu… https://t.co/NUiUi4zfRh",40
1248526139825537025,2020-04-10 08:20:02,"Hong Kong, Singapore and Taiwan — once heralded for early successes in battling the pandemic — are now confronting… https://t.co/rdiQO3tXjO",327
1248521148196892672,2020-04-10 08:00:12,"Zhang Lifa spent years working on China’s nuclear weapons program. Like his father, he felt an impulse to serve his… https://t.co/YJeYvhaQOw",39
1248518599528022016,2020-04-10 07:50:05,"Alan T. Ortiz, a leading foreign policy expert who held prominent positions in the Philippine government, traveled… https://t.co/AdbUyXLEUC",34
1248516087584624640,2020-04-10 07:40:06,"Prime Minister Boris Johnson of Britain was moved out of intensive care on Thursday, a ray of hope for a country th… https://t.co/qA8ti6OVuz",53
1248511048514187264,2020-04-10 07:20:04,The volume of phone calls has surged more than internet use as people want to hear each other’s voices in the pande… https://t.co/HDSPLwhAGZ,271
1248506032390729728,2020-04-10 07:00:08,Europe morning briefing: Here's what you need to know to start your day https://t.co/ScbCIBc8ty,17
1248503506945716230,2020-04-10 06:50:06,"China has reclassified dogs as pets instead of livestock for the first time, as part of a clampdown on animal trade… https://t.co/T5RAlfqPtm",472
1248500977134493697,2020-04-10 06:40:03,"Iceland’s goal of testing everyone faces the same logistical hurdles that all countries face, critics pointed out.… https://t.co/ths9bWfglh",86
1248498564994445319,2020-04-10 06:30:28,A new attack ad by President Trump’s re-election campaign portraying Joe Biden as soft on China includes an image o… https://t.co/087i1W0ac0,223
1248495941662863366,2020-04-10 06:20:03,RT @RorySmith: Me and @tariqpanja tried to explain to Americans how a discussion about how football could survive an economic crash ended u…,44
1248493424543592449,2020-04-10 06:10:02,"OPEC, Russia and other countries reached a tentative agreement on Thursday to temporarily cut oil production. The r… https://t.co/fCvi3PnOkB",126
1248493420248567808,2020-04-10 06:10:01,RT @motokorich: Early success in containing the coronavirus does not guarantee eternal containment  https://t.co/fL99BfVQq5,106
1248490972683497472,2020-04-10 06:00:18,Attorney General William Barr said that President Trump was right to fire the inspector general who disclosed the w… https://t.co/fZQWfMnofw,148
1248485892118818817,2020-04-10 05:40:07,More than 16 million Americans have lost their jobs amid the outbreak. There is a growing agreement among economist… https://t.co/ixNMGshFJV,512
1248483365646262274,2020-04-10 05:30:04,"The biggest news for investors was in oil markets, where major producing countries were expected to hammer out a de… https://t.co/DYtxvs5BnE",43
1248480843401551873,2020-04-10 05:20:03,Baltimore has been divided for years by the Police Department’s desire to record residents from surveillance planes… https://t.co/ZBtpIITXBv,66
1248475835922665473,2020-04-10 05:00:09,The takeaways from Wisconsin’s vote-by-mail operation are instructive for other states if they choose to broaden vo… https://t.co/ZloDnRNxJH,77
1248470777130651648,2020-04-10 04:40:03,Melania Trump's encouragement of Americans to wear face masks was all the more striking because it contrasted with… https://t.co/QLjuDwacG0,195
1248466719334518786,2020-04-10 04:23:55,Read updates in Chinese: 新冠病毒疫情最新消息 https://t.co/p2N2IRZF3F,21
1248465246433378304,2020-04-10 04:18:04,"Hong Kong, Singapore and Taiwan, which were remarkably successful at limiting the epidemic in its early stages, hav… https://t.co/otySdytokj",375
1248460733806866433,2020-04-10 04:00:08,"Charlotte Figi, whose use of cannabidiol, or CBD, to treat her epilepsy helped popularize its medicinal use, has di… https://t.co/bzHLSJsYFf",275
1248456955149946880,2020-04-10 03:45:07,"The Amish community in Ohio has mobilized to help hospitals with medical supplies, even as it struggles with reconc… https://t.co/gdxXtNJxqu",362
1248454485669625862,2020-04-10 03:35:19,"RT @ChuBailiang: It’s a relief to be a step closer to rejoining family and friends. Right now, though, I feel sad to leave Wuhan, and grati…",129
1248454417751236609,2020-04-10 03:35:03,RT @ChuBailiang: Goodbye for now Wuhan. I’m leaving after 78 days. It’s been an unforgettable privilege. I haven’t been able to report or s…,914
1248453221179248640,2020-04-10 03:30:17,"RT @jmartNYT: NEW: With polls showing Trump under water in his handling of the virus, Republicans are nudging him to limit his gaffe-filled…",631
1248448121539039232,2020-04-10 03:10:01,"As her health worsened, Lou Ann Dagen asked the virtual assistant Alexa, ""How do I get help?"" 

Her sister said she… https://t.co/6lZiLkZ7aL",439
1248445625902997505,2020-04-10 03:00:06,"With a small population, Iceland has earned praise for a plan to test as many people as possible for exposure to th… https://t.co/sM9xr2Ij4P",104
1248440593195454464,2020-04-10 02:40:06,Christie’s will pay up to $16.7 million for failing to properly collect New York sales tax from 2013 to 2017 on pri… https://t.co/MyUx01NvKh,82
1248435549032943616,2020-04-10 02:20:04,"RT @mirjordan: Workers who produce America's food in chicken and meat plants, mainly blacks &amp; Latinos, are starting to get the coronavirus,…",312
1248430516316942337,2020-04-10 02:00:04,Plans to turn the Cathedral of St. John the Divine into a coronavirus field hospital were abruptly shelved on Thurs… https://t.co/ZMejYIGvUs,84
1248425477720563713,2020-04-10 01:40:03,"This week on Still Processing, @Wesley_Morris and @jennydeluxe break down “Tiger King” and what the show says about… https://t.co/BgrN1NPjJp",22
1248420437018570752,2020-04-10 01:20:01,RT @kevinmdraper: New reporting: UFC 249 was canceled after California Gov. Gavin Newsom called Disney to express his concerns with the eve…,230
1248415422489096195,2020-04-10 01:00:05,Traffic on New York City's busiest bridges and tunnels has plunged nearly 60%. The extraordinary shift offers a gli… https://t.co/vxOsPGH1bW,199
1248412890735865857,2020-04-10 00:50:02,RT @anniecorreal: A story about immigrant Queens we never thought we’d write. A 7-mile area celebrated as one of the most diverse places on…,307
1248410398660816897,2020-04-10 00:40:08,"This linguine with chickpeas, broccoli and ricotta recipe comes together in 20 minutes for a quick and flavorful me… https://t.co/KTxlk0FybX",101
1248405365235965953,2020-04-10 00:20:07,"RT @maggieNYT: Aides and allies increasingly believe the president’s daily briefings are hurting him more than helping, and are urging him…",1040
1248401645035065345,2020-04-10 00:05:21,Experts fear the folk heroism being assigned to Joe Exotic on social media could hurt efforts to end the abuse of b… https://t.co/sHNaWpawQY,106
1248400995534557186,2020-04-10 00:02:46,"Critics also say footage was edited to imply the animals Carole Baskin cares for are kept in small, squalid cages.… https://t.co/9pyWykOOtQ",72
1248400320356483075,2020-04-10 00:00:05,"News Analysis: Major figures in “Tiger King” say they were paid by the directors, who have denied paying anyone for… https://t.co/6hD8CtraF9",212
1248397802566062083,2020-04-09 23:50:04,"“Every day that they wait to release people is life-threatening at this point,” said the director of the Parole Rev… https://t.co/jxkHePaPx2",106
1248395301678804994,2020-04-09 23:40:08,Evening Briefing: Here's what you need to know at the end of the day https://t.co/vwGRXEIOxd,40
1248390250583355392,2020-04-09 23:20:04,"RT @kkrebeccalai: Hong Kong, Taiwan and Singapore had been beating the coronavirus for months — until they were hit with a wave of cases of…",359
1248384321892671489,2020-04-09 22:56:30,Here's what the clapping sounded like one night in a Manhattan neighborhood https://t.co/MEvCSU2IyZ https://t.co/W14u2BQ0Ok,68
1248383968359018497,2020-04-09 22:55:06,"In 5 minutes, many New Yorkers will open their windows and clap, a daily ""thank you"" to the workers on the frontlin… https://t.co/7AB4iMmt57",285
1248380181430976519,2020-04-09 22:40:03,New York State on Wednesday saw the smallest one-day increase in hospitalizations of coronavirus patients since bef… https://t.co/qPKi8lZfqp,108
1248377685341917184,2020-04-09 22:30:08,"""Our fear is that if we don’t die of the virus, we will die of hunger."" Indigenous people across the Americas are t… https://t.co/Vc4YB52wYK",220
1248372632149307399,2020-04-09 22:10:03,"A new episode of “Tiger King” will be released this Sunday, Netflix announced. The new episode will be an “after sh… https://t.co/yKnK7aUfY9",114
1248370202674429952,2020-04-09 22:00:24,"RT @NYTmag: Weird Al has: 
- Been releasing song parodies for seven presidential administrations 
- Outlasted 2 popes and 5 Supreme Court j…",61
1248369167427948547,2020-04-09 21:56:17,"The governor, the mayor and top aides emphasized they had no misgivings about their initial handling of the respons… https://t.co/ofDyJkL4Bp",46
1248369165834031104,2020-04-09 21:56:17,"The mayor said, 2 days later, that something similar to a shelter-in-place order would soon need to be imposed for… https://t.co/N9W6Mn7Jyt",60
1248369164177244161,2020-04-09 21:56:16,"Each day in early March brought new action: restrictions on gatherings, reduced bar occupancy. But the biggest batt… https://t.co/QYCQXQkBvl",36
1248368490085601281,2020-04-09 21:53:36,"But from the start, even after the first confirmed case was announced on March 1, de Blasio and Cuomo worried as mu… https://t.co/a1B7QTjYuy",57
1248368488990769153,2020-04-09 21:53:35,The federal response was chaotic and dysfunctional from the earliest days and serious problems with testing made it… https://t.co/ikt0AiU7FR,66
1248368487820599296,2020-04-09 21:53:35,"Had New York City and the state adopted widespread social distancing measures a week or two sooner, the estimated d… https://t.co/a4vdK69UIf",102
1248368485782163457,2020-04-09 21:53:35,It was perhaps inevitable that New York City would be hit hard by the virus. But initial efforts to stem the outbre… https://t.co/UkaoN4pOdE,56
1248367605422964743,2020-04-09 21:50:05,The first confirmed coronavirus case in New York was a woman who flew into JFK in February and tested positive Marc… https://t.co/vybvA1xGd8,1309
1248365344923758592,2020-04-09 21:41:06,"A week after abortion was supposed to become freely available in Northern Ireland, women continue to be denied acce… https://t.co/mgSEOICCfp",99
1248362207856992256,2020-04-09 21:28:38,EU finance ministers agreed to more than half a trillion euros worth of programs to lift economies ravaged by the c… https://t.co/SN7EI62ZRS,50
1248360056896266242,2020-04-09 21:20:05,A U.S. disaster loan program that was supposed to deliver emergency relief to small businesses in just 3 days has r… https://t.co/E7cy0KfLKs,394
1248355756501598211,2020-04-09 21:03:00,"At the Tyson plant where Annie Grant worked, the company offered people a $500 bonus if they worked April, May, and… https://t.co/vqT4SUVZCU",98
1248355019860082696,2020-04-09 21:00:04,"The coronavirus is ravaging the plants where thousands of mostly black, Latino, and immigrant workers process the c… https://t.co/508GhjtsQO",335
1248352493060460544,2020-04-09 20:50:02,"""SNL"" will return this weekend, NBC said, with a new episode ""produced remotely as 'SNL' practices social distancin… https://t.co/BOcgrFE7Jl",296
1248348588377354242,2020-04-09 20:34:31,"Russia, Saudi Arabia and other oil producers have a deal to cut production to counteract a steep drop in prices, a… https://t.co/Zf2wzopAbW",76
1248347489197068295,2020-04-09 20:30:09,"RT @nytgraphics: The coronavirus is killing black and Latino people in New York City at twice the rate that it's killing white people, acco…",137
1248345209047527425,2020-04-09 20:21:05,Boris Johnson was moved out of intensive care on Thursday but remains in the hospital. Britain's lockdown appears l… https://t.co/R4DMc2WaLI,67
1248344944403677185,2020-04-09 20:20:02,"More Europeans and Americans are starting to wear face masks in public, a practice long established in Asia, after… https://t.co/ZYwtnFdAYL",113
1248342675587239937,2020-04-09 20:11:01,Democrats argued that a Trump administration request to quickly approve $250 billion in additional aid for small bu… https://t.co/ILqptxZTKV,100
1248341550825910278,2020-04-09 20:06:33,"RT @jbsgreenberg: Some @bankofamerica traders, afraid of losing their jobs, feel pressured to come into office, even with fevers. Setting t…",49
1248339946311757825,2020-04-09 20:00:10,"Local governments around the U.S., which are responsible for enforcing federal flood protection rules, have flouted… https://t.co/o6CZHIgrW0",47
1248337995633221635,2020-04-09 19:52:25,"RT @itscaitlinhd: NEW: Poultry and meat plant workers are falling ill nationwide, but they're still facing pressure to show up for work to…",764
1248337406216097794,2020-04-09 19:50:05,"RT @nytimesbusiness: Another 6.6 million people filed for unemployment benefits last week. In just three weeks, more than 16 million U.S. w…",77
1248337395608694785,2020-04-09 19:50:02,"Looking to appeal to Bernie Sanders’s supporters, Joe Biden announced proposals to lower the eligibility age for Me… https://t.co/gYSspYMCAt",956
1248334889084170245,2020-04-09 19:40:05,The destruction of forests into fragmented patches is increasing the likelihood that viruses and other pathogens wi… https://t.co/HiAwC472me,510
1248326321748488192,2020-04-09 19:06:02,"Wearing a face mask takes some getting used to. So if you're wearing one, try not to fidget with your mask and make… https://t.co/DMz1CZ8bwM",367
1248326156052561921,2020-04-09 19:05:23,"DO wear your mask so it comes all the way up, close to the bridge of your nose, and all the way down under your chi… https://t.co/MOlcnwRWKO",4562
1248325930411589633,2020-04-09 19:04:29,DON’T push your mask under your chin to rest on your neck. https://t.co/6Oijec2TVa https://t.co/U5zdtbiPCj,903
1248325714333569024,2020-04-09 19:03:37,DON’T wear your mask so it covers just the tip of your nose. https://t.co/6Oijec2TVa https://t.co/BdDCN9a9dv,798
1248325429796188160,2020-04-09 19:02:29,DON’T wear your mask loosely with gaps on the sides. https://t.co/6Oijec2TVa https://t.co/9Fwd43Gs5s,818
1248325206747250693,2020-04-09 19:01:36,DON’T leave your chin exposed. https://t.co/6Oijec2TVa https://t.co/WAtYn08L5P,878
1248325016896274435,2020-04-09 19:00:51,DON’T wear the mask below your nose. https://t.co/6Oijec2TVa https://t.co/vlqulafGqB,1000
1248324844460048384,2020-04-09 19:00:10,"The CDC has advised Americans to wear face masks to slow the spread of the coronavirus, and around the world, peopl… https://t.co/AmZhUDpc3c",6938
1248320718770765825,2020-04-09 18:43:46,Breaking News: Prime Minister Boris Johnson of Britain has left the ICU where he was treated for coronavirus. His o… https://t.co/Lj8g1rp2Em,155
1248319800805412866,2020-04-09 18:40:07,"“I was made an example of.” As the coronavirus crisis has escalated, hospitals have warned, disciplined and even fi… https://t.co/lIVjyLnTA8",276
1248317298663927808,2020-04-09 18:30:11,RT @jswatz: NEW from @cflav and me: FEMA's flood rules? A lot of communites just let people rebuild to the same flood-prone level as before…,22
1248314761642721281,2020-04-09 18:20:06,"After 40 years, Weird Al Yankovic is no longer a novelty, but an institution — a garish bright patch in the middle… https://t.co/V7JmJdoWis",112
1248309757481562112,2020-04-09 18:00:13,"In On Tech, @ShiraOvide writes, “As was the case for other companies that decided to make things as easy as possibl… https://t.co/l1shDi3nX3",36
1248303431225413635,2020-04-09 17:35:05,"Breaking News: The hospitalization rate in New York State has nearly leveled out, a possible indication that the cu… https://t.co/yNhDtWq9BU",131
1248303109996195842,2020-04-09 17:33:48,"Quitting smoking or vaping — or even just slowing down — is hard, especially during anxious times. If you’re lookin… https://t.co/96pPuRwWR5",123
1248302229385289728,2020-04-09 17:30:18,"Medical experts are warning that vaping and smoking of tobacco or marijuana can put you at further risk for Covid-19
https://t.co/jsX9prXtmw",974
1248302176927178753,2020-04-09 17:30:05,"RT @shamblanderson: I have now fulfilled my lifelong dream of profiling Weird Al Yankovic, great American genius. I slept on his tour bus &amp;…",319
1248297752582291456,2020-04-09 17:12:31,"In Opinion

@NickKristof is discussing his latest column, “Brace Yourself for Waves of Coronavirus Infections”… https://t.co/gPDnsLJ8im",25
1248289590919729157,2020-04-09 16:40:05,Unemployed workers across the U.S. are setting up online communities to help each other navigate the challenges of… https://t.co/puzFfpTTzv,107
1248287082159788033,2020-04-09 16:30:07,RT @nytclimate: What can we learn about climate change in the age of coronavirus? Join our digital event on Friday with @NYTclimate team me…,54
1248284550029082625,2020-04-09 16:20:03,"Close your eyes and be transported to Mexico, Italy, Montana and beyond. All you have to do is listen. https://t.co/2nX0FqZ983",88
1248279572266848257,2020-04-09 16:00:16,Most of our workouts are at home now. Which is why it’s an ideal time to get lost in the wild world of the vintage… https://t.co/EQ7vk3m4LW,64
