id,created_at,text,retweet_count
1252847102234734593,2020-04-22 06:30:00,"New Zealand has so far avoided a widespread outbreak, and new cases have dwindled from a peak of about 90 per day in early April to just five on Tuesday, leaving the goal tantalizingly close https://t.co/wD8Dcomv4R",2
1252839554047868928,2020-04-22 06:00:00,"The converted gas station is where Joplin, then a student at the University of Texas, performed in the 1960s https://t.co/Iim2OwbY6b",1
1252835662836846593,2020-04-22 05:44:33,BREAKING: The crash occurred on northbound US Hwy 95 after Kyle Canyon Road. https://t.co/NJLcKJrrH6,0
1252832002597740556,2020-04-22 05:30:00,"The car stopped at the Siegel Suites, 455 E. Twain Ave., where the driver got out and pointed a shotgun at the driver of another vehicle “in an apparent attempted carjacking,” the police said. https://t.co/SDM0PyMZm6",1
1252828226818207752,2020-04-22 05:15:00,"The officers responded to a domestic disturbance on the 2200 block of Galindo Court, police said. https://t.co/dKnhkWzXR2",0
1252824454821900288,2020-04-22 05:00:01,"It's a great show, no matter which state you're in! https://t.co/QBbpGGl0um",2
1252816903208185858,2020-04-22 04:30:00,Two more conventions that had been postponed because of the coronavirus pandemic have been canceled for this year https://t.co/8ApMmQXUR4,1
1252809360813760512,2020-04-22 04:00:02,"Police said they had a plan to use “less-lethal tactics,” including flash-bang grenades and pepper balls, to take the man into custody, but the man shot himself in the head https://t.co/wBDLVHAirb",0
1252801807052660736,2020-04-22 03:30:01,"Describing the state at “Phase Zero” of plans to relax the state’s social distancing directives that began March 15 with his order to shutter schools, the governor said the state’s timetable for reversing them would be driven solely by those health metrics https://t.co/SfWg5JyVvH",5
1252794255795466241,2020-04-22 03:00:01,Secrecy surrounding executions could hinder efforts by a group of medical professionals who are asking the nation’s death penalty states for medications used in lethal injections so that they can go to coronavirus patients who are on ventilators https://t.co/hFXjv45Bj4,1
1252786708569100294,2020-04-22 02:30:01,The governor’s regulation prohibited prescribing the drugs for a patient with COVID-19 outside of a hospital setting https://t.co/nsVmiDJ27Q,5
1252781500719927296,2020-04-22 02:09:19,"UNLV isn't done at Sam Boyd Stadium, after all
https://t.co/fFhJeowhCk",3
1252779156091424768,2020-04-22 02:00:00,The American Civil Liberties Union released a report Monday that says black people are three times more likely than white people to get arrested for marijuana possession in Nevada https://t.co/wwHwvxi76m,1
1252771958019760128,2020-04-22 01:31:24,"MASKS NOT REQUIRED FOR FOOD WORKERS: According to Dr. Cort Loff, director of the residency program at the Southern Nevada Health District, masks are not required for food workers in Nevada but are recommended.

STORY→ https://t.co/15rZeei9pK https://t.co/1ioEd5UExy",14
1252767830015082498,2020-04-22 01:15:00,Gov. Steve Sisolak said Tuesday that Nevada’s schools will remain closed for the rest of the school year to reduce the spread of COVID-19. https://t.co/GOPqZDYQeG,5
1252764494369034242,2020-04-22 01:01:45,"MGM Resorts International will be “operating differently” when its properties reopen, according to a Tuesday video from Acting CEO and President Bill Hornbuckle. https://t.co/bVOj8apSNM",15
1252758822864728065,2020-04-22 00:39:13,Gov. Sisolak said Tuesday that Nevada schools will close for the remainder of the academic school year. https://t.co/LRwEtFMrjG,27
1252756516790325252,2020-04-22 00:30:03,Plasma from the blood of people who have recovered from COVID-19 is now being used to treat patients in the Las Vegas Valley with active infections. https://t.co/gwS7VTRaDx,9
1252753987566276608,2020-04-22 00:20:00,A malaria drug widely touted by @realDonaldTrump for treating the new coronavirus showed no benefit in a large analysis of its use in U.S. veterans hospitals https://t.co/gR4P4G8edl,9
1252749963110604800,2020-04-22 00:04:00,WATCH LIVE: Governor Sisolak speaks on coronavirus crisis https://t.co/LFlSxAO7t7,2
1252746420064567301,2020-04-21 23:49:56,"As the coronavirus outbreak has reduced demand for crude oil and driven prices lower, retail gas prices have also tumbled. https://t.co/wpQg7Xjk0K",3
1252743921484128262,2020-04-21 23:40:00,"Online poker is ostensibly illegal in all but four states, but a recent celebrity event put a spotlight on a site that still caters to most Americans https://t.co/Ftiys0ZxDS",2
1252741417107103746,2020-04-21 23:30:03,"The three-day Life is Beautiful music, arts and culinary festival has been canceled for 2020. https://t.co/7TyVEbJwsv",8
1252733857973010432,2020-04-21 23:00:01,Finding activities that don’t cost money and don’t involve physically being near other people is key https://t.co/ddJ1QFmZBF,0
1252728821629030401,2020-04-21 22:40:00,"The Patriots have agreed to trade Rob Gronkowski, who retired and sat out last season, to the Buccaneers in a swap of draft picks, according to multiple reports. https://t.co/dR6aIHaKin",2
1252727324719669249,2020-04-21 22:34:03,Police said the shooting occurred near 455 E. Twain Ave. https://t.co/a0QIL3r9cR,0
1252725514772586500,2020-04-21 22:26:51,Gov. Steve Sisolak is scheduled to hold another COVID-19 briefing at 5 p.m. Tuesday. https://t.co/ZiYWV9GPPb,6
1252723788430663681,2020-04-21 22:20:00,ICYMI: Summit Restoration is offering free cleaning and disinfecting of vehicles for health care workers and first responders https://t.co/mQS2Y3IhmV,0
1252718770633793537,2020-04-21 22:00:03,"“I feel that survival has thrust upon me a mission to keep the story alive, to keep the world from acquiring amnesia,” Southern Nevada Holocaust survivor Ben Lesser said https://t.co/hym5x6ugrU",3
1252716262288961536,2020-04-21 21:50:05,WATCH LIVE: President Donald Trump's coronavirus task force holds its daily briefing after the president met with New York Gov. Andrew Cuomo https://t.co/X3K6Q5OaCC,0
1252713722549846019,2020-04-21 21:40:00,.@chefjoseandres' international relief group World Central Kitchen began serving Las Vegas health care workers on Monday https://t.co/T7JIWnoXaH,0
1252708689162702854,2020-04-21 21:20:00,"With the travel industry devastated by the coronavirus pandemic, @Allegiant expects to receive more than $170 million in payroll support funds from the federal government https://t.co/eXNvqXEjcm",0
1252703671860822016,2020-04-21 21:00:04,"As the @Raiders are set to move into their new Henderson digs this summer, their name will be bestowed upon a street that leads to their soon-to-be home #RaiderNation https://t.co/M9FPiqonMd",2
1252698559201390592,2020-04-21 20:39:45,WATCH LIVE: Clark County and local health officials provide an update on the latest efforts to respond to the coronavirus pandemic https://t.co/wh4oLd1jIK,1
1252693589483798528,2020-04-21 20:20:00,The family of a slain Nevada Highway Patrol sergeant issued a heartfelt thank you Tuesday to all those who expressed condolences and support for the family over the last month https://t.co/euoOdyZ0Jn,4
1252688580490792960,2020-04-21 20:00:06,Nevada’s largest health care union slammed state officials Tuesday for not thoroughly investigating workplace safety complaints at hospitals. https://t.co/FQ1uuKKysJ,4
1252687539267407873,2020-04-21 19:55:57,"The Henderson City Council on Tuesday authorized the issuance of $60 million in bonds, paving the way for a funding agreement for a new minor league hockey arena https://t.co/QAJKZZOmZ6",5
