id,created_at,text,retweet_count
1252567790713810944,2020-04-21 12:00:07,South Korean officials questioned the accuracy of news reports that Kim Jong-un was recovering from heart surgery. North Korea also tried to dispel the speculation. But rumors persist. https://t.co/vifc7srvvk,44
1252562739966480384,2020-04-21 11:40:03,Morning briefing: Here's what you need to know to start your day https://t.co/XrCwNBRAH5,52
1252559439976071169,2020-04-21 11:26:56,"For today, April 21, here’s how to follow the latest on the coronavirus outbreak. We’ll update this every day. 

🌎 Live updates from around the world: https://t.co/bMLiQ1DYjY
🗽 The latest in New York: https://t.co/PZbqcytHFX
📊 Markets news: https://t.co/u0wvxFq0C0 https://t.co/M0cm9nQUtl",26
1252557721741778946,2020-04-21 11:20:06,"Educators in the U.S. say they want to teach from home during the coronavirus pandemic, but are fighting to limit work hours and counter demands that they consider unreasonable https://t.co/N9zEagfkQA",100
1252552683954847745,2020-04-21 11:00:05,"At least 26,000 more people died during the coronavirus pandemic over the last month than official death counts report, a review of mortality data in 11 countries by The New York Times shows https://t.co/gsGlJIJ0D5",264
1252545136036392961,2020-04-21 10:30:06,President Trump portrayed suspending immigration as a bid to save Americans’ jobs amid the coronavirus pandemic. Immigration advocates have said that Trump and his advisers are using a pandemic to further hard-line immigration policies. https://t.co/HVkpBT8Fj3,54
1252541361368285186,2020-04-21 10:15:06,"In January, at a restaurant in Guangzhou, China, an infected diner who was not yet feeling sick appeared to have spread the coronavirus to nine other people. An air-conditioner apparently blew the virus particles around the dining room. https://t.co/IYlC4QJUdp",271
1252537607394910212,2020-04-21 10:00:11,"A letter to the editors of four British tabloids said that Harry and Meghan, who have relocated to Los Angeles and are embarking on new lives as private citizens, would no longer engage with them https://t.co/TO7Ua2Qtiu",50
1252532544840613889,2020-04-21 09:40:04,"In Opinion

 Siddharth Varadarajan writes: The coronavirus outbreak has allowed authoritarianism and anti-Muslim sentiment to flourish in India.
https://t.co/3YZeUaibo1",60
1252527515903631368,2020-04-21 09:20:05,"A hospital official in Israel asked why journalists could tour coronavirus wards in protective gear, but relatives were denied deathbed farewells. His bosses had no good answer, and changed their policy on the spot. https://t.co/d32aTTSNI6",521
1252522507908919296,2020-04-21 09:00:11,"Sometimes it feels like cognitive dissonance in Tokyo, where we're in a state of emergency but some people seem to behave as if they are magically immune, our bureau chief @motokorich writes https://t.co/zrD0vr0Fiq",84
1252517447586009091,2020-04-21 08:40:04,"Business travel worldwide has stopped because of the coronavirus pandemic. When it does restart, it will be changed. “Everyone will have to learn how to be comfortable around people,” said the founder of a travel analysis firm. https://t.co/BXPR2UPnOS",48
1252512402538717185,2020-04-21 08:20:01,"One oil price went negative on Monday, signaling that there is no place to store all the crude the world is producing but not using https://t.co/EFQGZkRiRk",333
1252507414177419264,2020-04-21 08:00:12,"Tears flowed down the cheeks of the muezzin as he made the call to prayer in an empty ancient mosque in Cairo. “It was hard on my heart,” he said. “When I call people, nobody can come. It feels like God is refusing us.” https://t.co/MpbaSdTped",92
1252504861079453696,2020-04-21 07:50:03,"Hong Kong on Tuesday extended a range of social distancing measures to May 7 as a precaution, a day after reporting no new coronavirus infections for the first time since early March https://t.co/PoHcqGapyy https://t.co/cu1bduRhkh",102
1252502350205501440,2020-04-21 07:40:05,"When restaurants reopen, it may take more than putting tables six feet apart to prevent the spread of the coronavirus from an infected diner. An incident in China offers a cautionary tale. https://t.co/IruluPgKKI",155
1252497311680401408,2020-04-21 07:20:04,"Singapore did almost everything right when it came to fighting the coronavirus. But now its caseload has spiked, a situation that shows how hard it will be for countries to return to the way they were anytime soon. https://t.co/17uWG8MtSF",476
1252494804799426560,2020-04-21 07:10:06,RT @nytimesworld: Nurses from the Philippines and other developing countries have long made up for shortages in Western nations. Now they a…,214
1252492288514830337,2020-04-21 07:00:06,Europe morning briefing: Here's what you need to know to start your day https://t.co/Nyg7DXA81k,27
1252487259993096192,2020-04-21 06:40:07,"In Opinion

""Calling this pandemic a war,"" says @adamwestbrook, is ""a useful cover for a power grab.""
https://t.co/fMcoxkaAAj",136
1252482215461752836,2020-04-21 06:20:04,Virgin Australia announced it had entered voluntary administration after the Australian government refused a bailout of 1.4 billion Australian dollars https://t.co/lGuzjvNmdr https://t.co/YtJMYznBI5,49
1252479692717907969,2020-04-21 06:10:03,"Demand for oil is collapsing, and despite a deal by Saudi Arabia, Russia and other nations to cut production, the world is running out of places to put all the oil the industry keeps pumping out — about 100 million barrels a day.

Market updates: https://t.co/LbS70XcbgP",53
1252477199560642561,2020-04-21 06:00:08,"In On Tech, @ShiraOvide talks with @KevinRoose about his new audio series “Rabbit Hole,” YouTube and the dangers of the video platform’s recommendation feature https://t.co/0teoHqi4r3",47
1252476301639892993,2020-04-21 05:56:34,"In Opinion

Richard Levitan writes, ""I realized that we are not detecting the deadly pneumonia the virus causes early enough and that we could be doing more to keep patients off ventilators — and alive."" https://t.co/8Z1shffhLe",220
1252467122682376192,2020-04-21 05:20:06,"RT @NYTNational: In Ohio, even as plans were being put in place to reopen, a state prison about an hour’s drive north of the capital became…",51
1252464587661873158,2020-04-21 05:10:02,RT @ShaneGoldmacher: NEW: It would take Joe Biden and the DNC raising almost $1 million every single day between now and November to catch…,463
1252462119599181825,2020-04-21 05:00:13,Data compiled by The New York Times from records of deaths in Istanbul indicate that Turkey is grappling with a far bigger calamity from the coronavirus than official figures and statements would suggest https://t.co/mPGDl8E3jU,264
