id,created_at,text,retweet_count
1250267520323313665,2020-04-15 03:39:40,"Two weeks after first testing positive for coronavirus, @drsanjaygupta gets @ChrisCuomo to reveal a setback in his… https://t.co/G1qtDhwm3H",585
1250244796842737664,2020-04-15 02:09:22,"Ameri-CANs vs. Ameri-CAN’Ts in an age of coronavirus.

“Thank you to the Ameri-CANs… and you better watch out Ameri… https://t.co/HlxdSOWpHD",84
1250241524228591617,2020-04-15 01:56:22,"“At this point we are at the beginning of a pandemic that has a long way to go.”

Researchers predict the US may ha… https://t.co/hQtDnsyJKH",483
1250237325289893895,2020-04-15 01:39:41,"Two weeks after first testing positive for coronavirus, @chriscuomo shares an update on how his battle is progressi… https://t.co/b76yxlnezO",453
1250235826312708096,2020-04-15 01:33:43,"“Who are you really penalizing by these cuts?”

@DrSanjayGupta says the World Health Organization made serious miss… https://t.co/szCjnfi7zg",299
1250234209635110919,2020-04-15 01:27:18,Ohio’s GOP Gov. Mike DeWine praises VP Mike Pence’s performance on private coronavirus calls saying he’s “phenomena… https://t.co/OmVzTmEEHc,84
1249880067590758401,2020-04-14 02:00:04,"""Everything you did was not right. You were never ahead of schedule. You did not do what was asked of you or from y… https://t.co/z9d6IVwM5k",1690
1249874711112286209,2020-04-14 01:38:47,"“This is a President who loves to throw verbal hand grenades,” says Connecticut Gov. Ned Lamont on Pres. Trump sayi… https://t.co/BY2Y1D9JBH",462
1249874504450482182,2020-04-14 01:37:58,".@chriscuomo shares an update on his own battle with coronavirus:

“I’m ready to get out of the basement. I’m sick… https://t.co/mhmn6mDsVD",700
1249866866966900742,2020-04-14 01:07:37,.@ChrisCuomo: If you're going to reopen and you don't have a plan to track cases and keep us safe you are damning u… https://t.co/YtNEujX4mm,2894
1248080100312125440,2020-04-09 02:47:38,"After recovering from coronavirus Dr. Omar Maniya returned to the ER at Elmhurst Hospital.

Did he have hesitation?… https://t.co/mdZ5bxUTpv",564
1248075993312636929,2020-04-09 02:31:19,"""The story of this holy day is more relevant to the secular reality of this entire country than perhaps it ever has… https://t.co/9vYBalwMmP",135
1248074006491693056,2020-04-09 02:23:25,"""We were messaging, 'You should vote,' and we were messaging, 'You should stay home.' ... That just didn't make any… https://t.co/R0DGAv2m8e",560
1248062964588052483,2020-04-09 01:39:33,"As @NYGovCuomo rolls out his #IStayAtHomeFor social media campaign, his brother @ChrisCuomo shares a surprise.

""I'… https://t.co/tNTfAuAAD0",3292
1248058724050231298,2020-04-09 01:22:42,"""Here's what we know right now: No matter where the virus goes, the way to stop it will always be the same. Our col… https://t.co/oYdlxILGV2",468
1247719023883759622,2020-04-08 02:52:51,"New Yorkers and New Jersey residents show loud gratitude for local health care heroes in their neighborhoods.

""Tha… https://t.co/qgo0C981bM",136
1247716977524846592,2020-04-08 02:44:43,"""Headache, fever, shivers, everything hurt. Heck, even my hair, and I don't have a lot it, was hurting... It plays… https://t.co/gJTZkcnn81",172
1247713742047059970,2020-04-08 02:31:52,"""The coronavirus is not his fault, but the way in which we responded to it is his problem. He is the commander in c… https://t.co/hGIaITCDBT",675
1247712462406856706,2020-04-08 02:26:47,"""What happens in Wisconsin makes you even more upset when you are sick the way I am,"" @ChrisCuomo says on Wisconsin… https://t.co/kKqYsB5Bq3",391
1247709416905981952,2020-04-08 02:14:40,"""We can take care of our health and our democracy. The idea of postponing an election is not possible, it should no… https://t.co/YJCK1oTDqm",222
1247701645397569537,2020-04-08 01:43:48,"""Time will tell as to whether we've reached that point. You want to sort of hope that we've reached that, but we do… https://t.co/tc3Jpng3eE",216
1247695571890176007,2020-04-08 01:19:40,"""That was the most asinine statement of leadership I have ever heard.""
@ChrisCuomo responds to President Trump down… https://t.co/RzsexKFLBJ",2947
1247345233765023744,2020-04-07 02:07:32,"“The Covid is banking on you doing nothing. Your indolence.”

@chriscuomo shares insights from the first few days o… https://t.co/MIHgwmDCvf",491
1247342190013100038,2020-04-07 01:55:27,"Remember Karen Goheen, the Washington nurse who contracted coronavirus along with her elderly parents?

All three a… https://t.co/qgdbXZ2j4k",462
1247339877345230848,2020-04-07 01:46:15,.@drsanjaygupta reviews @ChrisCuomo's chest X-rays as he battles coronavirus from his basement. https://t.co/bBcIfMOqfA,551
1247337978546008069,2020-04-07 01:38:43,Connecticut’s Democratic Gov. Ned Lamont hits back at Pres. Trump’s claim that the federal government shouldn’t be… https://t.co/6VY9EdwwD8,270
1247332132458057729,2020-04-07 01:15:29,"“We already know that the cure lies in the collective,” says @ChrisCuomo of the world’s fight against coronavirus.… https://t.co/llcsjNuLhd",1093
1245810923853549568,2020-04-02 20:30:44,"RT @ChrisCuomo: And other than seeing my kids faces on other side of basement window...this is a great way to feel better, whether sick or…",266
1245810893344190464,2020-04-02 20:30:37,RT @ChrisCuomo: Thank you for the well-wishing and all the advice. We all need to be careful about what we take right now. A lot of the rem…,3613
1245749650273062912,2020-04-02 16:27:16,.@ChrisCuomo updates his brother New York Gov. Andrew Cuomo about his health as he fights coronavirus in his baseme… https://t.co/mB9h6o2sJE,1014
1245533012340748288,2020-04-02 02:06:25,".@ChrisCuomo: ""Care enough to not just to stay home but to stay on our leaders to make sure that they are doing eve… https://t.co/AJI6eUYg89",1678
1245530167784734721,2020-04-02 01:55:07,Dr. Frank Gabrin had been treating coronavirus patients on the front lines. He died in his husband’s arms just days… https://t.co/MswfIuzBXo,4407
1245526662927785987,2020-04-02 01:41:11,New Jersey Gov. Phil Murphy  says he anticipates coronavirus the conversation on social distancing to continue be i… https://t.co/DH2lPcLF8u,297
1245522212100194304,2020-04-02 01:23:30,“What good is it to say you are praying for [coronavirus patients] and there are angels on Earth if you are not doi… https://t.co/zZMGwt8vg8,1442
1245521317371301888,2020-04-02 01:19:57,.@ChrisCuomo shares the details of his symptoms and some good news as he fights coronavirus from his basement. https://t.co/wF6zlN9Yay,2595
1245170308799254528,2020-04-01 02:05:10,"“Look, it’s no longer an opinion,” says @ChrisCuomo. “One of the only things we know for sure is that staying home… https://t.co/O6RcKOH7eq",601
1245168082512945154,2020-04-01 01:56:19,"“With me being so young I didn’t ever think that I would see this amount of deaths all at one time,” a critical car… https://t.co/rQpyJ6J6YF",1362
1245161560835862529,2020-04-01 01:30:24,Illinois's Democratic Gov. J. B. Pritzker slams President Trump for not making greater use of the Defense Productio… https://t.co/vkHYNCkFD2,1213
1245155881186181123,2020-04-01 01:07:50,“We do not have the testing data to make real sense of our reality beyond what we know is the face of [coronavirus]… https://t.co/4ad2ZaQ8bj,3971
1244811097598758912,2020-03-31 02:17:47,".@chriscuomo: President Trump is finally facing the reality of war, but he cost us time https://t.co/igWoHEPPNm https://t.co/9uDWbbXZ7X",834
1244808331979558918,2020-03-31 02:06:48,Commander of the US Northern Command Terrence J. O’Shaughnessy talks about the military’s monumental effort to be a… https://t.co/vGe4XHFAf4,245
1244805876877148160,2020-03-31 01:57:03,A nurse practitioner at North Shore University Hospital says conditions are “as bad as I’ve ever seen anything  bef… https://t.co/e7PyeRROg6,343
1244796772481994753,2020-03-31 01:20:52,"New York Gov. Andrew Cuomo says he has no plans to ever run for President, has not considered it, and will never co… https://t.co/RlMlP9m8wz",3363
1244795262758981637,2020-03-31 01:14:52,New York Gov. Andrew Cuomo says President Trump has been “very helpful” to the state of New York in its fight again… https://t.co/HRDOOuDk58,289
1244793888998637569,2020-03-31 01:09:24,"“Remember, if you want to honor doctors, they are only asking us to do one thing,” says @chriscuomo. “It’s even a h… https://t.co/gNCCcRwTOq",613
1243772734011834371,2020-03-28 05:31:42,"Elizabeth Fusco, who lost four family members to the novel coronavirus, tells @ChrisCuomo that she and her daughter… https://t.co/bawkl9nzFi",99
1243742646339883008,2020-03-28 03:32:09,"CNN's @ChrisCuomo:  ""Mr. President, this is not about you and how you feel. It is about us. Lead for all, follow th… https://t.co/kZNv3jI9EJ",7842
1243731888310755330,2020-03-28 02:49:24,"What has Ameri-CAN’T written all over it? ""Insurance companies weaseling out of claims by devastated small business… https://t.co/tf3ZjyIMlt",186
1243728371785351168,2020-03-28 02:35:25,"CNN's @ChrisCuomo to President Trump: ""Don't make it all about yourself"" #ClosingArgument https://t.co/ZCdWn1h6gQ",1272
1243725519398543360,2020-03-28 02:24:05,"Elizabeth Fusco, who lost four members of her family to the coronavirus, gives CNN's @ChrisCuomo an update on how h… https://t.co/N5TKe5Qf7i",112
1243720160596373510,2020-03-28 02:02:48,"""The toughest part of my sisters' deaths is that they had to die alone in that hospital... It's just devastating to… https://t.co/oJHQf9mb0c",200
1243718352146759680,2020-03-28 01:55:36,LA Mayor Eric Garcetti says the federal government should take a leadership role in coordinating supplies between s… https://t.co/LfioiQyPPu,210
1243711995326738432,2020-03-28 01:30:21,"""It's not true,"" says Dr. Howard Zucker, health commissioner for New York state, responding to Trump's claim that t… https://t.co/3gYlT5YpmP",298
1243393096059998208,2020-03-27 04:23:09,"""There can be a solidarity and a unity in focus, in hard work, in prayer, in faith. We can come together in many wa… https://t.co/e0lIKitgdn",77
1243387789036498946,2020-03-27 04:02:04,"""We're on the same growth trend as Italy, Spain and South Korea was before South Korea took the actions they needed… https://t.co/UvNZOMVLqR",102
1243381876414451712,2020-03-27 03:38:34,"Dr. Amy Compton-Phillips on the coronavirus outbreak: ""In our neck of the woods, it is definitely still going up. T… https://t.co/tQtv6Aatt1",117
1243376112035672065,2020-03-27 03:15:40,From licking deodorant sticks at a department store to offering free coffee to health care workers and first respon… https://t.co/8ylTexNk4f,158
1243374291137290240,2020-03-27 03:08:26,"A NYC nursing manager who treated coronavirus patients died after testing positive for Covid-19.

Kious Jordan Kell… https://t.co/f8lEfWFOZN",700
1243365850008059904,2020-03-27 02:34:53,"""We see an increase of severely ill patients coming into the emergency department,"" says Dr. Sylvie de Souza about… https://t.co/N6vGjtSp3L",227
1242995879264628738,2020-03-26 02:04:46,"“Think positive” when it comes to coronavirus, says @chriscuomo. Act as though have the disease to help stop the sp… https://t.co/cHTGsAsPKs",192
1242994388705456128,2020-03-26 01:58:50,Tonight's Ameri-CAN: Fashion designer Christian Siriano (@CSiriano) is making face masks for medical workers… https://t.co/64gH5K7RmW,517
1242992882648219648,2020-03-26 01:52:51,"A brother and sister, whose mother has tested positive for coronavirus in a New Orleans senior facility which has b… https://t.co/creHL82qQy",81
1242989989849444354,2020-03-26 01:41:21,"Democratic Rep. Katie Porter is at home awaiting a coronavirus test result after experiencing several symptoms. 

S… https://t.co/QRzfOGkj6e",283
1242986957753454599,2020-03-26 01:29:18,Dr. Anthony Fauci tells @chriscuomo he believes it is “more likely than not” that there will be another seasonal co… https://t.co/tEiXUNTkmZ,729
1242983847836487682,2020-03-26 01:16:57,"“You don’t make the timeline. The virus makes the timeline,” says Dr. Anthony Fauci on when coronavirus restriction… https://t.co/ioSbyyCaqy",5034
1242635406174289921,2020-03-25 02:12:22,"Here are tonight's Ameri-CANs and Ameri-CAN'Ts.

""Be better,"" says @ChrisCuomo. ""Be an America-CAN."" https://t.co/3xhNkIXLSc",151
1242631915708039169,2020-03-25 01:58:30,.@chriscuomo: Making America great again doesn’t mean needlessly asking the greatest generation for more sacrifice… https://t.co/mjeYFX64Wh,673
1242630418161172480,2020-03-25 01:52:33,"Karen Goheen, a nurse who tested positive for coronavirus along with both her elderly parents, recounts their harro… https://t.co/33cLplA7f8",139
1242623767978946562,2020-03-25 01:26:07,New Jersey’s Democratic Gov. Phil Murphy said he will “stay the course” with coronavirus restrictions if Pres. Trum… https://t.co/ygvQjKaZ0k,1129
1242621833641439234,2020-03-25 01:18:26,New Jersey Gov. Phil Murphy said he hopes Pres. Trump is right about loosening restrictions by Easter Sunday but th… https://t.co/o13mzT0z8M,77
1242273550452559880,2020-03-24 02:14:29,"Dr. Anthony Fauci gives conscious and comfort and fact to this country, says @ChrisCuomo. 

""I don't see how we get… https://t.co/Xbv0CbyH6o",576
1242270498811232258,2020-03-24 02:02:21,"New York Gov. Andrew Cuomo says he’s been very clear with the White House about his state’s immediate need for 30,0… https://t.co/tgpMRQ8TtD",6072
1242259101196996608,2020-03-24 01:17:04,"“Is there a public health strategy that says ’look, you can start to bring young people back to work?… You can star… https://t.co/tnJC0rkuUz",761
1241231938557562880,2020-03-21 05:15:29,"""The entire agency that serves nine million people has only tested about 1,100 veterans. ... It looks like right no… https://t.co/ww7TPK6Nw4",225
1241221208907153408,2020-03-21 04:32:51,"""This is a painful, scary time. But we're more than up to the challenge."" 

Grammy-nominated artist @jeweljk joins… https://t.co/RB7BkyvhFg",85
1241212581588742145,2020-03-21 03:58:34,President Trump ignored reports from US intelligence agencies starting in January that warned of the scale and inte… https://t.co/A8KssSZkfc,500
1241210542167121920,2020-03-21 03:50:28,"Author @DeepakChopra says ""it's important to practice mental hygiene"" to keep coronavirus fears from affecting your… https://t.co/7Lq1qsw7k5",119
1241203902927732738,2020-03-21 03:24:05,"In an extraordinary exchange, President Trump viciously attacked an NBC News reporter who asked what his message wo… https://t.co/c07PnYltX3",1073
1241201336059920384,2020-03-21 03:13:53,CNN's @ChrisCuomo has an update on a New Jersey family who lost four relatives and have nearly 20 other relatives i… https://t.co/GP2o0CcpjZ,149
1241197208441151490,2020-03-21 02:57:29,"Boston Celtics' Marcus Smart, who tested positive for the coronavirus, is calling on young people to take the virus… https://t.co/sIyUNBRRRh",348
1241190596519383040,2020-03-21 02:31:13,"""What you are doing right now is not hiding. It is starving the virus. It is not a show of fear. It's a show of for… https://t.co/ZR2Xgj3l8Z",421
1240873967394660354,2020-03-20 05:33:02,"""We got to avoid what is unmanageable so we can manage what is unavoidable. And there's no one in the country who c… https://t.co/1IhZdynUQV",58
1240856870270754816,2020-03-20 04:25:06,Senate Majority Leader Mitch McConnell defends Senate Republicans coming up with a proposed $1 trillion economic st… https://t.co/TjqCBgcmus,56
1240855063544958977,2020-03-20 04:17:55,President Trump says governors should be buying medical supplies for their states and that the federal government i… https://t.co/WhfSfJ2SUy,170
1240849381567401990,2020-03-20 03:55:21,"""The second we start to grieve about one the phone rings and there's another person gone.""

@ChrisCuomo speaks with… https://t.co/KXjQansdpf",604
1240841014463672320,2020-03-20 03:22:06,"LA Mayor Eric Garcetti, who earlier issued a stay-at-home order for his city, says he supports the governor's state… https://t.co/k7im0HDZ60",74
1240831634091499522,2020-03-20 02:44:49,"Dr. William Schaffner says treatment for the coronavirus ""is likely to come if everything works well — sooner than… https://t.co/V49umGRbuO",112
1240824181257879553,2020-03-20 02:15:12,BREAKING: The governor of California has ordered the state’s 40 million residents to stay at home to prevent the sp… https://t.co/OtiGTsNJx4,225
1240460297292451842,2020-03-19 02:09:16,.@chriscuomo: Coronavirus is living up to its name. Corona... crown in Greek. It is ruling everything and everyone.… https://t.co/eMvw5GQnAh,40
1240454996166168593,2020-03-19 01:48:12,"""We're paying [employees] as if the Mavs games are taking place,"" says Dallas Mavericks owner Mark Cuban (@mcuban).… https://t.co/UheHcriDA1",457
1240451158537371648,2020-03-19 01:32:57,"Dr. Anthony Fauci urges young people in particular to take caution saying “you have a responsibility, a societal re… https://t.co/Kmfvq3qahy",246
1240395691454857217,2020-03-18 21:52:32,RT @ChrisCuomo: Tonight we have all bases covered with some of the best minds and players on the #coronavirus - Dr. Anthony Fauci and Mark…,49
