id,created_at,text,retweet_count
1250567462984146945,2020-04-15 23:31:32,"RT @latimesbooks: Here's the full list of finalists for the L.A. Times Book Prizes
https://t.co/maQjAxzBx5",1
1250567406478475264,2020-04-15 23:31:18,"RT @latimesbooks: 2 more days until our virtual awards ceremony for the L.A. Times Book Prizes!

Do you spot a book you enjoyed reading on…",2
1250566041316425728,2020-04-15 23:25:53,"RT @thefilmgoer: Serving your ""Mrs. America"" obsession, courtesy of @TheCDZ: https://t.co/J37R4oSaXP",3
1250565821203611649,2020-04-15 23:25:00,"Elon Musk’s famous “420"" tweet continues to haunt him. @russ1mitchell reports: https://t.co/FbAuK9DQa7",5
1250564061202440193,2020-04-15 23:18:01,Delay likely for California's trout fishing season https://t.co/S43nQS6Iy9,8
1250563298912727040,2020-04-15 23:14:59,RT @jessica_roy: Everyone's living situation is challenging right now. But the coronavirus pandemic and shutdown can be uniquely hard on ma…,3
1250562913997410304,2020-04-15 23:13:27,Everyone's living situation is challenging right now. But the coronavirus pandemic and shutdown can be uniquely har… https://t.co/AWOJxt6Y2I,2
1250561072756486145,2020-04-15 23:06:08,RT @thewendylee: High schoolers: Be our guest at online prom by sending us some photos https://t.co/Vw66HDxV5W,9
1250561016615759872,2020-04-15 23:05:55,"Tracking the outbreak: The latest map and charts on the spread of COVID-19 in California
https://t.co/GWcg39mUWN",9
1250560286773346306,2020-04-15 23:03:01,"After the pandemic, what will be left of Anaheim's Little Arabia? https://t.co/dkMfzMTpjR",10
1250559207251652608,2020-04-15 22:58:43,"RT @LATimesWharton: A lot of medical experts are warning against the resumption of pro sports, even without crowds. But @BillShaikin writes…",7
1250556509689450496,2020-04-15 22:48:00,On the front lines of the COVID-19 pandemic https://t.co/oAWQqn70yU,5
1250552735507898368,2020-04-15 22:33:00,Ventura County coronavirus cases creep up as officials mull easing stay-at-home order https://t.co/y0Tn9bKzuD,12
1250552601608765441,2020-04-15 22:32:29,RT @alschaben: 14 heartwarming photos show gratitude for #coronavirus #healthcareworkers https://t.co/w86BXiZ90A,2
1250551004069650432,2020-04-15 22:26:08,"RT @mikaelwood: Had a few laughs on the Zoom with GaTa from ""Dave"" https://t.co/W3scKMgo9j https://t.co/yK245YTEoX",3
1250550724032897025,2020-04-15 22:25:01,"Empty airports. Passengers spread across airplanes. Cheap airfare. 

This is what flying is like during the coronav… https://t.co/lPgZALSqGV",20
1250548960093143041,2020-04-15 22:18:00,Here is the latest list of Orange County communities with coronavirus cases https://t.co/pKS4DchYJr,7
1250548620849373184,2020-04-15 22:16:39,"RT @lildickytweets: My favorite article about anything ever, you deserve it all @GaTaGED https://t.co/mtbBfJpsbD",136
1250547111751331840,2020-04-15 22:10:40,"RT @Noahbierman: Trump just claimed Voice of America is saying things that are ""disgusting toward our country."" Here's a story I wrote a wh…",153
1250545188017246209,2020-04-15 22:03:01,"Economic slowdown could hit L.A.'s budget hard next year, city controller says https://t.co/T6LXGIwfAK",4
1250541410744401924,2020-04-15 21:48:00,"Orange County reports 3 new coronavirus deaths as infections top 1,300 https://t.co/Dvnj7MxzWO",14
1250541154229030912,2020-04-15 21:46:59,"⚡️ “Humans were meant to touch each other. What's the price of no contact?”

https://t.co/mISHQ0MW95",15
1250541123870666752,2020-04-15 21:46:52,"⚡️ “Flying during COVID-19 is nothing like it used to be. Who’s doing it?”

https://t.co/iSzPuLkPTS",10
1250540222380556288,2020-04-15 21:43:17,https://t.co/BZjNQSQuON,1
1250540221067702272,2020-04-15 21:43:17,"""We were already a touch-deprived society before this. ... It will be interesting to see how we interact with one a… https://t.co/6H06D0xh1A",2
1250540219759120384,2020-04-15 21:43:16,"There are ways to at least partly make up for the lack of physical contact. Walking, sit-ups and yoga all stimulate… https://t.co/ZJbgsaLo0E",5
1250540218299453440,2020-04-15 21:43:16,Consider that other global events like war and famine do not require humans to avoid contact to return to normalcy.… https://t.co/wZDvidNEXF,1
1250540055837290497,2020-04-15 21:42:37,"“It’s ironic that at a time when we need good immune function, we can’t touch people.”

https://t.co/TmthJAUynC",5
1250540054776123393,2020-04-15 21:42:37,“I read a study in which researchers injected a cold virus into patients and they measured the amount of hugging wi… https://t.co/Aj2vHclbry,3
1250540053790515201,2020-04-15 21:42:37,"Touching increases the natural killer cells that help us fight off illnesses, said Tiffany Field, director of the T… https://t.co/Y6GbQyqH1k",11
1250540051655651329,2020-04-15 21:42:36,"Touch may not get the same attention as the other senses, but science affirms its vital importance. Its absence in… https://t.co/5JwoDhFNxr",4
1250540050623852544,2020-04-15 21:42:36,"Do you remember the last time you shook someone's hand? Patted them on the back? Gave them a peck on the cheek, or… https://t.co/gCsUDbrAvA",29
1250539765625020417,2020-04-15 21:41:28,"Bill Nord's boss asked for a volunteer last week to fly to Denver for an assignment. Nord accepted. 

But his confi… https://t.co/97aipMVvom",14
1250538254404730880,2020-04-15 21:35:28,RT @abrower: A GoFundMe for Hollywood workers launched by Bruna Papandrea/Gregg Fienberg w/@MPTF @TheActorsFund is raising $$$ so fast (@Ch…,12
1250537636969754624,2020-04-15 21:33:01,Will police cite me for not wearing a mask when shopping? Here's what authorities are saying https://t.co/VMitim1Xy8,16
1250534639615086593,2020-04-15 21:21:06,RT @cmonstah: The Los Angeles County Museum of Art has started tearing down buildings. We have yet to see what a gallery plan or a layout o…,22
1250534041918423040,2020-04-15 21:18:44,"RT @MattHjourno: Evergreen reminder: got something you want to share with @latimes? My DMs are open, and here's our tip line: https://t.co/…",8
1250533860858888194,2020-04-15 21:18:00,"Riverside County reports more than 200 new COVID-19 cases, its biggest one-day leap https://t.co/g9yjdnDoCC",19
1250533354757214209,2020-04-15 21:16:00,Look back in time through the lens of our photojournalists by following our archival Instagram account:… https://t.co/AOMeCeejFt,5
1250531849727807489,2020-04-15 21:10:01,"More than 100,000 clean energy workers lost their jobs in March. 

California was the hardest-hit state, with 20,00… https://t.co/jozH8C5oeC",24
1250530088682217472,2020-04-15 21:03:01,Disney+'s ‘Splash’ mermaid-butt censorship wins kudos from parents group. The internet does not agree https://t.co/ETWv8PP3pm,11
1250526312411926529,2020-04-15 20:48:01,"California to provide more help for the unemployed, independent contractors and immigrants amid coronavirus https://t.co/EE47GIlS47",42
1250525317019680776,2020-04-15 20:44:03,"L.A. County coronavirus deaths spike, 42 new fatalities in a day https://t.co/XpGQFL863E",23
1250524891377332226,2020-04-15 20:42:22,"RT @latimesent: LACMA has begun its controversial demolition. 

What we know so far — from @cmonstah ⬇️
https://t.co/ePPKDK0HQG",5
1250524299531862029,2020-04-15 20:40:01,"Bills are piling up for many people during the coronavirus outbreak, but tapping retirement savings to pay them is… https://t.co/yfmO2wDzxJ",10
1250523758181388291,2020-04-15 20:37:52,"California to provide more help for the unemployed, independent contractors and immigrants amid coronavirus pandemic https://t.co/EE47GIlS47",27
1250522970457423872,2020-04-15 20:34:44,"""Celebrating Passover during the COVID-19 pandemic brings back memories of Seders spent in the Bergen-Belsen concen… https://t.co/hlRAdFPXsS",8
1250522538586882048,2020-04-15 20:33:01,"European Union to unveil coronavirus exit plan, hoping to avoid more chaos https://t.co/pF10UFVOhh",10
1250520815675666432,2020-04-15 20:26:10,"RT @skarlamangla: LA County officials just reported 42 deaths from COVID-19, the highest death toll in a single day so far.",55
1250518977937203200,2020-04-15 20:18:52,"RT @latimesopinion: ""It was jarring and sad to see this respected scientist forced into what we can only conclude was a deal with our devil…",21
1250518762454908930,2020-04-15 20:18:01,LAPD has quarantine site for officers: Biltmore Hotel in downtown L.A. https://t.co/26MqJvMj7n,19
1250517670107086849,2020-04-15 20:13:40,"⚡️ “More than 100,000 clean energy workers lost their jobs in March”

https://t.co/TwrUrqb7kk",13
1250514991318552580,2020-04-15 20:03:02,Column: How a science magazine from Charles Darwin's era found new life online amid the coronavirus… https://t.co/hVTSf1YRVV,15
1250513108084326401,2020-04-15 19:55:33,"✨ ✨ ✨ ✨ ✨ ✨

Many of us are spending more time online while we're stuck indoors. We made this guide to help you mak… https://t.co/sAyoRsEleX",13
1250512970808987649,2020-04-15 19:55:00,"When the coronavirus outbreak hit Southern California, business for this Santa Ana bridal shop came to a halt. To a… https://t.co/ZZiyH0gDKG",14
1250512810003492865,2020-04-15 19:54:21,RT @sleavenworth: Have you or a loved one been put at risk of COVID-19 because a state or local agency is not promptly sharing crucial info…,5
1250512135857332224,2020-04-15 19:51:41,L.A. boasts one of world’s most vibrant salsa scenes. The coronavirus may wipe it out https://t.co/sqBXjxVetl,12
1250511436033355776,2020-04-15 19:48:54,"RT @sleavenworth: More than 100,000 clean energy workers lost their jobs in March, via ⁦@Sammy_Roth⁩
 https://t.co/Bevvs8Pr8K",10
1250511211906715650,2020-04-15 19:48:00,No hugs or handshakes: Coronavirus complicates storm relief https://t.co/9YDvdJIVtN,9
1250509206349905920,2020-04-15 19:40:02,"It's hard to say when Americans will be willing to enter a crowded shopping mall, stand in a tightly packed checkou… https://t.co/hKZZSQXH5Z",8
1250507435309182979,2020-04-15 19:33:00,Trump’s signature will appear on coronavirus stimulus checks https://t.co/XTAJnTDOK5,14
1250507026502791169,2020-04-15 19:31:23,"RT @latimesopinion: ""I told him that while he is in the hospital, we are his family, and that he will always have a place in my heart."" htt…",21
1250505424572481540,2020-04-15 19:25:01,An elderly woman moving to be closer to her family. A parent helping his daughter move back home after college dorm… https://t.co/BttHpP56In,30
1250503662260060160,2020-04-15 19:18:00,'This is not the end': Officials say it's too early to scale back coronavirus restrictions https://t.co/XpGQFL863E,37
1250500935752679424,2020-04-15 19:07:10,"There are a million mock drafts, but there's only one @LATimesfarmer mock draft: 32 experts, 32 picks. For the firs… https://t.co/ce4Zh6R2Aa",12
1250500535825739776,2020-04-15 19:05:35,RT @latimesent: Here's an updated list of entertainment-related companies hiring right now https://t.co/zr6igqod3A,14
1250499894349049856,2020-04-15 19:03:02,Guatemala health chief says at least 50% of deportees from U.S. have coronavirus https://t.co/7REf9tsybD,54
1250498613605576704,2020-04-15 18:57:57,"RT @latimesent: Attention to those in the entertainment industry!

This is UPDATED for places you can go for help during the coronavirus cr…",14
1250496985192255488,2020-04-15 18:51:29,"RT @latimesent: ⚡️ “Will coronavirus change 'Real Housewives' forever?”

https://t.co/z4MppktSDd",9
1250496112735199232,2020-04-15 18:48:01,People are leaving their homes a lot less. CDC numbers show how much https://t.co/megFVoQNGb,11
1250492339690377216,2020-04-15 18:33:01,"SAT tests to move online, at home if coronavirus forces school closures in fall https://t.co/pFFEAG8Mci",22
1250488827543580672,2020-04-15 18:19:04,"""Renters need help, but so do landlords. ... They provide an essential service: a roof over one’s head.

It should… https://t.co/cuqLXBECi7",30
1250488564204388354,2020-04-15 18:18:01,Claremont high school football team ‘Zoombombed’ during online practice https://t.co/4J8hMijBDX,3
1250486548677656576,2020-04-15 18:10:00,"More than 100,000 clean-energy workers lost their jobs in March — and the worst is likely yet to come, experts say.… https://t.co/a2Ar0IocfP",46
1250484788194091018,2020-04-15 18:03:01,Coronavirus fears haven't stopped the sex trade on Los Angeles streets https://t.co/yPKWRpRT8h,17
1250483422528561152,2020-04-15 17:57:35,RT @shelbygrad: The sex industry has alwasy been about risk. It is just much more risky in the age of coronavirus. “It was business as usua…,7
1250482552885952514,2020-04-15 17:54:08,Column: You may need to put your summer plans on hold https://t.co/WnZ6Khdt9b,18
1250482480420978689,2020-04-15 17:53:50,"No California ‘victory lap’: Lifting stay-at-home rules too soon would be disastrous, officials say https://t.co/cfkR6kzZBI",28
1250482333989265408,2020-04-15 17:53:15,"RT @markzbarabak: The COVID-19 pandemic has changed everything, including the way we talk. https://t.co/9uh8s6GMcb",7
