id,created_at,text,retweet_count
1252707156144484354,2020-04-21 21:13:54,@maoonlightbae totally take it back. sorry y’all. just been working. love u.,259
1252692914745995264,2020-04-21 20:17:19,“take ya time / hurry up” https://t.co/6cLxvtxmEu,3262
1252692545538125824,2020-04-21 20:15:51,same. love u. https://t.co/67yCTxg6RP,1872
1252692379292725249,2020-04-21 20:15:11,love u sm. miss this time. https://t.co/3W3kgEtEeQ,5092
1252689093718245376,2020-04-21 20:02:08,🤍💦🥃 https://t.co/M1JjacTN5R,2254
1252415231520731137,2020-04-21 01:53:54,miss u,88759
1252414635258425344,2020-04-21 01:51:32,@NJOMZA https://t.co/IOXV9i2Fud,15518
1252414040581607424,2020-04-21 01:49:10,"RT @NJOMZA: sexy won’t you undress for me...💕
https://t.co/ZIYCLpa7WD https://t.co/vUxYO8egNQ",2086
1251952891583008770,2020-04-19 19:16:44,love u both so much. this is so awesome. https://t.co/mEZvOPmF1Y 🤍🍷 https://t.co/hqnYBooMPj,4446
1251623634692497408,2020-04-18 21:28:23,@AlfredoFlores 🥺🤍,640
1251396278824521729,2020-04-18 06:24:57,@scooterbraun https://t.co/GgipNh16ry,855
1251395118617124864,2020-04-18 06:20:20,@toodamnneeedy :) @yodaveholstein,233
1251387266573819905,2020-04-18 05:49:08,@arismoonshine 🥺... so random and so kind of u. love u. appreciate u. miss u guys. working a lot but miss u &amp; sending love !,657
1251279457282740224,2020-04-17 22:40:44,@AIMenken i....................... cannot thank u enough. that means the world with me. u did an amazing job WRITING literally EVERY SONG THAT MATTERS IN THE HISTORY OF THE WORLD.,703
1251007355229106176,2020-04-17 04:39:30,@KChenoweth @Disney @ABCNetwork my queen. miss u so so so much. u were so adorable and phenomenal tonight ! what a gift u are.,446
1250991537002934272,2020-04-17 03:36:39,@KimKardashian 🥺🤍🥺🤍🥺🤍,1219
1250957876324995073,2020-04-17 01:22:54,@KALENGAROO it’s from the no tears video 😭,449
1250957874429218821,2020-04-17 01:22:53,‘won’t say i’m in love’ 🤍 thank u for having me @disney @abcnetwork #DisneyFamilySingalong 🎙 https://t.co/me7YVDwxTJ,103775
1250827617650917376,2020-04-16 16:45:17,at least out loud ... i won’t say i’m in love,43536
1250558462255226880,2020-04-15 22:55:46,@IAmSusanEgan @FrankieJGrande omg,330
1250553833308057601,2020-04-15 22:37:22,@AlfredoFlores remind me if we’ve ever had more fun working on something in our lives really,725
1250545364018462720,2020-04-15 22:03:43,https://t.co/IvBbjngoz6,53116
1250545223492497410,2020-04-15 22:03:09,RT @ABCNetwork: We're gathering today’s biggest stars to sing your favorite Disney songs during the #DisneyFamilySingalong this Thursday at…,2016
1250346657209667585,2020-04-15 08:54:08,@NJOMZA 😍,366
1250346448320786434,2020-04-15 08:53:18,@NJOMZA we got time. now all we need is patience. ｡ﾟ･（&gt;﹏&lt;）･ﾟ｡ no rush. love u w all my heart. (maybe no more lives for now lmao),596
1250273140556460032,2020-04-15 04:02:00,@JCChasez @coachella @NSYNC omg. thank u for making mine come true. love and appreciate u sm. 🖤,390
1248393704009687052,2020-04-09 23:33:47,@arianashijabi mona,326
1248391768661352449,2020-04-09 23:26:06,@ghstofari bruh 😭😭😭😭😭,344
1248391126207193091,2020-04-09 23:23:33,@seIfIoveari i’m crying,285
1248390030512410626,2020-04-09 23:19:11,@remquit HAHAHAHAHAHA,291
1248387845720395776,2020-04-09 23:10:31,@hopemyjosie @moonlitmyron oh my god 🥖 🍞 🖤 so cute,295
1248387158815072256,2020-04-09 23:07:47,@moonlitmyron so cute 😭,206
1248376544403185672,2020-04-09 22:25:36,@yourswt @arianafenty @grandekordei @wityagirlfriend good !!!! it’s funny and fun. keep being creative and making each other laugh.,357
1248373912045412354,2020-04-09 22:15:08,@arianafenty @grandekordei @wityagirlfriend IS EVERYONE OKAY ?????...... (but the heartbeat sensation line is a bar),349
1248145995080200192,2020-04-09 07:09:29,🤍 https://t.co/Zkfwsyl7IE,2816
1247974503612682241,2020-04-08 19:48:02,entirely. https://t.co/fuBRXrfv8q,2230
1247974282493214721,2020-04-08 19:47:09,u and @joangrande transformed. truly soul shaking performances from u both. https://t.co/VIr30g40tL,2260
1247969267896602625,2020-04-08 19:27:14,another super productive day https://t.co/qHXK2FXGND,35022
1247282907128848384,2020-04-06 21:59:53,RT @AdamSandler: Bobby Boucher approves of this message,15292
1247249535769829376,2020-04-06 19:47:16,🤍 https://t.co/TofHcUH5tg https://t.co/1iITpKcwzo,5484
1247247529059606529,2020-04-06 19:39:18,"RT @OBB: &amp;Music launches today, with the first 3 episodes available now exclusively on Quibi! Dance &amp;Music features @ArianaGrande and her c…",1196
1247049128586039296,2020-04-06 06:30:55,yes literally on set of giaw lmao @troyesivan https://t.co/OJW2x3xamh,4530
1247044681088679936,2020-04-06 06:13:15,@troyesivan ft me rn,1767
1247044354373373953,2020-04-06 06:11:57,oh my god i love u so much it hurts https://t.co/mX8wXuJKrU,15174
1246999298572599298,2020-04-06 03:12:55,hello same to u my fine sir https://t.co/WVbF7qR9vK,4360
1246999142255058944,2020-04-06 03:12:18,i believe it more than i believe anything else in my life https://t.co/tVnQnmjppi,2343
1246985187453362176,2020-04-06 02:16:51,and how’d u all make use of YOUR day ? https://t.co/R3zf882jOM,21918
1246905601705168896,2020-04-05 21:00:36,same https://t.co/UaJ8Ojq0jH,1792
1246905397446717440,2020-04-05 20:59:47,miss u https://t.co/EYqKB1Ft84,1632
1246905257130512384,2020-04-05 20:59:14,the best time https://t.co/ode3A4phve,10948
1246889921488384000,2020-04-05 19:58:18,"tommy n i sending u some virtual love 🤍💻🎙 hope you’re all staying safe, sane, healthy and as creative as possible https://t.co/kRTTAgRihZ",58898
