id,created_at,text,retweet_count
1252783767317630976,2020-04-22 02:18:20,The best thing I’ve been doing is organizing all of the pictures in my phone and making folders for each of my children. https://t.co/GVJgTCmPr2,810
1252754654770806785,2020-04-22 00:22:39,The police rushed to judgment when they arrested Kevin. This innocent man went from living freely to having his world upended by a murder trial to death row in under 4 months. That's more than enough injustice for one person. OH needs to correct its mistake before it's too late. https://t.co/SVEF25IwEO,433
1252753096242913280,2020-04-22 00:16:27,"This is not OK. Kevin Keith survived 10 yrs on death row for a crime he didn’t commit, only to find himself under threat of death again, trapped in a prison that has become the leading hotspot for COVID-19. PLEASE HELP https://t.co/7CqDBLHLIZ",340
1252734177037910022,2020-04-21 23:01:17,I miss glam. Can we FT and get a glam lesson ⁦@makeupbyarielT⁩ ⁦@ChrisAppleton1⁩ https://t.co/5HQOrE6i0X,399
1252680975999545345,2020-04-21 19:29:53,RT @skims: JUST DROPPED: @KimKardashian wears the Scoop Bralette and Short in Bone — part of the Stretch Rib collection available now exclu…,26
1252634884742492163,2020-04-21 16:26:44,RT @KKWMAFIA: Shop @SKIMS Stretch Rib Collection now only at https://t.co/DexaxI8UAI https://t.co/nr7OsSMtn6,45
1252634702164475906,2020-04-21 16:26:00,This is so amazing!!! I lounge around in this collection. I’m obsessed with it 🤍 https://t.co/jzwwwx9fpZ,46
1252634074310742023,2020-04-21 16:23:30,🖤🖤🖤 https://t.co/zzNlmEXoUa,25
1252633187999715332,2020-04-21 16:19:59,So happy for you!!! You’re going to love this collection https://t.co/N4hn8mc3Q0,41
1252633009465053186,2020-04-21 16:19:16,I hope you enjoy! 🤍 https://t.co/Dug28XB0cA,42
1252628350490882055,2020-04-21 16:00:46,AVAILABLE NOW: @SKIMS Stretch Rib. Shop now in 3 colors and in sizes XXS - 5X at https://t.co/Qsy51Sl2Sd and enjoy free shipping on domestic orders over $75. https://t.co/plHmoMvsg5,159
1252338304072028160,2020-04-20 20:48:13,I’m self shooting something really exciting today on zoom. This is a throwback but wait until you see what we have coming #NewCozyColorsComingSoon #skims @SKIMS https://t.co/Z4V3k7furB,232
1252322170274897920,2020-04-20 19:44:07,I just binged Big Little Lies! It’s sooo good! Who has seen it?,1061
1252297927822913536,2020-04-20 18:07:47,"RT @skims: LAUNCHING TOMORROW: SKIMS Stretch Rib — a sleek, sport-inspired collection of soft ribbed underwear and loungewear pieces that f…",85
1252264489275310080,2020-04-20 15:54:54,My mom and I on set of our KKW X KRIS FRAGRANCE collab! Available now at https://t.co/tbQezJJIwC https://t.co/qMR3M7eTpx,267
1252059789540184065,2020-04-20 02:21:30,Back to the Future (2014) 📸 @splashnews https://t.co/0SBe09c5oq,1603
1252015394132578304,2020-04-19 23:25:05,"RT @KKWFRAGRANCE: ""If you know my mom, it's @KrisJenner wrapped up into a bottle."" - @KimKardashian for @Refinery29. Shop #KKWxKRIS now onl…",89
1252015389267148808,2020-04-19 23:25:04,"RT @kkwbeauty: Contour, shade, sculpt and highlight with @KimKardashian &amp; @DesiPerkins as they use the Powder Contour &amp; Highlight Palette i…",64
1251962714684973056,2020-04-19 19:55:46,🤍🤍🤍 🍷 🍷🍷 https://t.co/sBzJiWQnYS,471
1251962607726063617,2020-04-19 19:55:20,"RT @aplusk: Mila and I are launching Quarantine Wine!
100% of the profits will go to Covid-19 relief efforts!
#QuarantineWine #SocialDistan…",6219
1251901264310517760,2020-04-19 15:51:35,https://t.co/Qsy51Sl2Sd https://t.co/7BmesXuPvB,427
1251657948985733120,2020-04-18 23:44:44,"RT @skims: With a halter neckline and super-soft ribbed texture, the Stretch Rib High Neck Bra offers a supremely comfortable and flatterin…",92
1251557661738500096,2020-04-18 17:06:14,Happy Birthday @kourtneykardash https://t.co/x2KURYRJXb,721
1251557617786331136,2020-04-18 17:06:03,Happy Birthday @kourtneykardash https://t.co/8nFHIn6t2l,2025
1251557540502085633,2020-04-18 17:05:45,I couldn't be more thankful for our memories together. You pack a mean punch I love you so much and can’t wait until this is all over so we can celebrate together. @kourtneykardash https://t.co/UEf49IkBrl,436
1251557473460387842,2020-04-18 17:05:29,"Happy Birthday @kourtneykardash I had to find some good throwbacks to celebrate you today! I remember these moments so vividly. I love your strong will to do whatever makes your soul happy, the love you have for you children and for being the best big sister. https://t.co/9IEfLA7sao",686
1251354521936093186,2020-04-18 03:39:01,Happy Birthday!!!!!! https://t.co/H2UjwFEZGw,99
1251353755632594947,2020-04-18 03:35:59,I just finished watching Little Fires Everywhere with @ReeseW and @kerrywashington . It's soooo good and crazy! Who's seen it?,296
1251331402743808002,2020-04-18 02:07:09,Found this pic of these cuties in my phone ✨🤍 https://t.co/lAtGZnp6R0,3378
1251277588095315968,2020-04-17 22:33:19,Alexis Martin is a sex traffic survivor and I was honored to be able to share her story on the Justice Project. Thank you Governor DeWine for commuting her sentence. 🙏🏼 @GovMikeDeWine,548
1251277074444120065,2020-04-17 22:31:16,Thank you Governor DeWine!!!! 🙏🏼✨ https://t.co/MJEskyeOc2,353
1251258190722818049,2020-04-17 21:16:14,"RT @ForeverMalika: Hey moms, Y’all are the shit!",1254
1251246531048505344,2020-04-17 20:29:54,On Set 📸 @SKIMS Stretch Rib Photoshoot https://t.co/Qsy51Sl2Sd https://t.co/CB1ahr9crG,188
1251178732221542400,2020-04-17 16:00:30,The @SKIMS Solutionwear pieces you’ve been waiting for are back in stock! Shop the Sculpting Bodysuit Mid Thigh and Sculpting Bra now at https://t.co/Qsy51Sl2Sd before they sell out and enjoy free shipping on domestic orders over $75. https://t.co/k917k3qpyi,163
1250998910941708289,2020-04-17 04:05:57,Sing it Demi!!!! So beautiful ✨🤍 #disneysingalong,1145
1250998375186460673,2020-04-17 04:03:49,How magical is @MichaelBuble ‘s voice ✨✨ #disneysingalong,112
1250994917733568512,2020-04-17 03:50:05,I love @torikelly ‘s voice so much #disneysingalong ✨🤍,375
1250993983150415873,2020-04-17 03:46:22,Awww @xtina sounds so amazing! ✨,662
1250990298580135937,2020-04-17 03:31:44,How beautiful does @ArianaGrande look!!!!!!!!!! #disneysingalong 🤍🤍🤍🤍,3418
1250987663198322690,2020-04-17 03:21:15,Beyoncé sounds so beautiful #disneysingalong ✨✨✨,2816
1250984660177260544,2020-04-17 03:09:19,OMG @derekhough and @juliannehough KILLED it!!!!!!!!! #disneysingalong,108
1250984378080956416,2020-04-17 03:08:12,Who is watching the Disney Sing along on ABC???? It’s soooooooo good!!!!,266
1250951981620801542,2020-04-17 00:59:28,I love khloe as a brunette!,572
1250949988659589120,2020-04-17 00:51:33,My mom stalked @tracyromulus over this for a week after trying to figure this out! #KUWTK,56
1250949679728095232,2020-04-17 00:50:19,This call was soooooo funny. I always laugh and can’t hold it in this was so hard for me #KUWTK,67
1250948956659437568,2020-04-17 00:47:27,RT @KyleMFKnight: Tonight’s episode on #KUWTK is exactly the type of stuff I miss from you sistas @enews @khloekardashian  @KimKardashian 🤍,20
1250948927488012288,2020-04-17 00:47:20,Why thank you! https://t.co/2T8fJ0vDcv,97
1250948783149445120,2020-04-17 00:46:46,RT @KimKsthetic: @tracyromulus being involve is funny bc Kris would least expect her to pull anything on her #KUWTK,13
1250948727381954560,2020-04-17 00:46:32,Yes!!!!!! @tracyromulus #KUWTK https://t.co/2ZtOKadBTS,25
1250948586470178816,2020-04-17 00:45:59,RT @thejakekardash: Never forget when Kim got Lasik eye surgery and then went and performed with the pussy cat dolls the same night! She ha…,206
1250948498914082816,2020-04-17 00:45:38,RT @Khlomoney98: #KUWTK time let’s gooooo! https://t.co/W0UZg9EyD6,57
1250946947755597824,2020-04-17 00:39:28,Hahahaha the wig #KUWTK,78
1250946638996111361,2020-04-17 00:38:14,RT @KUWTK: @jessicalaree_ @KimKardashian 😂 #KUWTK https://t.co/hfXti36C0C,36
1250946467965005825,2020-04-17 00:37:34,!!!!!!!!! 🛎🛎🛎 https://t.co/TxHOR3hRW5,38
1250946206336905217,2020-04-17 00:36:31,I don’t remember getting a bell 🛎 lol #KUWTK,50
1250946114489946112,2020-04-17 00:36:09,OMG that flashback of my old room at my apartment ✨#KUWTK,46
1250944650967310336,2020-04-17 00:30:20,!!!!!! https://t.co/kQaEj0fjlY,37
1250944603835924482,2020-04-17 00:30:09,I was so used to you guys ganging up on me it didn’t even phase me LOL https://t.co/r2F4JR6dev,79
1250944490090541056,2020-04-17 00:29:42,I did Lasic eye surgery and then had to perform with the pussycat dolls less than a week later and was not supposed to wear any mascara and I had on so many sets of fake eyelashes I can hardly see https://t.co/9JJIAcd3Ea,45
1250944312063356928,2020-04-17 00:29:00,Khloe you have to post them ASAP https://t.co/9vHBv651aM,62
1250944253120745473,2020-04-17 00:28:46,Yes I’m on the treadmill and watching at the same time and live tweeting with you guys https://t.co/Ccf19NGUMJ,34
1250942120107470848,2020-04-17 00:20:17,RT @DashDolls831: @khloekardashian North is so smart between that and @KimKardashian as princess jasmine cant fool Northie #KUWTK,18
1250941953627156482,2020-04-17 00:19:37,Can’t fool North! She knew that was @khloekardashian straight away! #KUWTK,69
1250941307075227648,2020-04-17 00:17:03,OMG @ForeverMalika you didn’t want to tell me you were pregnant!!!!! I do NOT have a big mouth! #KUWTK,45
1250940933639565315,2020-04-17 00:15:34,These memories of me doing lasik eye surgery are crazy! It looks so scary 👁,83
1250940487449505794,2020-04-17 00:13:48,I spy @KylieJenner &amp;  @stassiebaby wearing @skims cozy collection on #KUWTK,49
1250940149543944193,2020-04-17 00:12:27,I would say the Todd Kraines prank or this new one is pretty good but you’ll have to wait and see what this new one really is and how it progresses #KUWTK https://t.co/FCtNI7c5KE,60
1250939054503260162,2020-04-17 00:08:06,I will say the Todd Krianes prank was the best ever!!,1796
1250938874932555776,2020-04-17 00:07:23,I love seeing Stass and Kylie on #KUWTK,175
1250937884175003648,2020-04-17 00:03:27,Ok guys I’m here to love tweet and I can’t wait for you to see tonight’s episode!!! The pranks are back and this is a goooood one! #KUWTK,81
