id,created_at,text,retweet_count
1252308635717218304,2020-04-20 18:50:20,It already is https://t.co/2nLHYUhGyH,4848
1251949800410320897,2020-04-19 19:04:27,"RT @ibieberauhlIs: Good things to watch to make your quarantine better. I’m going to play with my feelings. Never Say Never, Believe and #J…",3545
1251949753178316800,2020-04-19 19:04:15,RT @estherwuff: Seasons by Justin Bieber has now surpassed 200 MILLION views over 10 episodes on YouTube. He remains the most subscribed ar…,2222
1251565192837619712,2020-04-18 17:36:09,@ghostingbieber Forever,2374
1251565097186553858,2020-04-18 17:35:46,Just amazing. So grateful. Thank you so much. Love #mybeliebers . #BieberVirtualConcert,17104
1251562631762075654,2020-04-18 17:25:58,@bieberxnct Hi,841
1251562405647142912,2020-04-18 17:25:05,@AMBIEBERGIRL I am,1133
1251562161450541058,2020-04-18 17:24:06,Everything is gonna be alright  #BieberVirtualConcert thank you,14519
1251562016981962752,2020-04-18 17:23:32,@skinnyjustiin Yes I am,859
1251561941950058496,2020-04-18 17:23:14,@bealrightselena A lot of memories right now. Across the ocean across the sea :),1883
1251561424914010112,2020-04-18 17:21:11,@drewswildflower 🤝,931
1251561325714530305,2020-04-18 17:20:47,@Changeskdrauhl Me too,1059
1251561199252066304,2020-04-18 17:20:17,@heyTasyaAprilia Sorry I took so long,812
1251560797890723842,2020-04-18 17:18:41,@chanreJB We will be back,1074
1251560689476358144,2020-04-18 17:18:15,@anaaaaaa06 Very much so. Thank you. Love you all,2149
1251560634463907840,2020-04-18 17:18:02,@itsvalennnn Yep,632
1251560597398798338,2020-04-18 17:17:53,@estherwuff They always do,1805
1251560354619904000,2020-04-18 17:16:56,@popcreave Love it,1187
1251560287007694849,2020-04-18 17:16:39,@AlfredoFlores @Quincy I see you guys,1871
1251560163913293825,2020-04-18 17:16:10,@bieberscIarke Yes,659
1251560141851222016,2020-04-18 17:16:05,@http_sizzler02 Me too. #beliebers,1602
1251560015971807232,2020-04-18 17:15:35,@honeyphases Accepted,611
1251559842776399874,2020-04-18 17:14:54,@deeii6b You made it,594
1251559772412768257,2020-04-18 17:14:37,@perfebieber I hear you,656
1251559662568083456,2020-04-18 17:14:11,@smolhaiz Yep,564
1251559607702482944,2020-04-18 17:13:57,@habitualtpwk Me. Followed,808
1251559438906875905,2020-04-18 17:13:17,@Habitaul Yep,861
1251559120156549120,2020-04-18 17:12:01,@biebxintention Wow,732
1251558125049544704,2020-04-18 17:08:04,@KennyHamilton Lol,1372
1251557212163469314,2020-04-18 17:04:26,Sorry I’m late to the party. Thanks for the heads up @AlfredoFlores . You are all amazing. Thanks so much. #BieberVirtualConcert #mybeliebers https://t.co/NNMizlZPLb,11313
1251556906759409664,2020-04-18 17:03:14,As long as you la la la la love me. #BIEBER2020VirtualConcert 😏,27788
1251397547022667777,2020-04-18 06:29:59,I’m excited,17826
1250838024763523078,2020-04-16 17:26:39,RT @justinbieber: #intentionschallenge https://t.co/g3oretEr5h,5186
1250837977904734208,2020-04-16 17:26:28,I’ve accepted the #ALLINCHALLENGE. Help us feed the hungry during this challenging time. Go to https://t.co/OjfuURDx9y to donate for a chance to have me fly to your town and sing OLLG to you. Thanks. https://t.co/VYWubNgDrZ,4974
1250602401922297856,2020-04-16 01:50:22,RT @justinbieber: Can u? #intentionschallenge https://t.co/8bx06AUtd6,7452
1250602369789788160,2020-04-16 01:50:14,About to watch #DAVEFXX . I’m on it,3217
1250538800566038529,2020-04-15 21:37:38,Can u? #intentionschallenge https://t.co/8bx06AUtd6,7452
