id,created_at,text,retweet_count
1234582275154563072,2020-03-02 20:52:06,"YEEZY SEASON 8 STARTING NOW

https://t.co/C5AFxoxfnM
https://t.co/CdZS4OLXqB",6592
1227677603365961728,2020-02-12 19:35:24,"Sunday Service Experience

Credit Union 1 Arena, Chicago 
  
Sunday February 16th 2pm

https://t.co/yI8zxMASmh",1648
1225196178016391168,2020-02-05 23:15:06,Family https://t.co/vVQO68atHr,7372
1222226754422460416,2020-01-28 18:35:40,"Sunday Service Experience

Bayfront Amphitheatre Miami
  
Sunday February 2nd 11am

https://t.co/tcAKX5sR92",1467
1221558611320528896,2020-01-26 22:20:43,"Kobe, We love you brother

We’re praying for your family and appreciate the life you’ve lived and all the inspiration you gave https://t.co/pxbgLOOmpY",132469
1212974525781925888,2020-01-03 05:50:37,happy new decade from the ranch https://t.co/7XhVVBEG4I,15053
1209932934351904773,2019-12-25 20:24:25,https://t.co/S6LFIK5KDv https://t.co/siQxZHOXSs,19506
1208548866104020992,2019-12-22 00:44:38,quilted velour angel wings https://t.co/JkyL345RpR,2513
1207857468946055168,2019-12-20 02:57:16,Meg Webster sketch https://t.co/Zil1KvybtI,735
1207857283054489600,2019-12-20 02:56:31,Vanessa Beecroft sketch https://t.co/Gtqhras6eh,1070
1207857007274811393,2019-12-20 02:55:26,https://t.co/UeEZAPlB4v,1102
1207856904350781441,2019-12-20 02:55:01,https://t.co/FqO1I64MFz,881
1207856606441922560,2019-12-20 02:53:50,https://t.co/Rdc5ZmHFrR,648
1207761394847768576,2019-12-19 20:35:30,https://t.co/rQqaz94gfy,3929
1207057626317541377,2019-12-17 21:58:58,https://t.co/r3Ze9AoS7w,2475
1200097229446365184,2019-11-28 17:00:50,https://t.co/CgPA4U0Wqo,9923
1199769193966493696,2019-11-27 19:17:21,https://t.co/fIHtyy3OMy,5507
1198796720471064577,2019-11-25 02:53:05,https://t.co/YuBbMweeeG,2099
1198796577411698688,2019-11-25 02:52:31,https://t.co/mkKFKNaCI0,1174
