id,created_at,text,retweet_count
1252744040556068864,2020-04-21 23:40:28,Who said you can’t add a little sparkle to your sweats? ✨🌈✨ and don’t forget 10% of every purchase will be donated to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19  #ShoesdayTuesday @kpcollections https://t.co/e5Sr4cMxRZ,426
1252003095397257217,2020-04-19 22:36:13,Here I am in my last glampt prequarentina look March 12th in front of the Sydney Opera House - a world class venue that our next #AmericanIdol could be performing at in their future 🔮 Follow their journey tonight… https://t.co/q2Kl7RD1v4,671
1251758289085435906,2020-04-19 06:23:27,"Kitty Purry crawled through my then-boyfriend’s window 15 years ago, fully pregnant and seeking shelter. Two litters and many moons later, this street cat became a lovable mascot to many. Sadly, Kitty completed her… https://t.co/QFyWDhs40B",2110
1251226980965470208,2020-04-17 19:12:13,♥️🙏🏻 https://t.co/giuOd16tI4,1462
1250495570893926400,2020-04-15 18:45:51,the people that used to say “I only do hugs” are most definitely cancelled for the foreseeable future,2501
1250280686264545280,2020-04-15 04:31:59,My definition of success is being able to peel a price tag off the bottom of an item CLEANLY leaving NO residue,4556
1250212033695367170,2020-04-14 23:59:11,Who says you can’t look cute while being bored in the house? 🙃✌🏻💗 and don’t forget 10% of every purchase will be donated to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19 #ShoesdayTuesday @kpcollections https://t.co/jPjwrqX2UC,1097
1250211516269264896,2020-04-14 23:57:07,do we think this is the season finale of The Simulation or nah,1924
1250153369382973441,2020-04-14 20:06:04,"How will @AmericanIdol continue? 
I'll be judging from California ☀️
@LionelRichie from LA 👋
@LukeBryanOnline &amp; @mrBobbyBones in Nashville.🤠
@RyanSeacrest will host from Cali!🌴
Contestants perform at their house!🎤
America will VOTE from HOME and choose a WINNER!🗳️🎉 https://t.co/DF1emYAfuR",816
1249466458586804224,2020-04-12 22:36:32,Somebunny 🐰 is going to be live on FACEBOOK with you right before Idol starts tonight at 7:45p ET to have a little Q&amp;A about any of your #AmericanIdol questions 🐣 https://t.co/wpKauXwwlH,3461
1248371923307749376,2020-04-09 22:07:14,Two of my favorites have come together at the perfect moment #toyourhealth #pressedxbragg 🍎 🍏 Check out @PressedJuicery to order online for contactless curbside pickup or delivery or go to https://t.co/2auxqdPWRp https://t.co/SAN927P951,523
1247722267540221952,2020-04-08 03:05:44,Sending ❤️ out to all of you on this #ShoesdayTuesday! I will be donating 10% from the sale of every shoe and handbag from https://t.co/F1qKGOllSl in April and May to @baby2baby to assist their efforts in providing essential items to children and families impacted by COVID-19 💕 https://t.co/1o6v29Sdja,938
1247605274380128256,2020-04-07 19:20:51,this is how you wash with styyylesss https://t.co/C7rlCUGv9Y,941
1246981095683321858,2020-04-06 02:00:35,"OMGEE We’re leaving it to you, America! We couldn’t choose between @GraceLeermusic &amp; @LaurenMascitti so we’re leaving it to you! Vote at https://t.co/AeLQtxZkD5 #AmericanIdol @emmylousongbird https://t.co/pUPNJLTNmQ",215
1246977580198051840,2020-04-06 01:46:37,It’s the end of the #AmericanIdol journey for #DemiRae 🥺 but the beginning of a new journey for her. Keep being the you you wanna see on stage girl! 💫 https://t.co/wvfEaJWKrU,869
1246976313258151936,2020-04-06 01:41:35,This is definitely love that I’m feeling for @ArthurGunn122’s pure light ✨#AmericanIdol,212
1246975603732971520,2020-04-06 01:38:46,"YASSSTH @OliviaXimines not just the voice, not just the moves, but THE REVEAL AND I AM HERE FOR IT #AmericanIdol @LoveTinaTurner https://t.co/wQAyWtMmGT",309
1246972154517708801,2020-04-06 01:25:03,We gotta look out cause the next generation is coming and they are NOT👏🏻HERE👏🏻TO👏🏻PLAY❗️@CyniahElise @MakaylaPhillips @iamlaurenmusic #AmericanIdol @MsPattiPatti https://t.co/LJBeoP9nTY,162
1246970319111213061,2020-04-06 01:17:46,. @shan_gibbons all endings are also beginnings. Chin up butter cup ♥️🌱#AmericanIdol @adele,153
1246969721494179842,2020-04-06 01:15:23,"I've said it before but IT. IS. NOT. EASY. saying no to some really great contestants like #GraceLundy. Mark my words, give it 5 years and Grace is gonna prove us wrong. It’s all about timing, sometimes 💫 #AmericanIdol",178
1246967863182684161,2020-04-06 01:08:00,. @GabrielaKimmy has one of the best voices in the competition but she’s gotta round it all out now if she wants to go ALL THE WAY 💯 #AmericanIdol @ddlovato https://t.co/i3U1X5DkKG,256
1246966502537846786,2020-04-06 01:02:36,"Also, I have a lot of respect for @mrBobbyBones. As you can tell, he wasn’t supposed to shoot that day (5 o’clock shadow, no makeup) but he means it when he says he’ll always be there for the contestants. I thought that was really cool of him 👍🏻 #AmericanIdol",203
1246964401212510210,2020-04-06 00:54:15,"I hope #RobertTaylor keeps chasing those dreams, and the hair. Werk, but don’t overwork!  #AmericanIdol @eltonofficial https://t.co/fIWwaSyrV7",150
1246961355837456389,2020-04-06 00:42:09,"I have no problem throwing @LukeBryanOnline and @LionelRichie under the bus, especially when I win the argument 💅🏻 It ain’t nothing but a hair flip hinny! You earned that top 20 spot @SophiaWackerman! #AmericanIdol @nickjonas https://t.co/srZN21OivL",240
1246959721296216065,2020-04-06 00:35:39,"We love a good surprise at #AmericanIdol... So glad your dad got to see you make it to the top 20 @Aliana_Jester! And yes, that performance definitely earned a celebratory pool jump... https://t.co/yR8dL3gwLC",164
1246957738518671360,2020-04-06 00:27:46,I’ve loved seeing @Julia_Gargano  AKA Julia GaGORGEOUS blossom 🌺 To be honest this rendition of #GlitterInTheAir by @pink was maybe my favorite performance in Hawaii yet... #AmericanIdol,188
1246955163379568640,2020-04-06 00:17:32,Be the artist you want to see in your own students @FBooneMusic! I hope you continue to make your daughter AND your students PROUD ♥️🙏🏻 #AmericanIdol,184
1246954337110130689,2020-04-06 00:14:15,I’m always gonna root for @genlinkowski and the strength/💪🏻vulnerability💪🏻 and growth she’s shown us over the last 2 years has been amazing 🌱#AmericanIdol @Lauren_Daigle,161
1246951839926378497,2020-04-06 00:04:20,"Hope you can continue to keep seeing the VALUE in yourself @DillonJOfficial. You aren’t just a singer, you’re an ARTIST and every human life has VALUE ♥️ #AmericanIdol https://t.co/feuT5mj1la",186
1246950559115915266,2020-04-05 23:59:15,It’s been a WEEK since we left you with a cliffhanger for @DillonJOfficial on #AmericanIdol 😳 Does it feel like it’s been forever or does it feel like yesterday?,161
1246921897540898816,2020-04-05 22:05:21,"Make some tea as the tea is served... Real talk, tonight (and every night 💁🏼‍♀️) on #AmericanIdol 👀 Tune in for part ✌🏼 of Hawaii at 8/7c on @abcnetwork #stayathome https://t.co/s8kYZfTCCt",606
1246855595811995648,2020-04-05 17:41:54,🇺🇸 https://t.co/TjjshW8e5l,454
1246661864664096768,2020-04-05 04:52:05,love you guys,7501
1246279400754229249,2020-04-04 03:32:18,💕 it’s a girl 💕 @ Girls Run The World https://t.co/2Nd5jPaqo1,9769
1245181481003057152,2020-04-01 02:49:34,Today’s #ShoesdayTuesday: staying home but making it pineapple🍍 @kpcollections https://t.co/EjiN2Nmtbu,1817
1244451951137316864,2020-03-30 02:30:40,NOOO @AmericanIdol HOW DARE YOU with a cliffhanger! I DON’T NEED THIS EXTRA SKRESS‼️ Do ya’ll think @DillonJOfficial makes it?,202
1244444618478870531,2020-03-30 02:01:32,"Your family, @margiemaysmusic, and we believe in you @ohJonnyWest. Time for you to believe in you too! #AmericanIdol @TheFray https://t.co/7zEj2547s6",370
1244438712231981058,2020-03-30 01:38:04,What. A. Metamorphosis. @CoJustsam has grown before our very eyes but still continues to surprise us 😲😍 #AmericanIdol,243
1244438430097887232,2020-03-30 01:36:56,EVERYONE WHEN @CoJustsam STARTED SINGING EN ESPAÑOL #AmericanIdol https://t.co/K6YNPiYulj,544
1244436833661906945,2020-03-30 01:30:36,We’ll always believe in #AmberFiedler. She’s a fighter 🥊💪🏼 #AmericanIdol,212
1244434018054987776,2020-03-30 01:19:25,All that WERK you put in from being in cover bands really gave you an edge performing in front of a crowd @faithbecnel. YOU 👏🏼 CAN’T 👏🏼 SKIP 👏🏼 THE 👏🏼 STEPS #AmericanIdol,178
1244433065390161921,2020-03-30 01:15:37,". @JovinWebb might not have the biggest range but he’s got artistry, and that’s harder to find than a gymnastics note type hittin’ voice 👏🏼 Love seeing your fellow contestants love on you, too. #AmericanIdol #staystrongLouisiana  @RayLaMontagne",154
