id,created_at,text,retweet_count
1252628506980179970,2020-04-21 16:01:23,Go behind the scenes of the Boyfriend video with me and the real star… Fiona!! 🐸 https://t.co/qe35dmnExu https://t.co/8lXq8bmAXA,4806
1251593074238607360,2020-04-18 19:26:57,Looking for more to do at home? Me too. Help friends and family register to vote and join @WhenWeAllVote’s #CouchParty 2.0 with me and @MichelleObama on April 20th at 7:15 PM ET. RSVP: https://t.co/QP12PaFCX9 ❤️ https://t.co/NFg26SnmFo,2961
1251203949777936385,2020-04-17 17:40:42,RT @MichelleObama: I'm counting on all of you to help make sure everyone in this country knows how to register and vote safely in the 2020…,3977
1250879175554068481,2020-04-16 20:10:10,RT @amazonmusic: .@selenagomez is looking for love on her new song 'Boyfriend' 💖 Ask Alexa to play the #SongOfTheDay to listen now 🎧: https…,1288
1250454593059733504,2020-04-15 16:03:01,RT @SelenaFanClub: Join us at 10 am PT to listen to Rare (Deluxe) and chat about the album!https://t.co/Sl8N5tWGnv https://t.co/ZS8exTQQy9,2004
1250093202419273729,2020-04-14 16:06:59,No frogs or men were harmed in the making of the ‘Boyfriend’ video. Go behind the scenes on @instagram now. 🐸 https://t.co/w0tX1sJ93o,9083
1249736997251379200,2020-04-13 16:31:33,"RT @InterviewMag: “I’m so young and I’m going to keep changing, and no one has the right to tell me how my life’s going.” https://t.co/3UFS…",3784
1248770848925704192,2020-04-11 00:32:26,The new Boyfriend merch is perfect for binge-watching ‘Friends’ on your couch for the next month. Trust me…I know. PLUS $1 of every purchase goes to @PLUS1Org’s COVID-19 Relief Fund. https://t.co/GUrFQDsv5B https://t.co/W1PI4xzOlD,3494
1248765237198610433,2020-04-11 00:10:08,"RT @SelenaFanClub: Forget the frogs, get yourself some Boyfriend merch 🐸🖤🌹https://t.co/9KwAkbsZco https://t.co/swGtFq6Zko",1644
1248762799548805120,2020-04-11 00:00:26,@maggierogers thank you!!! ❤️,232
1248762666497093634,2020-04-10 23:59:55,@katewalsh @Boyfriend aw thank you!! 😘🌹,217
1248761437482147841,2020-04-10 23:55:02,"RT @PUMA: THIS ❤️ Love you @selenagomez. Boyfriend slaps, by the way 👏👏👏",2175
1248750637229019136,2020-04-10 23:12:07,"RT @amazonmusic: Want more @selenagomez? Of course, you do 😉 

Listen to her song 'Boyfriend' off her 'Rare' Deluxe album now 🌹🎧: https://t…",2355
1248738690320306176,2020-04-10 22:24:38,"Boyfriend is on @YouTubeMusic’s RELEASED Playlist! You, however, are not released from isolation. Stay home and listen to ‘Boyfriend!!!’ https://t.co/Weceiiyxqn https://t.co/UYSZwrIo8B",4104
1248722858269761536,2020-04-10 21:21:44,"Wash your hands, don’t touch your face, and listen to ‘Boyfriend’ on @AppleMusic’s A-List Pop Playlist!
https://t.co/2gxruuurMZ https://t.co/dNsm1mM81C",3307
1248704254409207808,2020-04-10 20:07:48,Things to do today: 1) Stay safe at home. 2) Listen to ‘Boyfriend’ on @spotify’s Today’s Top Hits! https://t.co/gfZwTVjJR7 https://t.co/5kiCJh6ra7,7720
1248670618221834240,2020-04-10 17:54:09,"RT @rarebeauty: 👀 @selenagomez spotted wearing Rare Beauty for her latest video ‘Boyfriend’.
makeup by @MelissaMtheMUA https://t.co/jb6GxAb…",2910
1248646324192333824,2020-04-10 16:17:37,@SelxTayxAri @SelenaFanClub this is amazing!! ❤️🐸,279
1248643257426259968,2020-04-10 16:05:25,The official video for Boyfriend is here! 👸🏻 🐸 Watch now: https://t.co/VfwdBRbkKT https://t.co/VXbq6R201g,14180
1248639672202358785,2020-04-10 15:51:11,10 minutes until the official Boyfriend video premiere! 👫 https://t.co/VfwdBRbkKT https://t.co/FBoRe6udQe,8346
1248379668148830209,2020-04-09 22:38:01,"RT @rarebeauty: Staying positive, writing rare reminders and leaving them around the house just like @selenagomez. Positivity is not cancel…",2023
1248379495985209344,2020-04-09 22:37:20,@MikeAdamOnAir 🥰,286
1248295329415303168,2020-04-09 17:02:53,@AppleMusic 🥰,603
1248295222250999808,2020-04-09 17:02:27,RT @justtranter: Working with this absolute angel is always a total dream! Honored to have two new songs on the delux. #SelenasBoyfriend xo…,2085
1248295124011868161,2020-04-09 17:02:04,@TwitterMusic Morning!! ☀️🌈,1166
1248281665601802241,2020-04-09 16:08:35,Who will she pick? Tune in to the ‘Boyfriend’ premiere tomorrow at 9 am PT to find out! 👫https://t.co/VfwdBRbkKT https://t.co/JIPvs7SRDW,11925
1248219792084840448,2020-04-09 12:02:43,Rare (Deluxe) is out now. I hope you can take a moment to disconnect and dance to the new songs!! 💃🏻 https://t.co/yen2ZAFLIp https://t.co/RcHCvIj7wD,18045
1248037669247913984,2020-04-08 23:59:02,"Calling your name, the only language I can speak. https://t.co/kefmbbVE00 https://t.co/UEmQgXElbW",10321
1247932687643340801,2020-04-08 17:01:52,Oh baby you’re enough to get you out of this place. https://t.co/kefmbbVE00 https://t.co/hBLlmkKf3I,12964
1247616361775239168,2020-04-07 20:04:54,There’s a difference between a want and a need. Some nights I just want more than me. https://t.co/kefmbbVE00 https://t.co/DlUmNZ6uGi,13110
1247255304196067329,2020-04-06 20:10:12,"The deluxe version of Rare, featuring ‘Boyfriend,’ ‘She’ and ‘Souvenir,’ is out April 9th. You can presave it now and learn more about how to donate to the PLUS1 COVID-19 Fund in at the link in my bio. 🌹https://t.co/kefmbbVE00 https://t.co/3geAFJ1x9E",17029
1245515336377483264,2020-04-02 00:56:11,"The Census affects us all. Taking a few minutes from the comfort of your home to fill it out can help your community for a decade. Be seen, be heard, and be counted with me and @WhenWeAllVote: https://t.co/qsxeJ6f7MT #CensusDay #EverybodyCounts https://t.co/jrscZUjUUT",2632
1245514902791282689,2020-04-02 00:54:28,"My friends at @LupusResearch are hosting a webinar with my amazing doctor, Dr. Wallace, Thurs 4/2 at 3pm PT to help provide clarity about #COVID19 and how it affects the #lupus and #autoimmune community. This is an important issue to me. Join in: https://t.co/qak0OhQXLF",2335
1244818838333476864,2020-03-31 02:48:33,"RT @josepgoded: The cleaning staff at our hospitals are hardly ever mentioned and they also deserve a tribute!

https://t.co/25ij79UtIs",141130
1244804897691668480,2020-03-31 01:53:09,So thankful for every single medical professional who is putting their health on the line to take care of others 🤍 I’m donating to @CedarsSinai as they are low on masks and ventilators. They’ve taken such good care of me so it’s my turn to show my gratitude.,8091
