id,created_at,text,retweet_count
1246509812193677313,2020-04-04 18:47:52,"Politicians convince people to feel victimized, just so they can promise to save them. The left does this all too o… https://t.co/ozlAD5HugA",1054
1246243213071040517,2020-04-04 01:08:30,(4/4) Energy independence is absolutely *crucial* from an economic and foreign policy standpoint. We need to protec… https://t.co/STIdKyW6IL,161
1246242597837963264,2020-04-04 01:06:04,(3/4) How do you think we will pay for education and healthcare in the country without oil and gas revenues? Many s… https://t.co/X6kDC3jmwK,164
1246242272871620610,2020-04-04 01:04:46,"(2/4) Foreign oil is produced with poorer labor protections, higher emissions, and generally worse standards than A… https://t.co/2wzJkp0rUC",115
1246242100632526849,2020-04-04 01:04:05,THREAD (1/4) Many of those laid off workers are involved in the oil and gas industry. They are still your fellow Am… https://t.co/ZrImQF5Pkp,571
1246212364652941320,2020-04-03 23:05:55,This is the episode where I expose the bad-faith blame game played by the media and Democrats. It has been disingen… https://t.co/WlLS9etQud,345
1246210194406858752,2020-04-03 22:57:18,RT @GregAbbott_TX: Texas hospitals are getting tens of thousands of rapid COVID-19 tests to quickly determine if a person has the #coronavi…,838
1246195830127767552,2020-04-03 22:00:13,RT @NPR: The FDA says it is taking the lead on a national effort to facilitate the use of plasma from patients who recovered from COVID-19…,167
1246082958458568705,2020-04-03 14:31:43,"This story is just WRONG, @TexasMonthly. 

Americans need honest reporting now. But they don’t have it. Why? Becaus… https://t.co/jooBvYI3aU",558
1246075268566941698,2020-04-03 14:01:09,"RT @christensen2023: This is absolutely FALSE. 

It’s a shame @TexasMonthly would allow this to be published. Here’s what @TDEM distributed…",1941
1245919737361678336,2020-04-03 03:43:08,Has the media failed us during this pandemic? It’s sad we even have to ask. But we do. Download new show here:… https://t.co/OHPJ8Wunw6,419
1245870022548836354,2020-04-03 00:25:35,"There are so many great examples like this. Businesses stepping up, changing their production, and helping people.… https://t.co/CmWwn5QCZa",798
1245727003518611458,2020-04-02 14:57:16,Remember when you were VP and lived through H1N1 and Ebola? You could have added more PPE to national stockpiles ri… https://t.co/E7LKsVDBHa,8398
1245555145414492162,2020-04-02 03:34:22,Why do so many Obama administration staffers constantly try to make Americans feel awful? Highlighting policy diffe… https://t.co/bArZIbUKL4,5068
1245387736275615744,2020-04-01 16:29:09,China knowingly allowed millions of potentially infected people to travel around the globe. When someone says “make… https://t.co/kFoHO4Jlic,1470
1245338510963494919,2020-04-01 13:13:32,Not enough people are talking about this. American energy independence is at risk if we keep allowing the far-left… https://t.co/HFgDBwK16L,950
1245211495723675648,2020-04-01 04:48:50,RT @ScottGottliebMD: Germany has one of lowest mortality rates among #COVID19 patients compared to other G20 nations hard hit by virus. The…,255
1245159047126548482,2020-04-01 01:20:25,"What’s the right strategy to fight the virus?

Watch: https://t.co/mUcKGLPbaK",470
1244829004504477697,2020-03-31 03:28:57,"RT @tedcruz: Protect public safety, yes, but government does not have the constitutional authority to PERMANENTLY close churches and synago…",8621
1244827972579864577,2020-03-31 03:24:51,"RT @MeghanMcCain: I applaud Mike Lindell for helping our country during this crisis by using his factories to make 50,000 N95 masks A DAY (…",16116
1244812564825092097,2020-03-31 02:23:37,Perfect day for one of the greatest songs ever. #NationalDoctorsDay https://t.co/sCCShUOBYi,316
1244795129468194816,2020-03-31 01:14:20,Lies.  Propaganda. The CCP has tried to make itself the victim - and the hero - while deceiving the world about the… https://t.co/hswqRldtjQ,1952
1244666456941432839,2020-03-30 16:43:02,"RT @NYGovCuomo: Welcome to New York, @USNSComfort.

We knew from the outset that expanded hospital capacity was critical.

We asked and the…",2076
1244665606349164544,2020-03-30 16:39:39,"RT @emkuhn: Sometimes photos really do say 1,000 or 10,000 words.

One for the history books.

(Photo: Mike Segar/Reuters) https://t.co/Kcn…",6916
1244459894528499713,2020-03-30 03:02:14,"In the spirit of American solidarity, we are starting Tiger King tonight https://t.co/lapBObhJEO",338
1244267651796475904,2020-03-29 14:18:20,The problem with a culture that increasingly sees the President as the country’s *only* leader is that the failings… https://t.co/DhbuPxv4x5,2305
1243905888706007041,2020-03-28 14:20:49,This is excellent news. American innovation is our best weapon against this pandemic. https://t.co/EFoVv1Ntmj,1700
1243737140271493120,2020-03-28 03:10:16,"RT @DavidJHarrisJr: My podcast with the amazing @RepDanCrenshaw is fire! 

Here’s a clip! 

Spotify: https://t.co/VdPfQqDTZG
iTunes: https:…",409
1243630027704619009,2020-03-27 20:04:38,"Delete your account. This isn’t the time. This can’t be the new normal, where American tragedy is applauded for the… https://t.co/SG4n4ulE8U",14837
1243568082037215232,2020-03-27 15:58:29,"Haha there it is. Didn’t take long. “But Trump!” 

No argument. No defense. No facts. Just empty sloganeering from… https://t.co/3SZ6FakaGo",1585
1243545339749154816,2020-03-27 14:28:07,"This would be a good point, if it were true.

This bill helps businesses of all sizes, and smaller businesses espec… https://t.co/kkcCZLunKS",2502
1243366448459702272,2020-03-27 02:37:16,"Sloganeering is a convenient mental shortcut, but it’s not the same as actually thinking through the policy.

This… https://t.co/yZzt0TzuOQ",2119
1243349239347834881,2020-03-27 01:28:53,"RT @benshapiro: Another example: this highly-trafficked NYT piece that suggests overwhelm of morgue capacities and then buries this, from t…",890
1243297960370360320,2020-03-26 22:05:07,"First of all, we deliberately stopped the economy.

Then, Pelosi and Schumer held America hostage to fulfill a prog… https://t.co/Bvn3C8PyxG",3006
1243220562882826244,2020-03-26 16:57:34,Amazing to watch Democrats try and recover from their disgusting political moves. There is little difference betwee… https://t.co/1wSGklOuHF,3481
1242987522705235968,2020-03-26 01:31:33,So awful that mainstream media gleefully perpetuated this lie. This didn’t happen. The man ingested fishbowl cleane… https://t.co/YrChP8Wb5F,11324
1242952104639152136,2020-03-25 23:10:49,You’re forgetting the fact that we are telling consumers not to consume. They can’t spend the money. They are stayi… https://t.co/12OxzjPhsh,2413
1242948283623972864,2020-03-25 22:55:38,"Another good idea. 

Note how many examples there have been of burdensome regulations getting in our way in dealing… https://t.co/T8cwgl7b56",408
1242942287895826433,2020-03-25 22:31:48,"RT @GregAbbott_TX: GREAT NEWS. 

President Trump just granted a Major Disaster Declaration for Texas. 

This will expand the resources avai…",2367
1242880592871653382,2020-03-25 18:26:39,. @GregAbbott_TX with another positive move that will help Texas small businesses and the hardworking people who co… https://t.co/XdYYHTvaDY,303
