id,created_at,text,retweet_count
1245163860421640193,2020-04-01 01:39:33,"RT @WhiteHouse: Together, we've mounted a full-scale response to the Coronavirus pandemic—with great American businesses and citizens alike…",474
1245145592839503873,2020-04-01 00:26:57,"Tomorrow, I'll be visiting the @Walmart Distribution Center with @SecretarySonny. From hiring thousands of new empl… https://t.co/DRUnukoZlO",962
1245145487092711425,2020-04-01 00:26:32,RT @GOP: WATCH: @realDonaldTrump thanks ALL on the frontlines of the fight against the coronavirus. https://t.co/jY5SgMsZRr,337
1245145403357618176,2020-04-01 00:26:12,RT @TeamTrump: President @realDonaldTrump spoke with leading internet and phone providers who are doing a GREAT job of keeping our lines of…,415
1245145365126492160,2020-04-01 00:26:03,RT @TeamTrump: Vice President @Mike_Pence says AirBridge flights have arrived in multiple states to deliver resources to help combat the #C…,251
1245145176483520512,2020-04-01 00:25:18,RT @WhiteHouse: 30 Days to Slow the Spread https://t.co/h9Oqm95omN,621
1245127247792660486,2020-03-31 23:14:03,"RT @WhiteHouse: Today, @USTreasury and @SBAgov announced further details on the Paycheck Protection Program, which is made possible by The…",990
1245127200208310272,2020-03-31 23:13:52,"RT @WhiteHouse: Dr. Fauci: ""The reason why we feel so strongly about the necessity of the additional 30 days is that now is the time, whene…",1019
1245127154754564096,2020-03-31 23:13:41,RT @WhiteHouse: Our goal over the next 30 days is to mitigate the spread of Coronavirus community by community. https://t.co/rkQTfm2jh6,802
1245123920790945793,2020-03-31 23:00:50,"We will get through this, and we will get through it together. https://t.co/kuLe6xeox2",674
1245122722604212226,2020-03-31 22:56:04,"Thank you, America. 🇺🇸 https://t.co/iAD81Kd61Y",637
1245120937302900736,2020-03-31 22:48:59,We are continuing to work closely with Governors across the Country as we respond to the Coronavirus together as a… https://t.co/xMFa7tRgsM,480
1245105262098350081,2020-03-31 21:46:42,30 Days to Slow the Spread: https://t.co/GI3qrBOFaA,1109
1245101176569253889,2020-03-31 21:30:28,https://t.co/5N8Y9Jrsvp,543
1245085963178606592,2020-03-31 20:30:00,RT @realDonaldTrump: Will be starting The White House news conference at 5:15 P.M. Eastern.,10536
1245085948087537664,2020-03-31 20:29:57,"RT @realDonaldTrump: Great news! American families will now be able to buy safer, more affordable, and environmentally friendly cars with o…",22585
1245049390332600322,2020-03-31 18:04:41,RT @WhiteHouse: THANK YOU to America's great inventors and entrepreneurs for your incredible support for the men and women fighting the Cor…,669
1244989965223821312,2020-03-31 14:08:33,"RT @fema: Today, USNS Comfort arrived in New York while USNS Mercy has been docked in Los Angeles to help fight #COVID19. The ships now ope…",301
1244822435486105605,2020-03-31 03:02:50,"RT @DHS_Wolf: Today, I participated with @VP on a productive call with America’s governors, who play an integral role in the fight against…",282
1244811499811614720,2020-03-31 02:19:23,"RT @TeamTrump: President @realDonaldTrump: The economy is number 2 on my list, first I want to save lives https://t.co/CClSA13Psb",2318
1244811487706742784,2020-03-31 02:19:20,"RT @WhiteHouse: Debra Waller, @Jockey CEO: ""We expect to begin delivering 30-50,000 gowns per week . . . In addition, this week, we are als…",1815
1244811465418252288,2020-03-31 02:19:15,RT @TeamTrump: FDA Commissioner Hahn says that developing point-of-care tests normally takes 9 months but it has been done “within weeks.”…,1569
1244811204226363395,2020-03-31 02:18:13,"RT @GOP: Americans are #InItTogether🇺🇸
 
Thank you, @AbbottNews!
https://t.co/ZNSCRUPWna",660
1244810311917621253,2020-03-31 02:14:40,"RT @GOP: “Today, we reached a historic milestone in our war against the coronavirus. Over 1 million Americans have now been tested.” -@real…",692
1244810191142621188,2020-03-31 02:14:11,"RT @GOP: ""Today is Doctors’ Day and even without it, I want to send a message of gratitude to the foot soldiers in this war — men and women…",404
1244809858534313984,2020-03-31 02:12:52,"RT @WhiteHouse: In partnership with the White House, @fema, and @CDCgov, @Apple has released a #COVID19 app to help you stay informed and p…",774
1244809689747132416,2020-03-31 02:12:12,"RT @WhiteHouse: ""This National Doctors Day, we express our immense gratitude to the men and women who are caring for and treating patients…",1764
1244809649053929475,2020-03-31 02:12:02,RT @realDonaldTrump: https://t.co/nzWJ8ViwbZ,37256
1244809326490943488,2020-03-31 02:10:45,"RT @WhiteHouse: Today, the USNS Comfort arrived in New York Harbor three weeks ahead of schedule, where it will begin treating patients tom…",1902
