id,created_at,text,retweet_count
1243342362644013063,2020-03-27 01:01:34,"Last month, NYC Democrats said Coronavirus was nothing to worry about.  Watch. https://t.co/Urr1S1XJTW",2427
1242598358755180554,2020-03-24 23:45:09,The Press won’t blame China for the Coronavirus.  So what was the press saying about the virus when it was still po… https://t.co/eZfRnEJJ8a,2073
1240997057013469189,2020-03-20 13:42:09,"We’ll have much more on this important story tonight at 8pm ET on @foxnews

https://t.co/ByUcA3N2Hj",969
1237186519691132928,2020-03-10 01:20:26,We must remain calm but not complacent about the Chinese Coronavirus. We addressed it on tonight’s show. We hope yo… https://t.co/TStEINiNxs,3479
1236114526791180295,2020-03-07 02:20:43,Tucker talks to Pink Floyd rock legend Roger Waters https://t.co/3EWyUsqdiQ,987
1236061065739472902,2020-03-06 22:48:17,Pink Floyd Co-Founder Roger Waters joins Tucker tonight at 8 PM ET. Tune in.,633
1235389845868105728,2020-03-05 02:21:06,We spoke to former AT&amp;T employees about having to train their foreign replacements. Internal documents show workers… https://t.co/q8G99qEKz5,2821
1232850814739329024,2020-02-27 02:11:54,Bragging Biden takes credit for everything. https://t.co/v5r0L6Vhga,3003
1232491754672336896,2020-02-26 02:25:07,Mayor Pete is starting to sound a whole lot like President Obama. https://t.co/85VA43mNEU,5421
1228430098522628096,2020-02-14 21:25:33,Breaking CPL News: CNN and MSNBC thought he was Presidential material. But this show wasn’t fooled. Watch tonight a… https://t.co/jqeMrJeG0J,7787
1225959866688319488,2020-02-08 01:49:44,Mayor Pete: “The shape of our democracy is the issue that affects every other issue” https://t.co/WNUlFbt0Au,4101
1225607709044637697,2020-02-07 02:30:23,Lawmakers are trying to make life worse for people across America.  The New Way Forward Act protects serious felons… https://t.co/5zfZxqPEkC,16272
1225242124997844993,2020-02-06 02:17:41,"Many democrats can’t crack a smile no matter what they’re told. Tucker Carlson Tonight obtains exclusive, new foota… https://t.co/1jhAw337lU",2071
1220173312216698882,2020-01-23 02:36:02,We’re rooting for Glenn Greenwald. https://t.co/5rDQKSSl3a,3854
1219362157927768065,2020-01-20 20:52:47,This is one of the smartest things I’ve ever read: https://t.co/yGMiDAlkX0,891
1215051855178452992,2020-01-08 23:25:11,Part 3 of our Exclusive Investigation airs tonight at 8pm ET.  San Franciscans forced to hire their own small force… https://t.co/QUDkJefP8a,2571
1214690569676611584,2020-01-07 23:29:34,San Francisco is crumbling.  Lawlessness is running rampant.  Don’t miss Part 2 of the shocking and explosive serie… https://t.co/49x6ebLnYU,4086
1214368693553188866,2020-01-07 02:10:33,"American Dystopia: It’s hard to wreck a place as beautiful as San Francisco, but our leadership class has done just… https://t.co/JLv23p9NYv",3664
1214316140412977153,2020-01-06 22:41:43,"San Francisco's left-wing government has turned the city into an ""American Dystopia"" - Our shocking &amp; exclusive 5-p… https://t.co/s623LyXrNh",20726
1213290447877095424,2020-01-04 02:45:59,Drugs. Homelessness. Third world inequality. San Francisco's radial left wing government has turned their city into… https://t.co/bEEEDWLyCD,10886
1202347794721361921,2019-12-04 22:03:47,ICYMI – Here’s our exclusive investigation into the tragic death of an American town.  https://t.co/OD0BuCNgcJ,2931
1202061889292963841,2019-12-04 03:07:42,"If you missed the show, please watch our investigation into one American town decimated by Paul Singer’s hedge fund… https://t.co/yjLyYRDj23",7091
1191430711573721088,2019-11-04 19:03:12,"RT @foxnewsradio: On #FOXNewsRundown, @TuckerCarlson shares his thoughts. 

Listen on: https://t.co/3fwsMI22MM",287
1159464087484583937,2019-08-08 13:59:14,"Here's why they're pushing racial division: so you won't notice the real divide, which is economic. https://t.co/ZVLvQn2u9O",11410
1159214149693575175,2019-08-07 21:26:05,There’s been a tremendous response to last night’s show.  The left wants to silence us.  They won’t.  Here’s a port… https://t.co/SHvishETIM,15165
1154537836546265090,2019-07-25 23:44:05,TONIGHT: Tucker Carlson Tonight confronted Nancy Pelosi about the Russia Hoax + Tucker’s exclusive interview with D… https://t.co/Dpmvoij2xs,1960
1149143580784713730,2019-07-11 02:29:14,"No country can survive being ruled by people who hate it. We deserve better. Here’s my full commentary. 
https://t.co/G7XYL0pqem",24357
1149120308642811905,2019-07-11 00:56:45,"Tucker Carlson: Ilhan Omar @ilhan wants to pull us off the air.  But she didn’t rebut our points, or even acknowled… https://t.co/WZSfxlTp0R",13590
1149118379447529472,2019-07-11 00:49:05,"Tucker Carlson: U.S. rescued Ilhan Omar @ilhan, she said thanks by showering us with contempt. Watch. https://t.co/N0ZYZ3fO40",14816
1138942728665030656,2019-06-12 22:54:41,Imagine having coffee with this man every morning. You’ll feel great by comparison. People keep asking how to get a… https://t.co/jQBkT6fNS9,759
1113588738150608896,2019-04-03 23:46:59,We begin tonight’s show with an apology. Tune in at 8 PM EST.,919
1108165219853979648,2019-03-20 00:35:51,"College debt is crushing an entire generation. Colleges are richer than ever. It’s a scam. Here’s a solution:

https://t.co/Dnbt2HXTxk",6194
1105975954663489548,2019-03-13 23:36:30,"Media Matters, The SPLC and CNN want to shut down Fox News.  Last night, we exposed their real intentions.  Tonight… https://t.co/JELlhE7nVl",10169
1105265477033619462,2019-03-12 00:33:19,https://t.co/0wKM84mP3L,7151
1104926022376583169,2019-03-11 02:04:26,https://t.co/rZdchBXrG2,20686
1098403243711971333,2019-02-21 02:05:15,Here’s why we didn’t air that segment last week.  https://t.co/cQHlfEQZT1,2498
1098399718969872384,2019-02-21 01:51:14,We are about to tell you why we didn’t air that segment last week.,1480
1098374271628390400,2019-02-21 00:10:07,"Last week we taped a segment that didn’t air. Tonight, we’ll explain why.",3251
1098049475401129985,2019-02-20 02:39:30,"Those discouraged by the cluelessness of nonprofit conservatism, take heart. Reihan Salam to run the Manhattan Inst… https://t.co/OhgR5aNmRV",2864
1082451296890834949,2019-01-08 01:37:54,"In 2003, Elizabeth Warren wrote a book about how the entry of mothers into the workforce has been a disaster for fa… https://t.co/jd9GCeR1BX",6720
1082450512233017345,2019-01-08 01:34:47,"In 2003, Elizabeth Warren wrote a book about how the entry of mothers into the workforce has been a disaster for fa… https://t.co/9QW6docP8T",3083
1082449829819830272,2019-01-08 01:32:05,"In 2003, Elizabeth Warren wrote a book about how the entry of mothers into the workforce has been a disaster for fa… https://t.co/IX47EN5uNA",6003
1081277365785976832,2019-01-04 19:53:07,"Happy 2019. There are a lot of things going on in this country. Here's what matters most.
https://t.co/S8g2i3UWw9",3519
