id,created_at,text,retweet_count
1248466957038284802,2020-04-10 04:24:52,"RT @joshgerstein: Also makes it look like Biden is kowtowing to the Chinese guy, who's actually an American #bebest",87
1248463622403022850,2020-04-10 04:11:37,"RT @stevebrodner: More sadness. Extra sad tonight. 
Mort showed us a new way of seeing, appreciating, laughing.
I think most of Drucker's p…",129
1248445371698774016,2020-04-10 02:59:06,RT @gtconway3d: would pay money to have a lip reader tell us what Tom Coughlin said to Matt Dodge,20
1248440956514435072,2020-04-10 02:41:33,RT @KenRoth: Independent Chinese journalist Chen Quishi disappeared on February 6 after traveling to Wuhan to report on the coronavirus. Be…,359
1248439810047475713,2020-04-10 02:37:00,RT @StevenTDennis: @jaketapper @MattBevin Stems from the same 2014 case. https://t.co/VrpfaRuOrJ,76
1248433133428428801,2020-04-10 02:10:28,RT @reason: Walter Ogrod remains on death row even though the Philadelphia District Attorney's Office has called for his conviction to be o…,43
1248432443125727232,2020-04-10 02:07:43,"US Attorney for Western District of Kentucky: Dayton Jones arrested on federal child pornography charges. 

In Dece… https://t.co/T7ZsDU0zvJ",1498
1248431364992450562,2020-04-10 02:03:26,"RT @ddale8: Fauci: As we warned, this has been a very bad week in terms of the number of deaths. But at the same time, adherence to separat…",1656
1248430347978600448,2020-04-10 01:59:24,"According to Johns Hopkins University's tally of cases in the United States, there are at least 462,135 cases of co… https://t.co/bffzHBctZS",431
1248429498443296770,2020-04-10 01:56:01,"WaPo: Hundreds of young Americans have now been killed by the coronavirus, data shows

https://t.co/AnigND8htt https://t.co/E208gpUhv3",197
1248428814222254086,2020-04-10 01:53:18,"One last note on Mort Drucker, who died last night. I recently bought an original from a 1961 MAD and sent it to Mo… https://t.co/LM7B514Gb3",41
1248427333469360128,2020-04-10 01:47:25,RT @Timodc: Welp https://t.co/BEJEuHo0H4,340
1248427242335514626,2020-04-10 01:47:03,RT @CNN: Florida Gov. Ron DeSantis falsely claimed that the novel coronavirus hasn't killed anyone under 25 nationwide while discussing a t…,1536
1248423123260604416,2020-04-10 01:30:41,RT @Karaszewski: I grew up on the art of Mort Drucker in Mad Magazine. He could pack so many faces and so much business in one panel. Here’…,74
1248422499345260544,2020-04-10 01:28:13,"RT @MADmagazine: RIP, Mort Drucker, whose caricatures revealed as much as they ridiculed. In your memory, we will continue to satirize even…",1489
1248420920319815681,2020-04-10 01:21:56,"RT @yashar: This is a level of sickness I can’t comprehend. And it’s especially cruel during this time. 

“People are luring Instacart shop…",1164
1248419212357332994,2020-04-10 01:15:09,"RT @MarkLevineNYC: If you live in a large house and have COVID-19, you can isolate from your family by, say, moving into the basement.

But…",213
1248415848978477056,2020-04-10 01:01:47,"""One of Mr. Trump’s top political advisers, speaking on the condition of anonymity so as not to anger the president… https://t.co/Td5RHzJwGD",1563
1248412196935053312,2020-04-10 00:47:16,"RT @maggieNYT: ""Senator Mitch McConnell, the majority leader, personally urged Mr. Trump at the start of the crisis to let Drs. Fauci and B…",703
1248412158041321472,2020-04-10 00:47:07,"RT @jmartNYT: NEW: With polls showing Trump under water in his handling of the virus, Republicans are nudging him to limit his gaffe-filled…",627
1248394017424830467,2020-04-09 23:35:02,"RT @comicriffs: An appreciation of one of my first comic-art heroes: #MortDrucker, a tender-hearted legend and master of the sublime line.…",29
1248391028416999427,2020-04-09 23:23:09,RT @maggieNYT: This is the question that matters &gt;,582
1248390829409853449,2020-04-09 23:22:22,"RT @stephenfhayes: Sad. Imagine thinking about TV ratings right now. Imagine thinking those ratings indicate an interest in you, rather tha…",2099
1248390470838837258,2020-04-09 23:20:56,"RT @RobGeorge: Pence made a great point here. Said the question is not just ""How do we reopen the country, but how do we keep it open?"" #Co…",38
1248386740835872770,2020-04-09 23:06:07,@donpbenz @WinstonTapper Thank you. Stay strong and healthy,2
1248386532437659649,2020-04-09 23:05:17,"“I’m reporting today that we passed two million tests completed in the United States,” President Trump says.",278
1248368826179174402,2020-04-09 21:54:56,RT @TheLeadCNN: U.K. PM recovering from coronavirus @bianca_nobilo reports. https://t.co/IPSYOutefo,32
1248368777726582784,2020-04-09 21:54:44,RT @TheLeadCNN: Psychiatrist expresses concerns health care workers may get PTSD. Dr. Dennis Charney discusses https://t.co/kgKUwVSVDW,79
1248368377061507073,2020-04-09 21:53:09,RT @TheLeadCNN: What are chances of a ‘robust’ rebound after 16.8 million Americans file for unemployment? @jchatterleyCNN reports https://…,53
1248368215702614016,2020-04-09 21:52:30,"RT @MikeSielski: The day after Kobe Bryant died, I got an email with video of his first high school game. I can only describe what happened…",668
1248366910074269696,2020-04-09 21:47:19,RT @TheLeadCNN: Sources say President Trump is preparing to announce a second coronavirus task force solely focused on reopening the econom…,75
