id,created_at,text,retweet_count
1248480650199306242,2020-04-10 05:19:17,RT @KimStrassel: The World Health Organization’s bows to China have harmed the global response to the coronavirus.  https://t.co/uC0kgXFCK9…,4629
1248480517634183168,2020-04-10 05:18:45,RT @KimStrassel: Bernie Sanders gives up on the nomination but is determined to force Joe Biden leftward—making him unelectable in the proc…,1980
1248480137365970945,2020-04-10 05:17:15,RT @KimStrassel: Pelosi holds up small business: Democrats may let a new relief program run out of money.  https://t.co/2nihHg8DQw via @WSJ,3138
1248479801033125890,2020-04-10 05:15:54,"RT @BBCBreaking: Prime Minister Boris Johnson has been moved out of intensive care but remains in hospital, Downing Street says https://t.c…",5322
1248479591947108352,2020-04-10 05:15:05,RT @searcyroger52: @IngrahamAngle if you continue to have loud mouth low IQ Chris Hahn on your show you’re going to loose me and many other…,1510
1248478219096842241,2020-04-10 05:09:37,"RT @TommyHicksGOP: “President Trump’s campaign remains at the forefront of digital campaigning and engagement…Sleepy Joe’s broadcasts, whic…",1727
1248478055992946689,2020-04-10 05:08:58,RT @TeamTrump: MUST READ op-ed from @LizRNC: Isn’t it strange how every Democrat proposal for voting during a pandemic is exactly what Demo…,2705
1248477968835301376,2020-04-10 05:08:38,"RT @CLH45: ""Our goal is - first, second and third - to get relief to people who need it, quickly. So, we're trying to do it as swiftly as p…",1921
1248477355284152325,2020-04-10 05:06:11,"RT @TeamTrump: Secretary of State @mikepompeo announces that the State Department has repatriated 50,000 Americans! https://t.co/iWHLL2pHHd",2193
1248477319527718912,2020-04-10 05:06:03,"RT @parscale: The @TeamTrump online campaign is 🔥🔥🔥!

Since going all-virtual March 13:

❗️276K NEW volunteers
❗️13,347,694 volunteer calls…",6371
1248477225327808515,2020-04-10 05:05:40,"RT @GaryCoby: Trump vs Establishment - Part 2!

#SleepyJoe Loves...
✅ China
✅ Open Borders
✅ Free Healthcare for Illegals
✅ Big Government…",1549
1248477048042999808,2020-04-10 05:04:58,RT @FrancisBrennan: “Trump Campaign: The President Will Destroy Biden in November” https://t.co/wOLQ1roYzk,1344
1248476961933938688,2020-04-10 05:04:37,"RT @FrancisBrennan: What is Joe Biden doing with his hand here?

It looks like Biden’s teleprompter went down during his coronavirus press…",2201
1248476931000954887,2020-04-10 05:04:30,"RT @LizRNC: AG Barr on Durham probe:

""He is looking to bring to justice people who were engaged in abuses if he can show that they were cr…",2967
1248476115879907330,2020-04-10 05:01:16,RT @ErinMPerrine: Dem establishment got the candidate they wanted with Biden &amp; his policies are right in line w/ Socialist Bernie -- BAD FO…,1923
1248475940176285696,2020-04-10 05:00:34,RT @TeamTrump: Team Trump Communications Director @TimMurtaugh on how important the #PaycheckProtectionProgram is for American Small Busine…,1717
1248475906001125379,2020-04-10 05:00:26,"RT @FLOTUS: As the CDC continues to study the spread of the COVID-19, they recommend people wear cloth face coverings in public settings wh…",11375
1248475405033418754,2020-04-10 04:58:26,"RT @CNBCnow: BREAKING: Democrats block McConnell’s effort to get unanimous support for $250 billion in additional small business aid 
https…",2981
1248475348263526400,2020-04-10 04:58:13,RT @AndrewHClark: Slow slow Sleepy Joe https://t.co/Fuoki6vGYO,1451
1248475288171761671,2020-04-10 04:57:58,Tim Scott is Great! https://t.co/O1Aivbc2yG,4070
1248474879227097094,2020-04-10 04:56:21,Thank you Frank. It’s ABC Fake News. They knew they were wrong when they went with this Hoax of a story! https://t.co/FHkRaW3BTi,7520
1248474211187707904,2020-04-10 04:53:42,RT @JuddPDeere45: .@realDonaldTrump and @senatemajldr are fighting to help small businesses across this country. #COVID19 #AmericaWorksToge…,1465
1248473668327313414,2020-04-10 04:51:32,RT @MZanona: House Minority Leader Kevin McCarthy said it's “disgusting” that Dems are pushing to include money for mail-in voting in the n…,1835
1248473431512768512,2020-04-10 04:50:36,"RT @Surabees: Just like @CNN did earlier today, here's @nytimes once again changing a headline to protect their close personal friends in t…",2924
1248472868381274118,2020-04-10 04:48:21,"RT @ErinMPerrine: 100% mail in voting is ripe for fraud. States should maintain the responsibility for their voting laws.

Democrats want t…",2505
1248472580358418434,2020-04-10 04:47:13,"RT @FLOTUS: Today I joined @POTUS, @VP, &amp; @SecondLady on a call w Mental Health Professionals. Americans are enduring many hardships becaus…",7173
1248472476964646913,2020-04-10 04:46:48,"RT @BenGoldey: President @realDonaldTrump just announced: “Student loan payments have been waived for 6 months, and we'll discuss it after…",3235
1248472366994173952,2020-04-10 04:46:22,RT @GOPconvention: “The Republican Convention is going to be such a benefit for the city. It’s going to show everyone around the world that…,1559
1248472226711531529,2020-04-10 04:45:48,Thank you Erin! https://t.co/m8HRlK6VCY,4212
1248469991092965376,2020-04-10 04:36:55,"RT @Jim_Jordan: Chuck Schumer will never pass up an opportunity to play partisan games.
https://t.co/SrMlN4MR7X",8901
1248469933874237440,2020-04-10 04:36:42,RT @realDonaldTrump: The Wall Street Journal always “forgets” to mention that the ratings for the White House Press Briefings are “through…,25890
1248469925208842240,2020-04-10 04:36:40,RT @realDonaldTrump: Great News: Prime Minister Boris Johnson has just been moved out of Intensive Care. Get well Boris!!!,49359
1248469834054000640,2020-04-10 04:36:18,"RT @realDonaldTrump: On National Former Prisoner of War Recognition Day, we honor the more than 500,000 American warriors captured while pr…",20955
1248469740101595136,2020-04-10 04:35:56,RT @Jim_Jordan: New transcripts show that James Comey’s FBI sought dirt on the Trump Campaign less than TWO WEEKS before the 2016 election.…,11754
1248468993947488256,2020-04-10 04:32:58,RT @Scavino45: https://t.co/V4dAJ4RKfy,4718
1248468797796696065,2020-04-10 04:32:11,RT @Scavino45: https://t.co/Ge6pvUufNB,3171
1248468735041527809,2020-04-10 04:31:56,"RT @USNavy: Superheroes exist in real life, for we walk among them! 

Shout out to all the dedicated health professionals and Sailors acros…",3190
1248468490819751940,2020-04-10 04:30:58,RT @DHS_Wolf: An international cargo plane landed at Louisville International Airport with crucial medical supplies destined for critical l…,1345
1248468373370843139,2020-04-10 04:30:30,"RT @FEMA_Pete: Multiple #ProjectAirBridge flights arrived in Chicago, IL today &amp; included:
 
• 49M+ gloves
• 507k+ gowns
• 8.7M+ masks
 
Th…",1396
1248468279615557633,2020-04-10 04:30:07,"RT @UPS_News: FEMA’S ‘Project Airbridge’ Takes Flight With 25 @UPS Charter Flights, Dedicated @FEMA Distribution Center  - https://t.co/Tmi…",1084
1248467975868264448,2020-04-10 04:28:55,"RT @USACEHQ: Fernanda Brooks, Navy Facilities Mid-Atlantic architect, assists Wayne Miller, @norfolkdistrict structural engineer, in a site…",952
1248467959376310275,2020-04-10 04:28:51,"RT @fema: We're working with partners to get medical supplies where they are needed by:

🔹 Making the best use of supplies at hand
🔹 Identi…",1075
1248467807018205184,2020-04-10 04:28:15,"RT @NJNationalGuard: NJ National Guard aids in medical care: Col. Stephen McKenzie, a physician assistant with Joint Task Force-57 (JTF-57)…",1115
1248467731055120387,2020-04-10 04:27:57,"RT @realDonaldTrump: This morning, 450,000 protective suits landed in Dallas, Texas. This was made possible because of the partnership of t…",19680
1248467612767412228,2020-04-10 04:27:28,RT @USACE_NY: Time-lapse footage shows efforts to convert sites at SUNY Old Westbury into an alternate care facility.1020 beds for various…,1139
1248467495091965953,2020-04-10 04:27:00,"RT @USACE_NY: The New York District, in conjunction with state, federal and local partners, is constructing an alternate care facility for…",1194
1248410991437611010,2020-04-10 00:42:29,"....We will always be there for our Great Farmers, Cattlemen, Ranchers, and Producers!",10333
1248410989306859520,2020-04-10 00:42:28,"I have directed @SecretarySonny to expedite help to our farmers, especially to the smaller farmers who are hurting… https://t.co/Kth5WEVEIG",17963
1248395551441182724,2020-04-09 23:41:08,RT @WhiteHouse: Project Air Bridge—a sweeping operation to keep doctors and nurses supplied with protective equipment—has completed more th…,6304
1248395480700051457,2020-04-09 23:40:51,"RT @WhiteHouse: ""Let me begin by expressing my sincere gratitude to the American people. Millions of Americans are making profound and diff…",7084
1248395435107999748,2020-04-09 23:40:40,RT @WhiteHouse: Our great American medical system continues to go above and beyond the call of duty. 🇺🇸 https://t.co/g1MrRG8HYl,4950
1248376066143481862,2020-04-09 22:23:42,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/38GuIW79Gh,5295
1248333612212195328,2020-04-09 19:35:00,The Wall Street Journal always “forgets” to mention that the ratings for the White House Press Briefings are “throu… https://t.co/nz1j7iy8K7,25890
1248319601647247361,2020-04-09 18:39:20,Great News: Prime Minister Boris Johnson has just been moved out of Intensive Care. Get well Boris!!!,49359
1248277475928530946,2020-04-09 15:51:56,"On National Former Prisoner of War Recognition Day, we honor the more than 500,000 American warriors captured while… https://t.co/tTpsFGzREf",20955
1248266439582244866,2020-04-09 15:08:05,.@OANN  A key CoronaVirus Model is now predicting far fewer deaths than the number shown in earlier models. That’s… https://t.co/7iyJxbA6BX,30048
1248031484532928514,2020-04-08 23:34:27,"Absentee Ballots are a great way to vote for the many senior citizens, military, and others who can’t get to the po… https://t.co/AiTPROOsHu",49217
1248026598860881921,2020-04-08 23:15:03,"This morning, 450,000 protective suits landed in Dallas, Texas. This was made possible because of the partnership o… https://t.co/24aXfmz6vG",19680
1248022702390235140,2020-04-08 22:59:34,"RT @WhiteHouse: To date, we've shipped out more than 8,000 ventilators, have an additional 10,000 ready to go, and 2,200 more will be avail…",11085
1248020003615457281,2020-04-08 22:48:50,https://t.co/DKY3UPeyak,12431
1248004556434235393,2020-04-08 21:47:27,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/jgENbi406M,6808
1247990240536678402,2020-04-08 20:50:34,"Wishing a HAPPY PASSOVER to those celebrating in the United States, Israel, and around the world! https://t.co/83odnD9yvh",21862
1247986878307078150,2020-04-08 20:37:12,White House news conference at 5:30 P.M. Eastern. Thank you!,13591
1247950299408498693,2020-04-08 18:11:51,Extraordinary times require even closer cooperation between friends. Thank you India and the Indian people for the… https://t.co/aDMD5VmPa8,108734
1247920239045681159,2020-04-08 16:12:24,Can’t see AOC plus 3 supporting Sleepy Joe!,20766
1247919539809128451,2020-04-08 16:09:38,"Wow, Bernie is unwilling to give up his delegates, and wants more of them! What’s that all about?",24754
1247914464319504385,2020-04-08 15:49:28,"Bernie Sanders is OUT! Thank you to Elizabeth Warren. If not for her, Bernie would have won almost every state on S… https://t.co/0GM0NuY2n8",57342
1247908643527409665,2020-04-08 15:26:20,FLATTENING OF THE CURVE!,33835
1247900240155295745,2020-04-08 14:52:56,"Once we OPEN UP OUR GREAT COUNTRY, and it will be sooner rather than later, the horror of the Invisible Enemy, exce… https://t.co/twqNfJBWkM",38747
1247897591611682818,2020-04-08 14:42:25,"...the Fake News Media into not covering them, but that effort failed because the ratings are through the roof acco… https://t.co/SPIB1hCa8r",15726
1247897589996908545,2020-04-08 14:42:24,The Radical Left Democrats have gone absolutely crazy that I am doing daily Presidential News Conferences. They act… https://t.co/9Lbv3JWTsr,27437
1247868300647968771,2020-04-08 12:46:01,Will be immediately sending 100 Ventilators to Colorado at the request of Senator Gardner! https://t.co/Nj4EPxfZl6,14150
