id,created_at,text,retweet_count
1252806019564126209,2020-04-22 03:46:45,RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/4F550CRmQT,7820
1252803444844494854,2020-04-22 03:36:31,Harvard should give back the money now. Their whole “endowment” system should be looked at! https://t.co/LcjOcsnCWT,3996
1252801030573756416,2020-04-22 03:26:56,"RT @thehill: President Trump: ""I want Harvard to pay the money back, okay? If they won't do that, then we won't do something else."" https:/…",2136
1252780737130106887,2020-04-22 02:06:17,RT @WhiteHouse: ”The New York Metropolitan area has been the epicenter of the outbreak here in America and the Federal government has spare…,3436
1252780718318596096,2020-04-22 02:06:13,"RT @WhiteHouse: Earlier today, President @realDonaldTrump met with Governor Cuomo to discuss his statewide testing strategy. https://t.co/L…",2636
1252780666065952769,2020-04-22 02:06:00,RT @WhiteHouse: The bill passed in the Senate today will provide an additional $310 billion for the Paycheck Protection Program! https://t.…,3637
1252697006562250752,2020-04-21 20:33:35,"Great new book just out by the Former Director of Ice, Tom Homan: “Defend the Border and Save Lives: Solving Our Most Important Humanitarian and Security Crisis.” Great guy, get your copy today! https://t.co/zgaQBHoSp9",11682
1252688538069618689,2020-04-21 19:59:55,I will be having a White House Press Conference today at 5:30 P.M. Thank you!,15541
1252640539574448128,2020-04-21 16:49:12,"....to State/Local Governments for lost revenues from COVID 19, much needed Infrastructure Investments for Bridges, Tunnels, Broadband, Tax Incentives for Restaurants, Entertainment, Sports, and Payroll Tax Cuts to increase Economic Growth.",12276
1252640538647506947,2020-04-21 16:49:12,"I urge the Senate and House to pass the Paycheck Protection Program and Health Care Enhancement Act with additional funding for PPP, Hospitals, and Testing. After I sign this Bill, we will begin discussions on the next Legislative Initiative with fiscal relief....",22822
1252602992978792448,2020-04-21 14:20:00,RT @SexCounseling: How apropos that the Witch is behind the Witch Hunt.,9764
1252602768248000512,2020-04-21 14:19:06,"RT @SexCounseling: @realDonaldTrump The States need to step up their own testing and take responsibility and if they can't, perhaps the pol…",7914
1252591306028785667,2020-04-21 13:33:34,We will never let the great U.S. Oil &amp; Gas Industry down. I have instructed the Secretary of Energy and Secretary of the Treasury to formulate a plan which will make funds available so that these very important companies and jobs will be secured long into the future!,30435
1252556676818968576,2020-04-21 11:15:57,"96% Approval Rating in the Republican Party. Thank you! This must also mean that, most importantly, we are doing a good (great) job in the handling of the Pandemic.",31572
1252552057170649088,2020-04-21 10:57:36,"I’ve had great “ratings” my whole life, there’s nothing unusual about that for me. The White House News Conference ratings are “through the roof”(Monday Night Football, Bachelor Finale , @nytimes) but I don’t care about that. I care about going around the Fake News to the PEOPLE!",28333
1252547765332324352,2020-04-21 10:40:33,"It is amazing that I became President of the United States with such a totally corrupt and dishonest Lamestream Media going after me all day, and all night. Either I’m really good, far better than the Fake News wants to admit, or they don’t have nearly the power as once thought!",53347
1252542407285055489,2020-04-21 10:19:15,"Watched the first 5 minutes of poorly rated Morning Psycho on MSDNC just to see if he is as “nuts” as people are saying. He’s worse. Such hatred and contempt! I used to do his show all the time before the 2016 election, then cut him off. Wasn’t worth the effort, his mind is shot!",22980
1252455037013561345,2020-04-21 04:32:04,"RT @realDonaldTrump: In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizen…",89132
1252455002691579907,2020-04-21 04:31:56,"RT @realDonaldTrump: .@MikeGarcia2020 will be a tremendous fighter for the U.S. and the State of California. An Annapolis graduate, he serv…",17036
1252454984282705930,2020-04-21 04:31:52,"RT @realDonaldTrump: ...He is Strong on Crime, the Border, and Second Amendment. Mike has my Complete and Total Endorsement! Turn your Ball…",8914
1252454948962537472,2020-04-21 04:31:43,RT @realDonaldTrump: Tom Tiffany (@TomTiffanyWI) is a Great Advocate for the incredible people of Wisconsin (WI07). We need Tom in Congress…,14151
1252454920357322754,2020-04-21 04:31:37,"RT @realDonaldTrump: ....He is Strong on Crime, the Border, and Second Amendment. Tom has deep roots in Wisconsin, is a big Tax Cutter, and…",8991
1252452210216140801,2020-04-21 04:20:51,RT @JimInhofe: Our farmers and ranchers are instrumental to Oklahoma’s economy and they’ve been hit hard by #COVID19. This funding will bri…,6391
1252452009426530304,2020-04-21 04:20:03,RT @senatemajldr: It’s been four days since the Paycheck Protection Program ran dry. Republicans have been trying to fund this job-saving p…,17990
1252451801896570882,2020-04-21 04:19:13,"RT @WhiteHouse: ""At a time when millions of American workers and families are struggling with the financial consequences of the virus, it's…",8349
1252437475747704834,2020-04-21 03:22:18,RT @GreggJarrett: https://t.co/whAEZype9u,8134
1252437010515505153,2020-04-21 03:20:27,RT @GreggJarrett: Does Google have Hillary Clinton’s Bleach Bit Emails? https://t.co/Kv3a6Zfx3V,11841
1252436974805213184,2020-04-21 03:20:18,RT @GreggJarrett: Schumer’s Pathetic Attempt to Chastise Trump Backfires https://t.co/zInB8dLRMK,9216
1252436837869576194,2020-04-21 03:19:45,RT @GreggJarrett: Footnotes from IG Report Soon To Be Declassified; Show FBI Gave ‘False Picture’ in Briefing Materials to Congress https:/…,8324
1252436768290254851,2020-04-21 03:19:29,RT @GreggJarrett: New Evidence Confirms That The Russia Probe Against @realDonaldTrump Was A “Witch Hunt” https://t.co/qpCn9pVDtE,10073
1252436732374429701,2020-04-21 03:19:20,RT @GreggJarrett: Clinton-Funded Russian Disinformation Drove The Witch Hunt Against Trump https://t.co/k3IHbaWWWr,13017
1252436682630029312,2020-04-21 03:19:08,RT @GreggJarrett: More Russia Spygate Indictments Coming ‘This Week’ https://t.co/fRg3HRjdBN,8643
1252436473866973185,2020-04-21 03:18:19,Great Alan. They are Fake News! https://t.co/n7zUY7mzIQ,16071
1252435691469848576,2020-04-21 03:15:12,"RT @TrumpWarRoom: General Motors's first ventilators arrived Friday at hospitals, just 1 month after conversations about the possibility of…",6876
1252435487437938690,2020-04-21 03:14:23,7 Devastating Revelations About Crossfire Hurricane In New Releases https://t.co/TMxeVDJbIU   The greatest political scam in American history!,26453
1252418369170501639,2020-04-21 02:06:22,"In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!",89132
1252417321685053440,2020-04-21 02:02:12,"...He is Strong on Crime, the Border, and Second Amendment. Mike has my Complete and Total Endorsement! Turn your Ballots in now and track them, watching for dishonesty. Report to Law Enforcement. https://t.co/MEnGMv3wTT",8914
1252417320347033614,2020-04-21 02:02:12,".@MikeGarcia2020 will be a tremendous fighter for the U.S. and the State of California. An Annapolis graduate, he served our Country as a highly decorated Navy Fighter Pilot and will be a great Congressman (#CA25). Loves our Military, and Vets...",17036
1252416051645607938,2020-04-21 01:57:10,"....He is Strong on Crime, the Border, and Second Amendment. Tom has deep roots in Wisconsin, is a big Tax Cutter, and will help me DRAIN THE SWAMP! Tom has my Complete and Total Endorsement. Vote for Tom Tiffany! https://t.co/5OqIca08Rr",8991
1252416049942687747,2020-04-21 01:57:09,"Tom Tiffany (@TomTiffanyWI) is a Great Advocate for the incredible people of Wisconsin (WI07). We need Tom in Congress to help us Make America Great Again! He will Fight for Small Business, supports our Incredible Farmers, Loves our Military and our Vets....",14151
1252393066981289984,2020-04-21 00:25:50,RT @realDonaldTrump: https://t.co/cU6gIdMgGi,106998
