id,created_at,text,retweet_count
1252736599433101312,2020-04-21 23:10:54,"We Are Warriors 

https://t.co/XMsfZw7pgh https://t.co/5BTsa368Tc",1815
1238134430574809089,2020-03-12 16:07:06,IMPORTANT TOUR ANNOUNCEMENT https://t.co/LpMijo8AsG,1195
1235705823608950784,2020-03-05 23:16:41,IMPORTANT TOUR ANNOUNCEMENT https://t.co/clv1BYjqsU,875
1233850290861989893,2020-02-29 20:23:27,IMPORTANT TOUR ANNOUNCEMENT https://t.co/x6A9jVP1jB,2277
1233488123511889921,2020-02-28 20:24:20,IMPORTANT TOUR ANNOUNCEMENT https://t.co/y2l22C25m8,780
1230560359494242306,2020-02-20 18:30:27,"RT @TheJUNOAwards: Keep your #HeadAboveWater, and VOTE for @AvrilLavigne for #JUNOFanChoice Presented by @TD_Canada! 

Click below to vote…",1075
1228101585533853697,2020-02-13 23:40:09,One month away until Head Above Water tour hits Europe! 📸: Nancy Dagata https://t.co/IWzLOq3S8r,1390
1225535718195372032,2020-02-06 21:44:19,Join me at the show of your choice in Europe!! @CharityStars https://t.co/B6J8WkbTeD,402
1224456146599251969,2020-02-03 22:14:29,Clive Davis 2020 https://t.co/R9dhaXlmso,2785
1223332007373164544,2020-01-31 19:47:33,Can’t wait to see you at the show of your choice!! https://t.co/d2fr7AaC4O,540
1218014833435717633,2020-01-17 03:39:00,See you soon China! Get your tickets at https://t.co/VEMPhl2tzs https://t.co/VdVCWIUpgM,631
1215078858040446978,2020-01-09 01:12:29,"which is why I’ve put so much of my time, energy and effort into educating and helping others though @avrilfoundation to keep their #HeadAboveWater. As you know, Lyme is a global pandemic but not a global priority..let’s change that together!!! #LymeDisease #FightLyme",1717
1215078816978219008,2020-01-09 01:12:19,Thank you @HaileyBieber for your kind words. So sorry to hear about @justinbieber having to go through this awful disease. The fact that it’s hard to diagnose and is so debilitating was something I suffered through also https://t.co/nbCRTFWv53,5207
1214978110103465985,2020-01-08 18:32:09,Check out my site https://t.co/P0iQs6BGrM to get 20% off some merch! https://t.co/AcTKvc2775,452
1207847011258646528,2019-12-20 02:15:42,"RT @AvrilFoundation: Huge thanks to @RepChrisSmith @CollinPeterson, and the coalition of Lyme organizations who supported. We’re so gratefu…",175
1207846992505913345,2019-12-20 02:15:38,"RT @AvrilFoundation: Thanks to the leadership of @SenatorCollins @SenTinaSmith,the #KayHaganTickAct has passed the House &amp; the Senate &amp; mov…",167
